fset	rate	resample	seed	eff_rate	n	min_cost	opt_threshold	catch_at_1pct
20raw	0.0050	0	42	0.0050	28800	0.021806	0.5000	0.8889
20raw	0.0050	0	179	0.0050	28800	0.025313	0.5000	0.8750
20raw	0.0050	0	316	0.0050	28800	0.025764	0.5500	0.8611
20raw	0.0050	1	42	0.0050	28800	0.021840	0.5000	0.8889
20raw	0.0050	1	179	0.0050	28800	0.025000	0.5000	0.8681
20raw	0.0050	1	316	0.0050	28800	0.026736	0.5500	0.8681
20raw	0.0050	2	42	0.0050	28800	0.022396	0.5000	0.8889
20raw	0.0050	2	179	0.0050	28800	0.025139	0.5000	0.8472
20raw	0.0050	2	316	0.0050	28800	0.025451	0.5500	0.8611
20raw	0.0050	3	42	0.0050	28800	0.020625	0.5000	0.8889
20raw	0.0050	3	179	0.0050	28800	0.024063	0.5000	0.8750
20raw	0.0050	3	316	0.0050	28800	0.025208	0.5500	0.8819
20raw	0.0050	4	42	0.0050	28800	0.022187	0.5200	0.9028
20raw	0.0050	4	179	0.0050	28800	0.025104	0.5900	0.8750
20raw	0.0050	4	316	0.0050	28800	0.025208	0.5500	0.8681
20raw	0.0100	0	42	0.0100	14400	0.026042	0.5000	0.7778
20raw	0.0100	0	179	0.0100	14400	0.028819	0.5000	0.7361
20raw	0.0100	0	316	0.0100	14400	0.033819	0.4300	0.7361
20raw	0.0100	1	42	0.0100	14400	0.026250	0.5000	0.7778
20raw	0.0100	1	179	0.0100	14400	0.029792	0.5000	0.7153
20raw	0.0100	1	316	0.0100	14400	0.033542	0.4300	0.7292
20raw	0.0100	2	42	0.0100	14400	0.026875	0.5000	0.7500
20raw	0.0100	2	179	0.0100	14400	0.029306	0.5000	0.7222
20raw	0.0100	2	316	0.0100	14400	0.032778	0.4300	0.7292
20raw	0.0100	3	42	0.0100	14400	0.025139	0.5000	0.7569
20raw	0.0100	3	179	0.0100	14400	0.029444	0.5000	0.7361
20raw	0.0100	3	316	0.0100	14400	0.032431	0.4300	0.7361
20raw	0.0100	4	42	0.0100	14400	0.027361	0.5000	0.7500
20raw	0.0100	4	179	0.0100	14400	0.030972	0.5000	0.7292
20raw	0.0100	4	316	0.0100	14400	0.033958	0.4300	0.7361
20raw	0.0144	0	42	0.0144	10000	0.027900	0.5000	0.6528
20raw	0.0144	0	179	0.0144	10000	0.031300	0.5000	0.6250
20raw	0.0144	0	316	0.0144	10000	0.032700	0.4300	0.6389
20raw	0.0144	1	42	0.0144	10000	0.031200	0.5000	0.6181
20raw	0.0144	1	179	0.0144	10000	0.034300	0.5000	0.5903
20raw	0.0144	1	316	0.0144	10000	0.032800	0.4300	0.6111
20raw	0.0144	2	42	0.0144	10000	0.029500	0.5000	0.6389
20raw	0.0144	2	179	0.0144	10000	0.031300	0.5000	0.6250
20raw	0.0144	2	316	0.0144	10000	0.031300	0.4300	0.6181
20raw	0.0144	3	42	0.0144	10000	0.028500	0.5000	0.6458
20raw	0.0144	3	179	0.0144	10000	0.032000	0.5000	0.6250
20raw	0.0144	3	316	0.0144	10000	0.032700	0.4300	0.6250
20raw	0.0144	4	42	0.0144	10000	0.027900	0.5000	0.6528
20raw	0.0144	4	179	0.0144	10000	0.032800	0.5000	0.6250
20raw	0.0144	4	316	0.0144	10000	0.031900	0.4300	0.6458
20raw	0.0200	0	42	0.0200	7200	0.031389	0.5000	0.4792
20raw	0.0200	0	179	0.0200	7200	0.035694	0.5000	0.4653
20raw	0.0200	0	316	0.0200	7200	0.031944	0.4300	0.4792
20raw	0.0200	1	42	0.0200	7200	0.032500	0.5000	0.4792
20raw	0.0200	1	179	0.0200	7200	0.035556	0.5000	0.4722
20raw	0.0200	1	316	0.0200	7200	0.032639	0.4300	0.4861
20raw	0.0200	2	42	0.0200	7200	0.032222	0.5000	0.4792
20raw	0.0200	2	179	0.0200	7200	0.035556	0.5000	0.4792
20raw	0.0200	2	316	0.0200	7200	0.031806	0.4300	0.4861
20raw	0.0200	3	42	0.0200	7200	0.034028	0.5000	0.4792
20raw	0.0200	3	179	0.0200	7200	0.037083	0.5000	0.4792
20raw	0.0200	3	316	0.0200	7200	0.032639	0.4300	0.4861
20raw	0.0200	4	42	0.0200	7200	0.032917	0.5000	0.4861
20raw	0.0200	4	179	0.0200	7200	0.035417	0.5000	0.4792
20raw	0.0200	4	316	0.0200	7200	0.031667	0.4300	0.5000
20raw	0.0300	0	42	0.0300	4800	0.036667	0.4200	0.3264
20raw	0.0300	0	179	0.0300	4800	0.041458	0.4100	0.3264
20raw	0.0300	0	316	0.0300	4800	0.034167	0.4300	0.3264
20raw	0.0300	1	42	0.0300	4800	0.035000	0.4200	0.3264
20raw	0.0300	1	179	0.0300	4800	0.037292	0.4100	0.3264
20raw	0.0300	1	316	0.0300	4800	0.031458	0.4300	0.3264
20raw	0.0300	2	42	0.0300	4800	0.036458	0.4200	0.3264
20raw	0.0300	2	179	0.0300	4800	0.039167	0.4100	0.3264
20raw	0.0300	2	316	0.0300	4800	0.033333	0.4300	0.3264
20raw	0.0300	3	42	0.0300	4800	0.033958	0.4200	0.3264
20raw	0.0300	3	179	0.0300	4800	0.035208	0.4100	0.3264
20raw	0.0300	3	316	0.0300	4800	0.027917	0.4300	0.3264
20raw	0.0300	4	42	0.0300	4800	0.038542	0.4200	0.3264
20raw	0.0300	4	179	0.0300	4800	0.043750	0.4100	0.3264
20raw	0.0300	4	316	0.0300	4800	0.034792	0.4300	0.3194
20raw	0.0500	0	42	0.0500	2880	0.034375	0.4200	0.2014
20raw	0.0500	0	179	0.0500	2880	0.039236	0.4100	0.2014
20raw	0.0500	0	316	0.0500	2880	0.031597	0.4300	0.2014
20raw	0.0500	1	42	0.0500	2880	0.035417	0.4200	0.2014
20raw	0.0500	1	179	0.0500	2880	0.037847	0.4100	0.2014
20raw	0.0500	1	316	0.0500	2880	0.032639	0.4300	0.2014
20raw	0.0500	2	42	0.0500	2880	0.037500	0.4200	0.2014
20raw	0.0500	2	179	0.0500	2880	0.041319	0.4100	0.2014
20raw	0.0500	2	316	0.0500	2880	0.026042	0.4300	0.2014
20raw	0.0500	3	42	0.0500	2880	0.034722	0.4200	0.2014
20raw	0.0500	3	179	0.0500	2880	0.042361	0.4100	0.2014
20raw	0.0500	3	316	0.0500	2880	0.032986	0.4300	0.2014
20raw	0.0500	4	42	0.0500	2880	0.036806	0.4200	0.2014
20raw	0.0500	4	179	0.0500	2880	0.042708	0.4100	0.2014
20raw	0.0500	4	316	0.0500	2880	0.031250	0.4300	0.2014
24full	0.0050	0	42	0.0050	28800	0.013194	0.5600	0.9375
24full	0.0050	0	179	0.0050	28800	0.017118	0.5500	0.9167
24full	0.0050	0	316	0.0050	28800	0.019062	0.5000	0.9306
24full	0.0050	1	42	0.0050	28800	0.012500	0.5600	0.9375
24full	0.0050	1	179	0.0050	28800	0.017222	0.5500	0.9236
24full	0.0050	1	316	0.0050	28800	0.019375	0.5000	0.9306
24full	0.0050	2	42	0.0050	28800	0.012812	0.5600	0.9444
24full	0.0050	2	179	0.0050	28800	0.016250	0.5500	0.9028
24full	0.0050	2	316	0.0050	28800	0.019271	0.5000	0.9306
24full	0.0050	3	42	0.0050	28800	0.012153	0.5600	0.9444
24full	0.0050	3	179	0.0050	28800	0.016632	0.5900	0.9028
24full	0.0050	3	316	0.0050	28800	0.019340	0.5000	0.9306
24full	0.0050	4	42	0.0050	28800	0.012257	0.5600	0.9444
24full	0.0050	4	179	0.0050	28800	0.016701	0.5500	0.9236
24full	0.0050	4	316	0.0050	28800	0.019236	0.5000	0.9306
24full	0.0100	0	42	0.0100	14400	0.014792	0.5600	0.8264
24full	0.0100	0	179	0.0100	14400	0.021111	0.5500	0.7847
24full	0.0100	0	316	0.0100	14400	0.021042	0.5000	0.8056
24full	0.0100	1	42	0.0100	14400	0.013472	0.5600	0.8333
24full	0.0100	1	179	0.0100	14400	0.019861	0.5500	0.7917
24full	0.0100	1	316	0.0100	14400	0.019931	0.5000	0.8056
24full	0.0100	2	42	0.0100	14400	0.012222	0.5600	0.8264
24full	0.0100	2	179	0.0100	14400	0.019444	0.4800	0.7917
24full	0.0100	2	316	0.0100	14400	0.018542	0.5000	0.8194
24full	0.0100	3	42	0.0100	14400	0.012778	0.5600	0.8333
24full	0.0100	3	179	0.0100	14400	0.020694	0.5500	0.7847
24full	0.0100	3	316	0.0100	14400	0.019653	0.5000	0.7986
24full	0.0100	4	42	0.0100	14400	0.013542	0.5600	0.8264
24full	0.0100	4	179	0.0100	14400	0.021111	0.5500	0.7917
24full	0.0100	4	316	0.0100	14400	0.021111	0.5000	0.7986
24full	0.0144	0	42	0.0144	10000	0.013700	0.5600	0.6250
24full	0.0144	0	179	0.0144	10000	0.020100	0.4800	0.6597
24full	0.0144	0	316	0.0144	10000	0.018100	0.5000	0.6250
24full	0.0144	1	42	0.0144	10000	0.012900	0.5600	0.6250
24full	0.0144	1	179	0.0144	10000	0.020900	0.4800	0.6528
24full	0.0144	1	316	0.0144	10000	0.020800	0.5000	0.6458
24full	0.0144	2	42	0.0144	10000	0.012500	0.5600	0.6389
24full	0.0144	2	179	0.0144	10000	0.019400	0.4800	0.6667
24full	0.0144	2	316	0.0144	10000	0.019400	0.5000	0.6389
24full	0.0144	3	42	0.0144	10000	0.014500	0.5600	0.6250
24full	0.0144	3	179	0.0144	10000	0.019500	0.4800	0.6667
24full	0.0144	3	316	0.0144	10000	0.021400	0.5000	0.6181
24full	0.0144	4	42	0.0144	10000	0.011800	0.5600	0.6250
24full	0.0144	4	179	0.0144	10000	0.019900	0.4800	0.6597
24full	0.0144	4	316	0.0144	10000	0.018900	0.5000	0.6319
24full	0.0200	0	42	0.0200	7200	0.012361	0.5600	0.4861
24full	0.0200	0	179	0.0200	7200	0.018750	0.4800	0.4931
24full	0.0200	0	316	0.0200	7200	0.018472	0.5000	0.4722
24full	0.0200	1	42	0.0200	7200	0.013056	0.5600	0.4861
24full	0.0200	1	179	0.0200	7200	0.020556	0.4800	0.4931
24full	0.0200	1	316	0.0200	7200	0.019583	0.5000	0.4861
24full	0.0200	2	42	0.0200	7200	0.012917	0.5600	0.4861
24full	0.0200	2	179	0.0200	7200	0.019306	0.4800	0.5000
24full	0.0200	2	316	0.0200	7200	0.019583	0.5000	0.4792
24full	0.0200	3	42	0.0200	7200	0.014167	0.5600	0.4861
24full	0.0200	3	179	0.0200	7200	0.020833	0.4800	0.5000
24full	0.0200	3	316	0.0200	7200	0.020000	0.5000	0.4792
24full	0.0200	4	42	0.0200	7200	0.012778	0.5600	0.4931
24full	0.0200	4	179	0.0200	7200	0.020278	0.4800	0.5000
24full	0.0200	4	316	0.0200	7200	0.020000	0.5000	0.4861
24full	0.0300	0	42	0.0300	4800	0.013750	0.5600	0.3264
24full	0.0300	0	179	0.0300	4800	0.022500	0.4800	0.3333
24full	0.0300	0	316	0.0300	4800	0.020208	0.5000	0.3264
24full	0.0300	1	42	0.0300	4800	0.012083	0.5600	0.3264
24full	0.0300	1	179	0.0300	4800	0.018125	0.4800	0.3333
24full	0.0300	1	316	0.0300	4800	0.016875	0.5000	0.3264
24full	0.0300	2	42	0.0300	4800	0.011458	0.5600	0.3264
24full	0.0300	2	179	0.0300	4800	0.020833	0.4800	0.3333
24full	0.0300	2	316	0.0300	4800	0.020625	0.5000	0.3264
24full	0.0300	3	42	0.0300	4800	0.011042	0.5600	0.3264
24full	0.0300	3	179	0.0300	4800	0.017083	0.4800	0.3333
24full	0.0300	3	316	0.0300	4800	0.016250	0.5000	0.3264
24full	0.0300	4	42	0.0300	4800	0.016458	0.5600	0.3264
24full	0.0300	4	179	0.0300	4800	0.023333	0.4800	0.3333
24full	0.0300	4	316	0.0300	4800	0.023125	0.5000	0.3264
24full	0.0500	0	42	0.0500	2880	0.013542	0.5300	0.2014
24full	0.0500	0	179	0.0500	2880	0.017708	0.4800	0.2014
24full	0.0500	0	316	0.0500	2880	0.017708	0.5000	0.2014
24full	0.0500	1	42	0.0500	2880	0.013542	0.5600	0.2014
24full	0.0500	1	179	0.0500	2880	0.019444	0.4800	0.2014
