decile	cost_ratio	contrast	mean_gap	lo	hi	mean_target	mean_20raw	ci_negative	ci_positive
0	1	24full-20raw	-0.001200	-0.001600	-0.001000	0.000800	0.002000	1	0
0	1	4sensor-20raw	-0.001600	-0.002000	-0.001200	0.000400	0.002000	1	0
0	10	24full-20raw	-0.002400	-0.002800	-0.002000	0.000800	0.003200	1	0
0	10	4sensor-20raw	-0.002800	-0.003800	-0.001800	0.000400	0.003200	1	0
0	100	24full-20raw	-0.002400	-0.002800	-0.002000	0.000800	0.003200	1	0
0	100	4sensor-20raw	-0.002800	-0.003800	-0.001800	0.000400	0.003200	1	0
0	1000	24full-20raw	-0.002400	-0.002800	-0.002000	0.000800	0.003200	1	0
0	1000	4sensor-20raw	-0.002800	-0.003800	-0.001800	0.000400	0.003200	1	0
0	10000	24full-20raw	-0.002400	-0.002800	-0.002000	0.000800	0.003200	1	0
0	10000	4sensor-20raw	-0.002800	-0.003800	-0.001800	0.000400	0.003200	1	0
1	1	24full-20raw	-0.001000	-0.002000	-0.000200	0.002800	0.003800	1	0
1	1	4sensor-20raw	-0.000200	-0.001600	0.000800	0.003600	0.003800	0	0
1	10	24full-20raw	-0.000400	-0.001800	0.000800	0.004000	0.004400	0	0
1	10	4sensor-20raw	0.009600	0.004400	0.016400	0.014000	0.004400	0	1
1	100	24full-20raw	-0.000400	-0.001800	0.000800	0.004000	0.004400	0	0
1	100	4sensor-20raw	0.013600	0.004400	0.025400	0.018000	0.004400	0	1
1	1000	24full-20raw	-0.000400	-0.001800	0.000800	0.004000	0.004400	0	0
1	1000	4sensor-20raw	0.013600	0.004400	0.024815	0.018000	0.004400	0	1
1	10000	24full-20raw	-0.000400	-0.001800	0.000800	0.004000	0.004400	0	0
1	10000	4sensor-20raw	0.013600	0.004400	0.025400	0.018000	0.004400	0	1
2	1	24full-20raw	-0.000200	-0.000600	0.000000	0.001200	0.001400	0	0
2	1	4sensor-20raw	0.012400	0.011600	0.013000	0.013800	0.001400	0	1
2	10	24full-20raw	-0.005200	-0.008400	-0.002000	0.005200	0.010400	1	0
2	10	4sensor-20raw	0.057600	0.048995	0.066200	0.068000	0.010400	0	1
2	100	24full-20raw	-0.025000	-0.032200	-0.016800	0.005600	0.030600	1	0
2	100	4sensor-20raw	0.093600	0.050200	0.140200	0.124200	0.030600	0	1
2	1000	24full-20raw	-0.025000	-0.032800	-0.017600	0.005600	0.030600	1	0
2	1000	4sensor-20raw	0.103800	0.050200	0.162010	0.134400	0.030600	0	1
2	10000	24full-20raw	-0.025000	-0.032800	-0.016800	0.005600	0.030600	1	0
2	10000	4sensor-20raw	0.103800	0.050200	0.162400	0.134400	0.030600	0	1
3	1	24full-20raw	-0.002000	-0.003400	-0.000200	0.004600	0.006600	1	0
3	1	4sensor-20raw	0.012200	0.011600	0.012800	0.018800	0.006600	0	1
3	10	24full-20raw	-0.001400	-0.002800	0.000000	0.019000	0.020400	0	0
3	10	4sensor-20raw	0.077400	0.074600	0.080200	0.097800	0.020400	0	1
3	100	24full-20raw	-0.006800	-0.013200	-0.000400	0.019600	0.026400	1	0
3	100	4sensor-20raw	0.121000	0.096800	0.145600	0.147400	0.026400	0	1
3	1000	24full-20raw	-0.006800	-0.013600	-0.000400	0.019600	0.026400	1	0
3	1000	4sensor-20raw	0.121000	0.096800	0.143600	0.147400	0.026400	0	1
3	10000	24full-20raw	-0.006800	-0.013200	-0.000400	0.019600	0.026400	1	0
3	10000	4sensor-20raw	0.121000	0.096800	0.143600	0.147400	0.026400	0	1
4	1	24full-20raw	-0.002400	-0.004200	-0.000600	0.006000	0.008400	1	0
4	1	4sensor-20raw	0.005800	0.005200	0.006400	0.014200	0.008400	0	1
4	10	24full-20raw	-0.004200	-0.008205	-0.001000	0.016600	0.020800	1	0
4	10	4sensor-20raw	0.058200	0.051600	0.066400	0.079000	0.020800	0	1
4	100	24full-20raw	-0.003200	-0.007200	-0.000195	0.021200	0.024400	1	0
4	100	4sensor-20raw	0.186200	0.155600	0.221400	0.210600	0.024400	0	1
4	1000	24full-20raw	-0.003200	-0.007200	-0.000000	0.021200	0.024400	1	0
4	1000	4sensor-20raw	0.256400	0.178600	0.344600	0.280800	0.024400	0	1
4	10000	24full-20raw	-0.003200	-0.007200	-0.000000	0.021200	0.024400	1	0
