k	feat_added	feat_class	auc_topk	delta_auc_vs_full	ci_lo	ci_hi	within_001_of_full
1	V2	raw	0.702404908459596	-0.2274819906655844	-0.24123486251749426	-0.21807714703307912	False
2	V3	raw	0.7723351680871211	-0.1575517310380593	-0.16481941227940794	-0.1535926414823221	False
3	V11	raw	0.8281003393308081	-0.10178655979437234	-0.10317430427725169	-0.09525747384914832	False
4	V10	raw	0.846658902078824	-0.08322799704635642	-0.08501219574862975	-0.0753263635801313	False
5	V7	raw	0.8486680420274171	-0.08121885709776333	-0.07770828763345652	-0.06705484397078788	False
6	V5	raw	0.861640610908189	-0.06824628821699141	-0.07187313020535173	-0.06252363544298718	False
7	V1	raw	0.8883505817099566	-0.04153631741522379	-0.040993162780826105	-0.03242905442630611	False
8	V6	raw	0.9096454218524531	-0.020241477272727293	-0.021412166653949582	-0.014171275842236564	False
9	V12	raw	0.9191179371843434	-0.010768961940836985	-0.01483731681374037	-0.010603724645288248	False
10	V15	raw	0.9214420291080448	-0.008444870017135564	-0.01264945010525828	-0.007621193498206414	False
11	V20	raw	0.9181674445346321	-0.01171945459054835	-0.01626198150691388	-0.009770162886581491	False
12	V16	raw	0.9193870907738094	-0.010499808351370987	-0.015947472063899588	-0.01043950197566142	False
13	V_mean	agg	0.9261321360930735	-0.003754763032106867	-0.006798422087929007	-0.0023558463284537477	False
14	V_max	agg	0.9174325565927129	-0.012454342532467466	-0.018672251328402983	-0.012782154761957132	False
15	V18	raw	0.9136143804112553	-0.0162725187139251	-0.022049820890871596	-0.017673764998556846	False
16	V_std	agg	0.9271869081439393	-0.002699990981241074	-0.007722613019095853	0.0011370010374578577	False
17	V19	raw	0.927601911976912	-0.0022849871482684136	-0.005868121989856046	-0.001552462716953118	False
18	V9	raw	0.9335648617875181	0.0036779626623376638	0.0008080132828596432	0.005624408204831672	True
19	V14	raw	0.9410786153950217	0.011191716269841279	0.007056865393866291	0.011837377806438976	True
20	V17	raw	0.9414034316378067	0.011516532512626299	0.005526984360318993	0.010632495053833318	True
21	V4	raw	0.9429274609938673	0.01304056186868685	0.010178475504184298	0.0149668927892391	True
22	V_min	agg	0.9321141098484849	0.0022272107233044514	0.0005213980137738217	0.0033715491036372335	True
23	V13	raw	0.9444853106962481	0.014598411571067671	0.009972277378974015	0.013853108189933372	True
24	V8	raw	0.9298868991251804	0.0	0.0	0.0	True
