axis	metric	eta2	metric_mean	n_levels
n_estimators	auc	0.08335828112590792	0.9452565621159982	2
n_estimators	f1	0.07445879929412128	0.496969457798093	2
n_estimators	brier	0.09086223516483403	0.008603870181104867	2
n_estimators	ece	0.012791430361972013	0.01883966249175137	2
max_depth	auc	0.4853971495696676	0.9452565621159982	2
max_depth	f1	0.3701317918734477	0.496969457798093	2
max_depth	brier	0.44576686251631925	0.008603870181104867	2
max_depth	ece	0.023550302708920046	0.01883966249175137	2
learning_rate	auc	0.31016012974774626	0.9452565621159982	2
learning_rate	f1	0.41040554696256604	0.496969457798093	2
learning_rate	brier	0.3729675020060559	0.008603870181104867	2
learning_rate	ece	0.04406660197708757	0.01883966249175137	2
subsample	auc	0.004402443683584681	0.9452565621159982	2
subsample	f1	0.0019859294853249326	0.496969457798093	2
subsample	brier	0.0021159299985195786	0.008603870181104867	2
subsample	ece	0.00042577458544331185	0.01883966249175137	2
scale_pos_weight	auc	0.007301474679781746	0.9452565621159982	2
scale_pos_weight	f1	0.08852324263448413	0.496969457798093	2
scale_pos_weight	brier	0.0018581020813877365	0.008603870181104867	2
scale_pos_weight	ece	0.745797548454886	0.01883966249175137	2
