axis	metric	eta2_boot_mean	eta2_ci025	eta2_ci975	ci_excludes_zero
n_estimators	auc	0.12855589501493422	0.06317790468123714	0.20247858022438397	True
n_estimators	f1	0.1480372128329778	0.07567350815542402	0.22985483315728614	True
n_estimators	brier	0.08682949085862013	0.03315212186294536	0.15606980604646237	True
n_estimators	ece	0.060899421479716595	0.016446336027383376	0.1276069832718676	True
max_depth	auc	0.496203803755317	0.4158809087638164	0.5772268331040946	True
max_depth	f1	0.5925109530152916	0.506272596281992	0.6758105930757856	True
max_depth	brier	0.34344336557592237	0.2768415490635155	0.41151855698566614	True
max_depth	ece	0.16073536520760157	0.09440148899442678	0.2364840244278774	True
learning_rate	auc	0.11416831243459023	0.05349151346822017	0.1891410012936079	True
learning_rate	f1	0.15307916751480097	0.07792091998353977	0.2406375500761699	True
learning_rate	brier	0.08152007972233667	0.026889695929654754	0.14997053576343344	True
learning_rate	ece	0.06629681369902823	0.02005742954387089	0.1307651613021808	True
subsample	auc	0.009870914007004097	0.00022319604660693462	0.03635149801876426	True
subsample	f1	0.009905836673974232	0.0003292031605817186	0.03457800682660361	True
subsample	brier	0.009903425695971758	0.00022719248027174797	0.03521092215368663	True
subsample	ece	0.010422311695125286	0.0003814903618389932	0.038987590855873125	True
scale_pos_weight	auc	0.019296023859279934	0.0008196629150963407	0.05673198198945697	True
scale_pos_weight	f1	0.051500917338840234	0.0077081873092361836	0.11700665061279819	True
scale_pos_weight	brier	0.23719490189477768	0.1503989859171827	0.32794224069946165	True
scale_pos_weight	ece	0.42425979213297416	0.3353428031001801	0.5195781949513213	True
