stratum	model	bin	n_bin	n_pos_bin	p_bin	n_alert_bin	alert_rate_bin	recall_bin	precision_bin	lift_bin	gini_alerts	std_recall	std_precision	l1_alert_bias_vs_uniform
V_mean	XGB-20raw	0	2000	16	0.008	20	0.01	0.625	0.5	34.72222222222222				
V_mean	XGB-20raw	1	2000	34	0.017	46	0.023	0.7352941176470589	0.5434782608695652	37.7415458937198				
V_mean	XGB-20raw	2	2000	30	0.015	46	0.023	0.7	0.45652173913043476	31.702898550724637				
V_mean	XGB-20raw	3	2000	43	0.0215	53	0.0265	0.6046511627906976	0.49056603773584906	34.067085953878404				
V_mean	XGB-20raw	4	2000	21	0.0105	35	0.0175	0.6666666666666666	0.4	27.77777777777778				
V_mean	XGB-20raw	-1	-1	-1	-1.0	-1	-1.0	-1.0	-1.0	-1.0	0.154	0.047754118853076684	0.04790523888077175	0.9
V_mean	XGB-24full	0	2000	16	0.008	18	0.009	0.6875	0.6111111111111112	42.43827160493828				
V_mean	XGB-24full	1	2000	34	0.017	45	0.0225	0.7941176470588235	0.6	41.666666666666664				
V_mean	XGB-24full	2	2000	30	0.015	54	0.027	0.8	0.4444444444444444	30.864197530864196				
V_mean	XGB-24full	3	2000	43	0.0215	57	0.0285	0.6744186046511628	0.5087719298245614	35.331384015594544				
V_mean	XGB-24full	4	2000	21	0.0105	26	0.013	0.7142857142857143	0.5769230769230769	40.06410256410256				
V_mean	XGB-24full	-1	-1	-1	-1.0	-1	-1.0	-1.0	-1.0	-1.0	0.212	0.053048951899934325	0.06290602279475518	0.9000000000000001
V_mean	XGB-4sensor	0	2000	16	0.008	3	0.0015	0.125	0.6666666666666666	46.2962962962963				
V_mean	XGB-4sensor	1	2000	34	0.017	25	0.0125	0.08823529411764706	0.12	8.333333333333334				
V_mean	XGB-4sensor	2	2000	30	0.015	73	0.0365	0.4666666666666667	0.1917808219178082	13.318112633181126				
V_mean	XGB-4sensor	3	2000	43	0.0215	76	0.038	0.18604651162790697	0.10526315789473684	7.309941520467836				
V_mean	XGB-4sensor	4	2000	21	0.0105	23	0.0115	0.19047619047619047	0.17391304347826086	12.077294685990339				
V_mean	XGB-4sensor	-1	-1	-1	-1.0	-1	-1.0	-1.0	-1.0	-1.0	0.392	0.13332375246838932	0.21006043801406699	0.9
V14	XGB-20raw	0	2000	37	0.0185	48	0.024	0.7297297297297297	0.5625	39.0625				
V14	XGB-20raw	1	2000	30	0.015	34	0.017	0.5666666666666667	0.5	34.72222222222222				
V14	XGB-20raw	2	2000	23	0.0115	38	0.019	0.6521739130434783	0.39473684210526316	27.412280701754387				
V14	XGB-20raw	3	2000	30	0.015	40	0.02	0.7	0.525	36.458333333333336				
V14	XGB-20raw	4	2000	24	0.012	40	0.02	0.6666666666666666	0.4	27.77777777777778				
V14	XGB-20raw	-1	-1	-1	-1.0	-1	-1.0	-1.0	-1.0	-1.0	0.06	0.055195299279220296	0.06758394800321176	0.9000000000000001
V14	XGB-24full	0	2000	37	0.0185	50	0.025	0.8108108108108109	0.6	41.666666666666664				
V14	XGB-24full	1	2000	30	0.015	35	0.0175	0.6	0.5142857142857142	35.71428571428571				
V14	XGB-24full	2	2000	23	0.0115	39	0.0195	0.7391304347826086	0.4358974358974359	30.270655270655272				
V14	XGB-24full	3	2000	30	0.015	38	0.019	0.7666666666666667	0.6052631578947368	42.03216374269006				
V14	XGB-24full	4	2000	24	0.012	38	0.019	0.75	0.47368421052631576	32.89473684210526				
V14	XGB-24full	-1	-1	-1	-1.0	-1	-1.0	-1.0	-1.0	-1.0	0.062	0.07099722794269765	0.06745537098819321	0.9000000000000001
V14	XGB-4sensor	0	2000	37	0.0185	45	0.0225	0.21621621621621623	0.17777777777777778	12.34567901234568				
V14	XGB-4sensor	1	2000	30	0.015	41	0.0205	0.16666666666666666	0.12195121951219512	8.468834688346883				
V14	XGB-4sensor	2	2000	23	0.0115	38	0.019	0.30434782608695654	0.18421052631578946	12.792397660818713				
V14	XGB-4sensor	3	2000	30	0.015	31	0.0155	0.23333333333333334	0.22580645161290322	15.68100358422939				
V14	XGB-4sensor	4	2000	24	0.012	45	0.0225	0.16666666666666666	0.08888888888888889	6.17283950617284				
V14	XGB-4sensor	-1	-1	-1	-1.0	-1	-1.0	-1.0	-1.0	-1.0	0.07	0.05091744002461627	0.04844959265453103	0.9
