tau	contrast	n_boot	mean	ci_lo	ci_hi	excludes_zero	direction	summary
0.050000	Δ precision (24full − 20raw)	400	0.007452	-0.024689	0.041155	no	favors 24full	+0.007 [-0.025, +0.041]
0.050000	Δ recall    (24full − 20raw)	400	0.040483	-0.006597	0.088165	no	favors 24full	+0.040 [-0.007, +0.088]
0.100000	Δ precision (24full − 20raw)	400	0.026926	-0.031363	0.083716	no	favors 24full	+0.027 [-0.031, +0.084]
0.100000	Δ recall    (24full − 20raw)	400	0.042723	-0.006867	0.094908	no	favors 24full	+0.043 [-0.007, +0.095]
0.150000	Δ precision (24full − 20raw)	400	0.068117	0.008992	0.137971	yes	favors 24full	+0.068 [+0.009, +0.138]
0.150000	Δ recall    (24full − 20raw)	400	0.030940	-0.024593	0.090939	no	favors 24full	+0.031 [-0.025, +0.091]
0.200000	Δ precision (24full − 20raw)	400	0.017502	-0.036561	0.081138	no	favors 24full	+0.018 [-0.037, +0.081]
0.200000	Δ recall    (24full − 20raw)	400	0.063087	0.017162	0.111861	yes	favors 24full	+0.063 [+0.017, +0.112]
0.250000	Δ precision (24full − 20raw)	400	0.012188	-0.050181	0.072325	no	favors 24full	+0.012 [-0.050, +0.072]
0.250000	Δ recall    (24full − 20raw)	400	0.068951	0.026316	0.122186	yes	favors 24full	+0.069 [+0.026, +0.122]
0.300000	Δ precision (24full − 20raw)	400	-0.004284	-0.030788	0.013949	no	favors 20raw	-0.004 [-0.031, +0.014]
0.300000	Δ recall    (24full − 20raw)	400	0.061993	0.020408	0.104497	yes	favors 24full	+0.062 [+0.020, +0.104]
0.350000	Δ precision (24full − 20raw)	400	-0.003265	-0.042610	0.020971	no	favors 20raw	-0.003 [-0.043, +0.021]
0.350000	Δ recall    (24full − 20raw)	400	0.069234	0.021571	0.117211	yes	favors 24full	+0.069 [+0.022, +0.117]
0.400000	Δ precision (24full − 20raw)	400	-0.028645	-0.078461	0.007307	no	favors 20raw	-0.029 [-0.078, +0.007]
0.400000	Δ recall    (24full − 20raw)	400	0.027386	-0.013518	0.067172	no	favors 24full	+0.027 [-0.014, +0.067]
0.450000	Δ precision (24full − 20raw)	400	-0.021362	-0.073012	0.013158	no	favors 20raw	-0.021 [-0.073, +0.013]
0.450000	Δ recall    (24full − 20raw)	400	0.062290	0.015733	0.111111	yes	favors 24full	+0.062 [+0.016, +0.111]
0.500000	Δ precision (24full − 20raw)	400	-0.033313	-0.088810	0.008340	no	favors 20raw	-0.033 [-0.089, +0.008]
0.500000	Δ recall    (24full − 20raw)	400	0.035687	-0.007877	0.084429	no	favors 24full	+0.036 [-0.008, +0.084]
0.550000	Δ precision (24full − 20raw)	400	0.006146	-0.000021	0.021641	no	favors 24full	+0.006 [-0.000, +0.022]
0.550000	Δ recall    (24full − 20raw)	400	0.032894	-0.013437	0.080917	no	favors 24full	+0.033 [-0.013, +0.081]
0.600000	Δ precision (24full − 20raw)	400	0.005719	-0.069853	0.086988	no	favors 24full	+0.006 [-0.070, +0.087]
0.600000	Δ recall    (24full − 20raw)	400	0.035571	0.000000	0.071897	no	favors 24full	+0.036 [+0.000, +0.072]
0.650000	Δ precision (24full − 20raw)	400	-0.032614	-0.111111	0.000000	no	favors 20raw	-0.033 [-0.111, +0.000]
0.650000	Δ recall    (24full − 20raw)	400	0.026828	-0.007359	0.068044	no	favors 24full	+0.027 [-0.007, +0.068]
0.700000	Δ precision (24full − 20raw)	400	0.000000	0.000000	0.000000	no	tie	+0.000 [+0.000, +0.000]
0.700000	Δ recall    (24full − 20raw)	400	0.014797	-0.007882	0.044318	no	favors 24full	+0.015 [-0.008, +0.044]
0.750000	Δ precision (24full − 20raw)	400	0.000000	0.000000	0.000000	no	tie	+0.000 [+0.000, +0.000]
0.750000	Δ recall    (24full − 20raw)	400	-0.005864	-0.036815	0.026552	no	favors 20raw	-0.006 [-0.037, +0.027]
0.800000	Δ precision (24full − 20raw)	400	0.000000	0.000000	0.000000	no	tie	+0.000 [+0.000, +0.000]
0.800000	Δ recall    (24full − 20raw)	400	-0.006885	-0.037051	0.023095	no	favors 20raw	-0.007 [-0.037, +0.023]
0.850000	Δ precision (24full − 20raw)	400	0.000000	0.000000	0.000000	no	tie	+0.000 [+0.000, +0.000]
0.850000	Δ recall    (24full − 20raw)	400	-0.007164	-0.035495	0.022244	no	favors 20raw	-0.007 [-0.035, +0.022]
0.900000	Δ precision (24full − 20raw)	400	-0.002500	0.000000	0.000000	no	favors 20raw	-0.003 [+0.000, +0.000]
0.900000	Δ recall    (24full − 20raw)	400	-0.020611	-0.050021	0.006951	no	favors 20raw	-0.021 [-0.050, +0.007]
0.950000	Δ precision (24full − 20raw)	400	-0.102500	-1.000000	0.000000	no	favors 20raw	-0.102 [-1.000, +0.000]
0.950000	Δ recall    (24full − 20raw)	400	-0.006906	-0.020690	0.000000	no	favors 20raw	-0.007 [-0.021, +0.000]
1.000000	Δ precision (24full − 20raw)	400	0.000000	0.000000	0.000000	no	tie	+0.000 [+0.000, +0.000]
1.000000	Δ recall    (24full − 20raw)	400	0.000000	0.000000	0.000000	no	tie	+0.000 [+0.000, +0.000]
