model	tau	n_alerted	tp	fp	fn	tn	precision	recall	f1
XGB-20raw	0.050000	295	114	181	30	9675	0.386441	0.791667	0.519362
XGB-20raw	0.100000	152	97	55	47	9801	0.638158	0.673611	0.655405
XGB-20raw	0.150000	112	86	26	58	9830	0.767857	0.597222	0.671875
XGB-20raw	0.200000	88	74	14	70	9842	0.840909	0.513889	0.637931
XGB-20raw	0.250000	74	66	8	78	9848	0.891892	0.458333	0.605505
XGB-20raw	0.300000	66	62	4	82	9852	0.939394	0.430556	0.590476
XGB-20raw	0.350000	59	55	4	89	9852	0.932203	0.381944	0.541872
XGB-20raw	0.400000	56	53	3	91	9853	0.946429	0.368056	0.530000
XGB-20raw	0.450000	51	48	3	96	9853	0.941176	0.333333	0.492308
XGB-20raw	0.500000	45	43	2	101	9854	0.955556	0.298611	0.455026
XGB-20raw	0.550000	39	37	2	107	9854	0.948718	0.256944	0.404372
XGB-20raw	0.600000	33	32	1	112	9855	0.969697	0.222222	0.361582
XGB-20raw	0.650000	28	28	0	116	9856	1.000000	0.194444	0.325581
XGB-20raw	0.700000	27	27	0	117	9856	1.000000	0.187500	0.315789
XGB-20raw	0.750000	23	23	0	121	9856	1.000000	0.159722	0.275449
XGB-20raw	0.800000	20	20	0	124	9856	1.000000	0.138889	0.243902
XGB-20raw	0.850000	14	14	0	130	9856	1.000000	0.097222	0.177215
XGB-20raw	0.900000	9	9	0	135	9856	1.000000	0.062500	0.117647
XGB-20raw	0.950000	3	3	0	141	9856	1.000000	0.020833	0.040816
XGB-20raw	1.000000	0	0	0	144	9856		0.000000	
XGB-24full	0.050000	305	120	185	24	9671	0.393443	0.833333	0.534521
XGB-24full	0.100000	155	103	52	41	9804	0.664516	0.715278	0.688963
XGB-24full	0.150000	109	91	18	53	9838	0.834862	0.631944	0.719368
XGB-24full	0.200000	97	83	14	61	9842	0.855670	0.576389	0.688797
XGB-24full	0.250000	84	76	8	68	9848	0.904762	0.527778	0.666667
XGB-24full	0.300000	76	71	5	73	9851	0.934211	0.493056	0.645455
XGB-24full	0.350000	70	65	5	79	9851	0.928571	0.451389	0.607477
XGB-24full	0.400000	62	57	5	87	9851	0.919355	0.395833	0.553398
XGB-24full	0.450000	62	57	5	87	9851	0.919355	0.395833	0.553398
XGB-24full	0.500000	52	48	4	96	9852	0.923077	0.333333	0.489796
XGB-24full	0.550000	44	42	2	102	9854	0.954545	0.291667	0.446809
XGB-24full	0.600000	38	37	1	107	9855	0.973684	0.256944	0.406593
XGB-24full	0.650000	33	32	1	112	9855	0.969697	0.222222	0.361582
XGB-24full	0.700000	29	29	0	115	9856	1.000000	0.201389	0.335260
XGB-24full	0.750000	22	22	0	122	9856	1.000000	0.152778	0.265060
XGB-24full	0.800000	19	19	0	125	9856	1.000000	0.131944	0.233129
XGB-24full	0.850000	13	13	0	131	9856	1.000000	0.090278	0.165605
XGB-24full	0.900000	6	6	0	138	9856	1.000000	0.041667	0.080000
XGB-24full	0.950000	2	2	0	142	9856	1.000000	0.013889	0.027397
XGB-24full	1.000000	0	0	0	144	9856		0.000000	
