section	delta_id	method	n_seeds	predicted_zvf_sign	measured_cohen_d	zvf_mean	zvf_risk_mean	verdict_or_tau	fires_n	fires_rate
delta_summary	delta_aero	aero	5	-1	-251.9	0.2203	0.4301	SUPPORT		
delta_summary	delta_gift	gift	5	0	-354.45	0.1142	0.3145	NO_DATA		
delta_summary	delta_areal	areal	5	0	-347.97	0.1209	0.3319	NO_DATA		
delta_summary	delta_dapo	dapo	0	-1	0.0	0.0	0.0	NO_DATA		
delta_summary	delta_drgrpo	drgrpo	0	1	0.0	0.0	0.0	NO_DATA		
delta_summary	delta_gspo	gspo	0	0	0.0	0.0	0.0	NO_DATA		
delta_summary	delta_cppo	cppo	5	0	-179.44	0.2952	0.4266	NO_DATA		
delta_summary	delta_ngrpo	ngrpo	5	0	-174.45	0.3004	0.4467	NO_DATA		
delta_summary	delta_mcgrpo	mcgrpo	5	0	-323.67	0.146	0.4034	NO_DATA		
delta_summary	delta_es	es	5	0	-354.43	0.1142	0.3051	NO_DATA		
delta_summary	delta_scafgrpo	scafgrpo	5	0	-158.71	0.3166	0.2253	NO_DATA		
tau_sweep	delta_aero	aero	5	-1	-251.9	0.2203	0.4301	0.1	0	0.0
tau_sweep	delta_gift	gift	5	0	-354.45	0.1142	0.3145	0.1	0	0.0
tau_sweep	delta_areal	areal	5	0	-347.97	0.1209	0.3319	0.1	0	0.0
tau_sweep	delta_dapo	dapo	0	-1	0.0	0.0	0.0	0.1		
tau_sweep	delta_drgrpo	drgrpo	0	1	0.0	0.0	0.0	0.1		
tau_sweep	delta_gspo	gspo	0	0	0.0	0.0	0.0	0.1		
tau_sweep	delta_cppo	cppo	5	0	-179.44	0.2952	0.4266	0.1	0	0.0
tau_sweep	delta_ngrpo	ngrpo	5	0	-174.45	0.3004	0.4467	0.1	0	0.0
tau_sweep	delta_mcgrpo	mcgrpo	5	0	-323.67	0.146	0.4034	0.1	0	0.0
tau_sweep	delta_es	es	5	0	-354.43	0.1142	0.3051	0.1	0	0.0
tau_sweep	delta_scafgrpo	scafgrpo	5	0	-158.71	0.3166	0.2253	0.1	0	0.0
tau_sweep	delta_aero	aero	5	-1	-251.9	0.2203	0.4301	0.15	0	0.0
tau_sweep	delta_gift	gift	5	0	-354.45	0.1142	0.3145	0.15	5	1.0
tau_sweep	delta_areal	areal	5	0	-347.97	0.1209	0.3319	0.15	5	1.0
tau_sweep	delta_dapo	dapo	0	-1	0.0	0.0	0.0	0.15		
tau_sweep	delta_drgrpo	drgrpo	0	1	0.0	0.0	0.0	0.15		
tau_sweep	delta_gspo	gspo	0	0	0.0	0.0	0.0	0.15		
tau_sweep	delta_cppo	cppo	5	0	-179.44	0.2952	0.4266	0.15	0	0.0
tau_sweep	delta_ngrpo	ngrpo	5	0	-174.45	0.3004	0.4467	0.15	0	0.0
tau_sweep	delta_mcgrpo	mcgrpo	5	0	-323.67	0.146	0.4034	0.15	3	0.6
tau_sweep	delta_es	es	5	0	-354.43	0.1142	0.3051	0.15	5	1.0
tau_sweep	delta_scafgrpo	scafgrpo	5	0	-158.71	0.3166	0.2253	0.15	0	0.0
tau_sweep	delta_aero	aero	5	-1	-251.9	0.2203	0.4301	0.2	0	0.0
tau_sweep	delta_gift	gift	5	0	-354.45	0.1142	0.3145	0.2	5	1.0
tau_sweep	delta_areal	areal	5	0	-347.97	0.1209	0.3319	0.2	5	1.0
tau_sweep	delta_dapo	dapo	0	-1	0.0	0.0	0.0	0.2		
