rate_pct	tier	fset	d11_mean	d11_sd	d11_cv	cv_leq_010
1.44	cheap_heuristic	24full	1.0	0.0	0.0	True
1.44	cheap_heuristic	20raw	1.0	0.0	0.0	True
1.44	cheap_heuristic	20raw+minmax	1.0	0.0	0.0	True
1.44	cheap_heuristic	20raw+stat	1.0	0.0	0.0	True
1.44	small_open	24full	1.0	0.0	0.0	True
1.44	small_open	20raw	1.0	0.0	0.0	True
1.44	small_open	20raw+minmax	1.0	0.0	0.0	True
1.44	small_open	20raw+stat	1.0	0.0	0.0	True
1.44	iter120_default	24full	1.0	0.0	0.0	True
1.44	iter120_default	20raw	1.0	0.0	0.0	True
1.44	iter120_default	20raw+minmax	1.0	0.0	0.0	True
1.44	iter120_default	20raw+stat	1.0	0.0	0.0	True
1.44	mid_tier	24full	1.0	0.0	0.0	True
1.44	mid_tier	20raw	1.0	0.0	0.0	True
1.44	mid_tier	20raw+minmax	1.0	0.0	0.0	True
1.44	mid_tier	20raw+stat	1.0	0.0	0.0	True
1.44	frontier_gpt4	24full	1.0	0.0	0.0	True
1.44	frontier_gpt4	20raw	1.0	0.0	0.0	True
1.44	frontier_gpt4	20raw+minmax	1.0	0.0	0.0	True
1.44	frontier_gpt4	20raw+stat	1.0	0.0	0.0	True
1.0	cheap_heuristic	24full	1.0	0.0	0.0	True
1.0	cheap_heuristic	20raw	1.0	0.0	0.0	True
1.0	cheap_heuristic	20raw+minmax	1.0	0.0	0.0	True
1.0	cheap_heuristic	20raw+stat	1.0	0.0	0.0	True
1.0	small_open	24full	1.0	0.0	0.0	True
1.0	small_open	20raw	1.0	0.0	0.0	True
1.0	small_open	20raw+minmax	1.0	0.0	0.0	True
1.0	small_open	20raw+stat	1.0	0.0	0.0	True
1.0	iter120_default	24full	1.0	0.0	0.0	True
1.0	iter120_default	20raw	1.0	0.0	0.0	True
1.0	iter120_default	20raw+minmax	1.0	0.0	0.0	True
1.0	iter120_default	20raw+stat	1.0	0.0	0.0	True
1.0	mid_tier	24full	1.0	0.0	0.0	True
1.0	mid_tier	20raw	1.0	0.0	0.0	True
1.0	mid_tier	20raw+minmax	1.0	0.0	0.0	True
1.0	mid_tier	20raw+stat	1.0	0.0	0.0	True
1.0	frontier_gpt4	24full	1.0	0.0	0.0	True
1.0	frontier_gpt4	20raw	1.0	0.0	0.0	True
1.0	frontier_gpt4	20raw+minmax	1.0	0.0	0.0	True
1.0	frontier_gpt4	20raw+stat	1.0	0.0	0.0	True
0.5	cheap_heuristic	24full	1.0	0.0	0.0	True
0.5	cheap_heuristic	20raw	1.0	0.0	0.0	True
0.5	cheap_heuristic	20raw+minmax	1.0	0.0	0.0	True
0.5	cheap_heuristic	20raw+stat	1.0	0.0	0.0	True
0.5	small_open	24full	1.0	0.0	0.0	True
0.5	small_open	20raw	1.0	0.0	0.0	True
0.5	small_open	20raw+minmax	1.0	0.0	0.0	True
0.5	small_open	20raw+stat	1.0	0.0	0.0	True
0.5	iter120_default	24full	1.0	0.0	0.0	True
0.5	iter120_default	20raw	1.0	0.0	0.0	True
0.5	iter120_default	20raw+minmax	1.0	0.0	0.0	True
0.5	iter120_default	20raw+stat	1.0	0.0	0.0	True
0.5	mid_tier	24full	1.0	0.0	0.0	True
0.5	mid_tier	20raw	1.0	0.0	0.0	True
0.5	mid_tier	20raw+minmax	1.0	0.0	0.0	True
0.5	mid_tier	20raw+stat	1.0	0.0	0.0	True
0.5	frontier_gpt4	24full	1.0	0.0	0.0	True
0.5	frontier_gpt4	20raw	1.0	0.0	0.0	True
0.5	frontier_gpt4	20raw+minmax	1.0	0.0	0.0	True
0.5	frontier_gpt4	20raw+stat	1.0	0.0	0.0	True
0.1	cheap_heuristic	24full	1.0	0.0	0.0	True
0.1	cheap_heuristic	20raw	1.0	0.0	0.0	True
0.1	cheap_heuristic	20raw+minmax	1.0	0.0	0.0	True
0.1	cheap_heuristic	20raw+stat	1.0	0.0	0.0	True
0.1	small_open	24full	1.0	0.0	0.0	True
0.1	small_open	20raw	1.0	0.0	0.0	True
0.1	small_open	20raw+minmax	1.0	0.0	0.0	True
0.1	small_open	20raw+stat	1.0	0.0	0.0	True
0.1	iter120_default	24full	1.0	0.0	0.0	True
0.1	iter120_default	20raw	1.0	0.0	0.0	True
0.1	iter120_default	20raw+minmax	1.0	0.0	0.0	True
0.1	iter120_default	20raw+stat	1.0	0.0	0.0	True
0.1	mid_tier	24full	1.0	0.0	0.0	True
0.1	mid_tier	20raw	1.0	0.0	0.0	True
0.1	mid_tier	20raw+minmax	1.0	0.0	0.0	True
0.1	mid_tier	20raw+stat	1.0	0.0	0.0	True
0.1	frontier_gpt4	24full	0.8	0.4	0.5	False
0.1	frontier_gpt4	20raw	0.8	0.4	0.5	False
0.1	frontier_gpt4	20raw+minmax	0.8	0.4	0.5	False
0.1	frontier_gpt4	20raw+stat	0.8	0.4	0.5	False
