method	step	reward_mean	boot_mean	ci_lo	ci_hi	ci_half_width	stable_025	stable_050	stable_100
aero	0	0.7891	0.81255859375	0.7421875	0.875	0.06640625	0	0	1
aero	1	0.8203	0.8426640625	0.78125	0.8986328124999989	0.05869140624999947	0	0	1
aero	2	0.8672	0.8838203125	0.828125	0.9375	0.0546875	0	0	1
aero	3	0.7578	0.7348125	0.65625	0.8046875	0.07421875	0	0	1
aero	4	0.8281	0.80407421875	0.734375	0.875	0.0703125	0	0	1
aero	5	0.6406	0.58516015625	0.4921875	0.671875	0.08984375	0	0	1
aero	6	0.7422	0.7348359375	0.65625	0.8046875	0.07421875	0	0	1
aero	7	0.7109	0.67143359375	0.5859375	0.75	0.08203125	0	0	1
aero	8	0.75	0.7584375	0.6796875	0.828125	0.07421875	0	0	1
aero	9	0.8594	0.8438671875	0.7734375	0.90625	0.06640625	0	0	1
aero	10	0.8516	0.8898671875	0.828125	0.9453125	0.05859375	0	0	1
aero	11	0.7578	0.7578125	0.6796875	0.828125	0.07421875	0	0	1
aero	12	0.8672	0.81175	0.7421875	0.875	0.06640625	0	0	1
aero	13	0.7109	0.77362890625	0.6953125	0.84375	0.07421875	0	0	1
aero	14	0.9219	0.91337109375	0.859375	0.9609375	0.05078125	0	0	1
aero	15	0.8828	0.9140078125	0.8671875	0.9609375	0.046875	0	1	1
aero	16	0.7188	0.67876171875	0.59375	0.7578125	0.08203125	0	0	1
aero	17	0.7812	0.772671875	0.6953125	0.84375	0.07421875	0	0	1
aero	18	0.7031	0.77451171875	0.703125	0.84375	0.0703125	0	0	1
aero	19	0.7812	0.726265625	0.6484375	0.8046875	0.078125	0	0	1
aero	20	0.8281	0.796890625	0.7265625	0.859375	0.06640625	0	0	1
aero	21	0.9062	0.8525078125	0.7890625	0.9140625	0.0625	0	0	1
aero	22	0.8984	0.9217578125	0.8748046875	0.9609375	0.04306640625000002	0	1	1
aero	23	0.8672	0.8668203125	0.8046875	0.921875	0.05859375	0	0	1
aero	24	0.9297	0.9692109375	0.9375	0.9921875	0.02734375	0	1	1
aero	25	0.8203	0.84462109375	0.78125	0.90625	0.0625	0	0	1
aero	26	0.8203	0.8515859375	0.7890625	0.9140625	0.0625	0	0	1
aero	27	0.9766	0.96909375	0.9375	0.9921875	0.02734375	0	1	1
aero	28	0.9062	0.8751640625	0.8125	0.9296875	0.05859375	0	0	1
aero	29	0.9375	0.90685546875	0.859375	0.953125	0.046875	0	1	1
aero	30	0.9375	0.8906640625	0.8359375	0.9453125	0.0546875	0	0	1
aero	31	0.9062	0.87548046875	0.8203125	0.9296875	0.0546875	0	0	1
aero	32	0.875	0.85126953125	0.7890625	0.90625	0.05859375	0	0	1
aero	33	0.8672	0.84254296875	0.78125	0.8984375	0.05859375	0	0	1
aero	34	0.8906	0.891140625	0.8359375	0.9453125	0.0546875	0	0	1
aero	35	0.8203	0.78949609375	0.7109375	0.8517578124999989	0.07041015624999947	0	0	1
aero	36	0.8984	0.91477734375	0.8671875	0.9609375	0.046875	0	1	1
aero	37	0.7031	0.74344921875	0.6640625	0.8203125	0.078125	0	0	1
aero	38	0.8047	0.7743046875	0.703125	0.84375	0.0703125	0	0	1
aero	39	0.7656	0.75894140625	0.6875	0.828125	0.0703125	0	0	1
areal	0	0.8594	0.86625390625	0.8046875	0.921875	0.05859375	0	0	1
areal	1	0.8516	0.84328125	0.7810546875	0.90625	0.06259765625000002	0	0	1
areal	2	0.8125	0.797328125	0.71875	0.8671875	0.07421875	0	0	1
areal	3	0.7422	0.70266796875	0.625	0.78125	0.078125	0	0	1
areal	4	0.8281	0.77430078125	0.6953125	0.84375	0.07421875	0	0	1
areal	5	0.6562	0.67969140625	0.6013671875	0.7578125	0.07822265625000002	0	0	1
areal	6	0.8203	0.81163671875	0.7421875	0.875	0.06640625	0	0	1
areal	7	0.75	0.68798046875	0.609375	0.765625	0.078125	0	0	1
areal	8	0.75	0.82725390625	0.7578125	0.890625	0.06640625	0	0	1
areal	9	0.8594	0.84339453125	0.78125	0.8984375	0.05859375	0	0	1
areal	10	0.8828	0.87490234375	0.8125	0.9296875	0.05859375	0	0	1
areal	11	0.7344	0.7424921875	0.6640625	0.8125	0.07421875	0	0	1
