method	step	k	n	p	stable_count
grpo	0	11	16	0.6875	11
grpo	1	8	16	0.5000	8
grpo	2	11	16	0.6875	11
grpo	3	12	16	0.7500	12
grpo	4	11	16	0.6875	11
grpo	5	11	16	0.6875	11
grpo	6	13	16	0.8125	13
grpo	7	11	16	0.6875	11
grpo	8	9	16	0.5625	9
grpo	9	11	16	0.6875	11
grpo	10	11	16	0.6875	11
grpo	11	11	16	0.6875	11
grpo	12	13	16	0.8125	13
grpo	13	9	16	0.5625	9
grpo	14	12	16	0.7500	12
grpo	15	12	16	0.7500	12
grpo	16	10	16	0.6250	10
grpo	17	8	16	0.5000	8
grpo	18	9	16	0.5625	9
grpo	19	10	16	0.6250	10
grpo	20	10	16	0.6250	10
grpo	21	12	16	0.7500	12
grpo	22	12	16	0.7500	12
grpo	23	14	16	0.8750	14
grpo	24	13	16	0.8125	13
grpo	25	9	16	0.5625	9
grpo	26	13	16	0.8125	13
grpo	27	15	16	0.9375	15
grpo	28	13	16	0.8125	13
grpo	29	13	16	0.8125	13
grpo	30	13	16	0.8125	13
grpo	31	12	16	0.7500	12
grpo	32	11	16	0.6875	11
grpo	33	11	16	0.6875	11
grpo	34	14	16	0.8750	14
grpo	35	15	16	0.9375	15
grpo	36	13	16	0.8125	13
grpo	37	12	16	0.7500	12
grpo	38	11	16	0.6875	11
grpo	39	12	16	0.7500	12
aero	0	11	16	0.6875	11
aero	1	11	16	0.6875	11
aero	2	13	16	0.8125	13
aero	3	11	16	0.6875	11
aero	4	12	16	0.7500	12
aero	5	9	16	0.5625	9
aero	6	12	16	0.7500	12
aero	7	10	16	0.6250	10
aero	8	11	16	0.6875	11
aero	9	10	16	0.6250	10
aero	10	12	16	0.7500	12
aero	11	9	16	0.5625	9
aero	12	11	16	0.6875	11
aero	13	9	16	0.5625	9
aero	14	12	16	0.7500	12
aero	15	13	16	0.8125	13
aero	16	9	16	0.5625	9
aero	17	9	16	0.5625	9
aero	18	10	16	0.6250	10
aero	19	10	16	0.6250	10
aero	20	10	16	0.6250	10
aero	21	13	16	0.8125	13
aero	22	11	16	0.6875	11
aero	23	13	16	0.8125	13
aero	24	13	16	0.8125	13
aero	25	11	16	0.6875	11
aero	26	14	16	0.8750	14
aero	27	15	16	0.9375	15
aero	28	13	16	0.8125	13
aero	29	14	16	0.8750	14
aero	30	13	16	0.8125	13
aero	31	13	16	0.8125	13
aero	32	12	16	0.7500	12
aero	33	10	16	0.6250	10
aero	34	14	16	0.8750	14
aero	35	13	16	0.8125	13
aero	36	13	16	0.8125	13
aero	37	11	16	0.6875	11
aero	38	11	16	0.6875	11
aero	39	10	16	0.6250	10
gift	0	12	16	0.7500	12
gift	1	9	16	0.5625	9
gift	2	11	16	0.6875	11
gift	3	9	16	0.5625	9
gift	4	11	16	0.6875	11
gift	5	10	16	0.6250	10
gift	6	12	16	0.7500	12
gift	7	11	16	0.6875	11
gift	8	10	16	0.6250	10
gift	9	10	16	0.6250	10
gift	10	12	16	0.7500	12
gift	11	10	16	0.6250	10
gift	12	12	16	0.7500	12
gift	13	9	16	0.5625	9
gift	14	13	16	0.8125	13
gift	15	10	16	0.6250	10
gift	16	10	16	0.6250	10
gift	17	12	16	0.7500	12
gift	18	10	16	0.6250	10
gift	19	12	16	0.7500	12
gift	20	11	16	0.6875	11
gift	21	12	16	0.7500	12
gift	22	14	16	0.8750	14
gift	23	14	16	0.8750	14
gift	24	14	16	0.8750	14
gift	25	12	16	0.7500	12
gift	26	13	16	0.8125	13
gift	27	15	16	0.9375	15
gift	28	14	16	0.8750	14
gift	29	15	16	0.9375	15
gift	30	14	16	0.8750	14
gift	31	15	16	0.9375	15
gift	32	12	16	0.7500	12
gift	33	15	16	0.9375	15
gift	34	16	16	1.0000	16
gift	35	15	16	0.9375	15
gift	36	15	16	0.9375	15
gift	37	14	16	0.8750	14
gift	38	15	16	0.9375	15
gift	39	13	16	0.8125	13
areal	0	11	16	0.6875	11
areal	1	8	16	0.5000	8
areal	2	11	16	0.6875	11
areal	3	11	16	0.6875	11
areal	4	8	16	0.5000	8
areal	5	12	16	0.7500	12
areal	6	11	16	0.6875	11
areal	7	14	16	0.8750	14
areal	8	10	16	0.6250	10
areal	9	11	16	0.6875	11
areal	10	11	16	0.6875	11
areal	11	8	16	0.5000	8
areal	12	13	16	0.8125	13
areal	13	9	16	0.5625	9
areal	14	11	16	0.6875	11
areal	15	11	16	0.6875	11
areal	16	10	16	0.6250	10
areal	17	8	16	0.5000	8
areal	18	9	16	0.5625	9
areal	19	12	16	0.7500	12
areal	20	11	16	0.6875	11
areal	21	11	16	0.6875	11
areal	22	13	16	0.8125	13
areal	23	13	16	0.8125	13
areal	24	14	16	0.8750	14
areal	25	10	16	0.6250	10
areal	26	14	16	0.8750	14
areal	27	15	16	0.9375	15
areal	28	14	16	0.8750	14
areal	29	13	16	0.8125	13
areal	30	12	16	0.7500	12
areal	31	9	16	0.5625	9
areal	32	12	16	0.7500	12
areal	33	10	16	0.6250	10
areal	34	11	16	0.6875	11
areal	35	13	16	0.8125	13
areal	36	12	16	0.7500	12
areal	37	11	16	0.6875	11
areal	38	13	16	0.8125	13
areal	39	12	16	0.7500	12
