decile	p	weighting	best_method
1	P5	raw	aero
1	P5	weighted	aero
1	P6	raw	aero
1	P6	weighted	gift
1	P7	raw	aero
1	P7	weighted	aero
1	P8	raw	aero
1	P8	weighted	aero
2	P5	raw	aero
2	P5	weighted	aero
2	P6	raw	grpo
2	P6	weighted	grpo
2	P7	raw	aero
2	P7	weighted	aero
2	P8	raw	aero
2	P8	weighted	aero
3	P5	raw	grpo
3	P5	weighted	grpo
3	P6	raw	aero
3	P6	weighted	aero
3	P7	raw	grpo
3	P7	weighted	grpo
3	P8	raw	grpo
3	P8	weighted	grpo
4	P5	raw	aero
4	P5	weighted	aero
4	P6	raw	grpo
4	P6	weighted	grpo
4	P7	raw	areal
4	P7	weighted	aero
4	P8	raw	grpo
4	P8	weighted	grpo
5	P5	raw	gift
5	P5	weighted	gift
5	P6	raw	grpo
5	P6	weighted	grpo
5	P7	raw	areal
5	P7	weighted	gift
5	P8	raw	gift
5	P8	weighted	gift
6	P5	raw	aero
6	P5	weighted	gift
6	P6	raw	areal
6	P6	weighted	areal
6	P7	raw	aero
6	P7	weighted	aero
6	P8	raw	grpo
6	P8	weighted	grpo
7	P5	raw	gift
7	P5	weighted	grpo
7	P6	raw	areal
7	P6	weighted	areal
7	P7	raw	gift
7	P7	weighted	grpo
7	P8	raw	grpo
7	P8	weighted	grpo
8	P5	raw	grpo
8	P5	weighted	grpo
8	P6	raw	areal
8	P6	weighted	areal
8	P7	raw	gift
8	P7	weighted	gift
8	P8	raw	grpo
8	P8	weighted	grpo
9	P5	raw	gift
9	P5	weighted	gift
9	P6	raw	grpo
9	P6	weighted	aero
9	P7	raw	areal
9	P7	weighted	gift
9	P8	raw	gift
9	P8	weighted	gift
10	P5	raw	areal
10	P5	weighted	grpo
10	P6	raw	grpo
10	P6	weighted	grpo
10	P7	raw	areal
10	P7	weighted	areal
10	P8	raw	grpo
10	P8	weighted	grpo
