model	params_B	arch	n	R_max	lambda	t_80	alpha	rho1	dy_var	tau_int	n_eff_frac	log_params
Qwen3.5-4B	4.0	dense	30	1.0	0.18717020596673595	8.598793296835561	-0.18380986007946298	-0.12882995878874753	0.10560344827586207	1.0	1.0	1.3862943611198906
Qwen3-8B	8.0	dense	30	1.0	0.019200488855353037	83.82275704326112	-0.22144112966592971	-0.2758538429913562	0.07525453329369797	1.0	1.0	2.0794415416798357
Llama-3.1-8B-Instruct	8.0	dense	30	1.0	0.17715043323668042	9.085148046371547	0.14595906509514817	-0.03350142293674173	0.055765086206896554	1.8318514899853446	0.5458957811083257	2.0794415416798357
Qwen3-32B	32.0	dense	3	0.24966666666666668	inf	nan	nan	-0.5000000000000002	0.00874225	1.0	1.0	3.4657359027997265
Qwen3.5-27B	27.0	dense	3	0.43733333333333335	inf	nan	nan	-0.8628290118856157	0.21996099999999996	1.0	1.0	3.295836866004329
gpt-oss-20B	20.0	moe	30	1.0	0.20942628675183156	7.684985191669234	-0.8111750947188371	-0.28273701579507465	0.09546856420927469	1.0	1.0	2.995732273553991
Qwen3-30B-MoE	30.0	moe	5	1.0	0.13102970281103818	12.28300055564591	-2.970296570777839	-0.5438932366832052	0.09598475	1.0	1.0	3.4011973816621555
Qwen3-30B-MoE-Inst	30.0	moe	3	1.0	inf	nan	nan	nan	0.0	1.0	1.0	3.4011973816621555
DeepSeek-V3.1	685.0	moe	20	1.0	0.24934158829336647	6.45475118471008	0.21719520488473512	-0.11549295774647887	0.04189750692520775	1.0	1.0	6.529418838262226
Nemotron-120B	120.0	dense	20	1.0	0.018579550116156064	86.6241594856807	-0.021002275620924132	-0.02227298686464877	0.12101800554016622	1.0	1.0	4.787491742782046
Qwen3-235B-MoE	235.0	moe	4	1.0	2.302585092994045	0.698970004336019	3.184554295427316	nan	0.0	1.0	1.0	5.459585514144159
Kimi-K2-Thinking	1000.0	moe	20	1.0	0.21974568265109343	7.324093438456876	-0.36126946121226516	-0.1597374179431072	0.06890581717451523	1.0	1.0	6.907755278982137
