anchor	k	r2_sat	r2_const	r2_linear	delta_sat_const
Qwen3.5-4B	3	-0.3693373839271077	-0.7930845225027443	-0.36926454445663714	0.4237471385756366
Qwen3.5-4B	4	-0.5045044232621443	-0.8495002939447385	-4.075426219870652	0.3449958706825942
Qwen3.5-4B	5	-0.6203127039809442	-0.914556962025316	-4.253955696202497	0.2942442580443718
Qwen3.5-4B	6	-0.15437954804334408	-1.8745570517363568	-15.359553942058753	1.7201775036930127
Qwen3.5-4B	7	-0.006957228053201314	-2.1296296296296298	-33.44767573696146	2.1226724015764287
Qwen3.5-4B	8	-0.014464649280794273	-0.08940341389217488	-11.843945411526079	0.0749387646113806
Qwen3.5-4B	9	-0.0007323616094008223	-0.7743768328445746	-12.296038764662772	0.7736444712351738
Qwen3.5-4B	10	-0.0007691241129499371	-0.0007698229407235857	-6.201216447489801	6.988277736486026e-07
Qwen3.5-4B	11	-0.008017009482129023	-0.7055369127516777	-1.388140287869546	0.6975199032695487
Qwen3.5-4B	12	-0.03894457992942213	-0.7751152073732719	-0.1597300285998713	0.7361706274438498
Qwen3.5-4B	13	-0.09005863909998801	-0.8599182004089978	-0.09005215328952931	0.7698595613090098
Qwen3.5-4B	14	-0.033040858729124434	-0.5426008968609866	-0.17303482010524096	0.5095600381318621
Qwen3.5-4B	15	-0.04337708223527015	-0.12048192771084354	-0.08438191541676843	0.07710484547557339
Qwen3.5-4B	16	-0.016763714936417262	-8.56997971602434	-2.2446279487215373	8.553216001087923
Qwen3.5-4B	17	-3.194336896217287e-05	-0.8356481481481484	-0.7833554352092178	0.8356162047791862
Qwen3.5-4B	18	-0.0011228553923532392	-0.09090909090909083	-0.4059075333633082	0.08978623551673759
Qwen3.5-4B	19	-0.002848254040358267	-0.41025641025641013	-0.5650620857261346	0.40740815621605186
Qwen3.5-4B	20	-0.059037373825047146	-1.952029520295203	-1.2066550521630512	1.8929921464701558
Qwen3.5-4B	21	-0.024675714016956674	-0.20502092050209209	-0.5790303546640825	0.1803452064851354
Qwen3.5-4B	22	-0.22863456600265275	-4.1183533447684395	-1.7691255259127212	3.8897187787657868
Qwen3.5-4B	23	-0.1440829071312999	-0.09722222222222232	-0.9478522090426595	-0.04686068490907758
Qwen3.5-4B	24	-1.1680387972157127	-9.8	-4.435768977105664	8.631961202784288
Qwen3.5-4B	25	-0.7510987304222534	-0.2500000000000002	-2.314568848619337	-0.5010987304222532
Qwen3.5-4B	26	-0.4052075732003335	-0.33333333333333326	-1.0421772766995985	-0.07187423986700026
Qwen3.5-4B	27	nan	nan	nan	nan
Qwen3-8B	3	-14.805734372721956	-2.952003173343912	-96.23418286394269	-11.853731199378043
Qwen3-8B	4	-0.0063097086371251	-0.3336113427856551	-0.44989574645537944	0.32730163414853
Qwen3-8B	5	-0.03709912403476889	-0.3169446883230904	-1.6668129938542537	0.2798455642883215
Qwen3-8B	6	-0.03870366081447174	-0.03869933592855501	-0.5635111200422436	-4.32488591672886e-06
