# Pillar 2 Contrastive Yield decomposition (per-problem / per-step)
# Computed from real rollout data:
#   - tinker_gsm8k_zvf_s{42,123,456}.json: 600 (problem, G=8) rollouts.
#   - groupsize_zvf_sweep.json: 12 runs * 40 steps x G in {2,4,8,16}.
# Columns:
#   source      tinker_gsm8k | groupsize_zvf_sweep | groupsize_zvf_sweep_agg
#   seed, problem_id|step, G, k|p_x, zvf_obs, zvf_iid, delta_div, Y_obs
# zvf_iid  = p**G + (1-p)**G (Bernoulli-collision baseline).
# delta_div = zvf_iid - zvf_obs (structural diversity bonus;
#            POSITIVE delta_div proves the sampler anti-herds).
# Source: scripts/zvf_contrastive_yield.py
source	seed	id	G	p_x	zvf_obs	zvf_iid	delta_div	Y_obs
tinker_gsm8k	42	0	8	0.5000	0.0000	0.0078	0.0078	1.0000
tinker_gsm8k	42	1	8	0.0000	1.0000	1.0000	0.0000	0.0000
tinker_gsm8k	42	2	8	0.7500	0.0000	0.1001	0.1001	1.0000
tinker_gsm8k	42	3	8	1.0000	1.0000	1.0000	0.0000	0.0000
tinker_gsm8k	42	4	8	0.1250	0.0000	0.3436	0.3436	1.0000
tinker_gsm8k	42	5	8	0.6250	0.0000	0.0237	0.0237	1.0000
tinker_gsm8k	42	6	8	0.5000	0.0000	0.0078	0.0078	1.0000
tinker_gsm8k	42	7	8	0.6250	0.0000	0.0237	0.0237	1.0000
tinker_gsm8k	42	8	8	0.6250	0.0000	0.0237	0.0237	1.0000
tinker_gsm8k	42	9	8	0.7500	0.0000	0.1001	0.1001	1.0000
tinker_gsm8k	42	10	8	0.7500	0.0000	0.1001	0.1001	1.0000
tinker_gsm8k	42	11	8	1.0000	1.0000	1.0000	0.0000	0.0000
tinker_gsm8k	42	12	8	0.2500	0.0000	0.1001	0.1001	1.0000
tinker_gsm8k	42	13	8	0.8750	0.0000	0.3436	0.3436	1.0000
tinker_gsm8k	42	14	8	0.6250	0.0000	0.0237	0.0237	1.0000
tinker_gsm8k	42	15	8	0.6250	0.0000	0.0237	0.0237	1.0000
tinker_gsm8k	42	16	8	0.3750	0.0000	0.0237	0.0237	1.0000
tinker_gsm8k	42	17	8	1.0000	1.0000	1.0000	0.0000	0.0000
