scope	threshold	tp	fp	tn	fn	tpr	fpr	f1	balanced_acc	accuracy
real_only	0.05	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.075	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.1	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.125	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.15	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.175	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.2	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.225	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.25	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.275	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.3	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.325	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.35	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.375	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.4	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.425	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.45	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.475	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.5	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.525	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.55	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.575	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.6	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.625	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.65	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.675	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.7	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.725	4	41	0	0	1.0	1.0	0.1633	0.5	0.0889
real_only	0.75	3	34	7	1	0.75	0.8293	0.1463	0.4604	0.2222
real_only	0.775	0	29	12	4	0.0	0.7073	0.0	0.1463	0.2667
real_only	0.8	0	25	16	4	0.0	0.6098	0.0	0.1951	0.3556
real_only	0.825	0	25	16	4	0.0	0.6098	0.0	0.1951	0.3556
real_only	0.85	0	25	16	4	0.0	0.6098	0.0	0.1951	0.3556
real_only	0.875	0	25	16	4	0.0	0.6098	0.0	0.1951	0.3556
real_only	0.9	0	20	21	4	0.0	0.4878	0.0	0.2561	0.4667
real_only	0.925	0	20	21	4	0.0	0.4878	0.0	0.2561	0.4667
real_only	0.95	0	10	31	4	0.0	0.2439	0.0	0.378	0.6889
synthetic_augmented_iter130	0.05	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.075	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.1	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.125	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.15	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.175	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.2	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.225	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.25	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.275	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.3	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.325	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.35	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.375	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.4	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.425	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.45	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.475	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
synthetic_augmented_iter130	0.5	11	41	0	0	1.0	1.0	0.3492	0.5	0.2115
