phase	feature	mean	sd	min	max	n
collapse	zvf_level	0.3333	0.0	0.3333	0.3333	1
collapse	zvf_instability	0.5	0.0	0.5	0.5	1
collapse	zvf_slope	-0.145767	0.0	-0.145767	-0.145767	1
collapse	zvf_direction	-0.281	0.0	-0.281	-0.281	1
collapse	zvf_discriminator	0.3333	0.0	0.3333	0.3333	1
drift	zvf_level	0.0	0.0	0.0	0.0	3
drift	zvf_instability	0.19569999999999999	0.21529943489630127	0.0345	0.5	3
drift	zvf_slope	-0.019532333333333332	0.01759237958763838	-0.044009	-0.003433	3
drift	zvf_direction	-0.12076666666666667	0.04744971607455155	-0.1875	-0.0813	3
drift	zvf_discriminator	0.0	0.0	0.0	0.0	3
plateau	zvf_level	0.18333333333333335	0.25927248643506745	0.0	0.55	3
plateau	zvf_instability	0.11676666666666669	0.05817131786561331	0.0345	0.1579	3
plateau	zvf_slope	0.008073666666666666	0.015283534720592469	-0.004852	0.029539	3
plateau	zvf_direction	0.026399999999999996	0.034901098359029714	-0.0208	0.0625	3
plateau	zvf_discriminator	0.171875	0.2430679560328757	0.0	0.515625	3
saturation	zvf_level	0.01334	0.026679999999999995	0.0	0.0667	5
saturation	zvf_instability	0.45976	0.0673221092955353	0.3333	0.5172	5
saturation	zvf_slope	0.0006133999999999998	0.001531793798133417	-0.001619	0.002423	5
saturation	zvf_direction	0.06494	0.05994943202399836	0.0	0.156	5
saturation	zvf_discriminator	0.012006	0.024012	0.0	0.06003	5
