# Pillar 2 Iter 70 per-library severity ranking
# severity_avg is the mean of the row-level severity scores
# (0=ok, 1=drift, 2=collapse, 3=full_collapse). tail_means
# are the per-step averages of (p_eq1, p_eq0) across the
# rows in each bucket.
# Source: scripts/zvf_iter70.py
library	model	n_rows	mean_zvf	mean_severity	max_severity	mean_tail_p_eq1	mean_tail_p_eq0	n_full_collapse	n_collapse	n_drift	n_ok	rank_score	evidence_path
grpo	GRPO	5	0.4808	0.0000	0	0.0000	0.0680	0	0	0	5	0.0000	experiments/results/variance_mitigation.tsv
aero	AERO	5	0.2203	0.0000	0	0.0000	0.2120	0	0	0	5	0.0000	experiments/results/variance_mitigation.tsv
cppo	CPPO	5	0.2952	0.0000	0	0.0000	0.1820	0	0	0	5	0.0000	experiments/results/variance_mitigation.tsv
ngrpo	NGRPO	5	0.3003	0.0000	0	0.0000	0.1400	0	0	0	5	0.0000	experiments/results/variance_mitigation.tsv
scafgrpo	SCAFGRPO	5	0.3166	0.0000	0	0.0000	0.0000	0	0	0	5	0.0000	experiments/results/variance_mitigation.tsv
mcgrpo	MCGRPO	5	0.1461	0.2000	1	0.0000	0.2824	0	0	1	4	0.2000	experiments/results/variance_mitigation.tsv
gift	GIFT	5	0.1142	0.2000	1	0.0000	0.2422	0	0	1	4	0.2000	experiments/results/variance_mitigation.tsv
areal	AREAL	5	0.1209	0.2000	1	0.0000	0.2738	0	0	1	4	0.2000	experiments/results/variance_mitigation.tsv
es	ES	5	0.1142	0.2000	1	0.0000	0.2002	0	0	1	4	0.2000	experiments/results/variance_mitigation.tsv
gsm8k_real	Qwen/Qwen3-8B	4	0.1583	0.0000	0	0.1583	0.8417	0	0	0	4	0.0792	experiments/results/tinker_gsm8k_zvf_s42.json
arithmetic_groupsize	Qwen/Qwen2.5-0.5B	4	0.7308	0.0000	0	0.2354	0.0437	0	0	0	4	0.1177	experiments/results/groupsize_zvf_sweep.tsv
tool_use	qwen3-32b	1	1.0000	3.0000	3	1.0000	0.0000	1	0	0	0	3.5000	experiments/results/tool_code_reward_diagnostics.tsv
tool_use	llama-8b-inst	1	1.0000	3.0000	3	1.0000	0.0000	1	0	0	0	3.5000	experiments/results/tool_code_reward_diagnostics.tsv
scaling_law	Qwen3.5-4B	1	NA	0.0000	0	NA	NA	0	0	0	1	0.0000	experiments/results/scaling_law_three_phase.tsv
scaling_law	Qwen3-8B	1	NA	1.0000	1	NA	NA	0	0	1	0	1.0000	experiments/results/scaling_law_three_phase.tsv
scaling_law	Llama-3.1-8B-Instruct	1	NA	1.0000	1	NA	NA	0	0	1	0	1.0000	experiments/results/scaling_law_three_phase.tsv
scaling_law	DeepSeek-V3.1	1	NA	1.0000	1	NA	NA	0	0	1	0	1.0000	experiments/results/scaling_law_three_phase.tsv
scaling_law	Nemotron-120B	1	NA	2.0000	2	NA	NA	0	1	0	0	2.0000	experiments/results/scaling_law_three_phase.tsv
drgrpo_vs_grpo	Qwen/Qwen2.5-0.5B	10	0.7941	0.0000	0	NA	NA	0	0	0	10	0.0000	experiments/results/drgrpo_vs_grpo.json
samestack_ppo_grpo	Qwen/Qwen2.5-0.5B	10	NA	0.1000	1	NA	NA	0	0	1	9	0.1000	experiments/results/samestack_ppo_grpo.json
