# Pillar 2 iter78 per-channel (AR1, CUSUM, H-run) alarm at th=0.70.
# Source: scripts/zvf_iter78.py
source	method	seed	channel	threshold	t_alarm	t_fail	lead_time	true_alarm
variance_mitigation	grpo	0	ar1	0.700000	7	152	145	1
variance_mitigation	grpo	0	cusum	0.700000	98	152	54	1
variance_mitigation	grpo	0	h_run	0.700000	148	152	4	1
variance_mitigation	grpo	1	ar1	0.700000	6	153	147	1
variance_mitigation	grpo	1	cusum	0.700000	106	153	47	1
variance_mitigation	grpo	1	h_run	0.700000	148	153	5	1
variance_mitigation	grpo	2	ar1	0.700000	12	153	141	1
variance_mitigation	grpo	2	cusum	0.700000	105	153	48	1
variance_mitigation	grpo	2	h_run	0.700000	151	153	2	1
variance_mitigation	grpo	3	ar1	0.700000	24	154	130	1
variance_mitigation	grpo	3	cusum	0.700000	106	154	48	1
variance_mitigation	grpo	3	h_run	0.700000	151	154	3	1
variance_mitigation	grpo	4	ar1	0.700000	7	152	145	1
variance_mitigation	grpo	4	cusum	0.700000	95	152	57	1
variance_mitigation	grpo	4	h_run	0.700000	151	152	1	1
variance_mitigation	aero	0	ar1	0.700000	62	87	25	1
variance_mitigation	aero	0	cusum	0.700000	61	87	26	1
variance_mitigation	aero	0	h_run	0.700000	84	87	3	1
variance_mitigation	aero	1	ar1	0.700000	7	87	80	1
variance_mitigation	aero	1	cusum	0.700000	62	87	25	1
variance_mitigation	aero	1	h_run	0.700000	84	87	3	1
variance_mitigation	aero	2	ar1	0.700000	50	87	37	1
variance_mitigation	aero	2	cusum	0.700000	63	87	24	1
variance_mitigation	aero	2	h_run	0.700000	83	87	4	1
variance_mitigation	aero	3	ar1	0.700000	51	87	36	1
variance_mitigation	aero	3	cusum	0.700000	63	87	24	1
variance_mitigation	aero	3	h_run	0.700000	84	87	3	1
variance_mitigation	aero	4	ar1	0.700000	32	88	56	1
variance_mitigation	aero	4	cusum	0.700000	62	88	26	1
variance_mitigation	aero	4	h_run	0.700000	86	88	2	1
variance_mitigation	cppo	0	ar1	0.700000	57	78	21	1
variance_mitigation	cppo	0	cusum	0.700000	54	78	24	1
variance_mitigation	cppo	0	h_run	0.700000	77	78	1	1
variance_mitigation	cppo	1	ar1	0.700000	50	77	27	1
variance_mitigation	cppo	1	cusum	0.700000	53	77	24	1
variance_mitigation	cppo	1	h_run	0.700000	76	77	1	1
variance_mitigation	cppo	2	ar1	0.700000	44	77	33	1
variance_mitigation	cppo	2	cusum	0.700000	54	77	23	1
variance_mitigation	cppo	2	h_run	0.700000	75	77	2	1
variance_mitigation	cppo	3	ar1	0.700000	61	78	17	1
variance_mitigation	cppo	3	cusum	0.700000	54	78	24	1
variance_mitigation	cppo	3	h_run	0.700000	75	78	3	1
variance_mitigation	cppo	4	ar1	0.700000	59	77	18	1
variance_mitigation	cppo	4	cusum	0.700000	55	77	22	1
variance_mitigation	cppo	4	h_run	0.700000	75	77	2	1
variance_mitigation	ngrpo	0	ar1	0.700000	54	75	21	1
variance_mitigation	ngrpo	0	cusum	0.700000	53	75	22	1
variance_mitigation	ngrpo	0	h_run	0.700000	72	75	3	1
variance_mitigation	ngrpo	1	ar1	0.700000	51	76	25	1
variance_mitigation	ngrpo	1	cusum	0.700000	52	76	24	1
variance_mitigation	ngrpo	1	h_run	0.700000	74	76	2	1
variance_mitigation	ngrpo	2	ar1	0.700000	49	76	27	1
variance_mitigation	ngrpo	2	cusum	0.700000	53	76	23	1
variance_mitigation	ngrpo	2	h_run	0.700000	73	76	3	1
variance_mitigation	ngrpo	3	ar1	0.700000	21	77	56	1
variance_mitigation	ngrpo	3	cusum	0.700000	54	77	23	1
variance_mitigation	ngrpo	3	h_run	0.700000	73	77	4	1
variance_mitigation	ngrpo	4	ar1	0.700000	51	77	26	1
variance_mitigation	ngrpo	4	cusum	0.700000	52	77	25	1
variance_mitigation	ngrpo	4	h_run	0.700000	75	77	2	1
variance_mitigation	mcgrpo	0	ar1	0.700000	73	109	36	1
variance_mitigation	mcgrpo	0	cusum	0.700000	82	109	27	1
variance_mitigation	mcgrpo	0	h_run	0.700000	109	109	NA	0
variance_mitigation	mcgrpo	1	ar1	0.700000	13	99	86	1
variance_mitigation	mcgrpo	1	cusum	0.700000	72	99	27	1
