method	seed	start	end	len_alarm	recovered	recovery_step	ha_at_alarm
grpo	0	141	299	159	0	-1	0.288100
grpo	1	141	299	159	0	-1	0.292300
grpo	2	144	299	156	0	-1	0.297300
grpo	3	144	299	156	0	-1	0.297900
grpo	4	144	299	156	0	-1	0.290200
aero	0	77	99	23	0	-1	0.377800
aero	1	77	99	23	0	-1	0.376500
aero	2	76	99	24	0	-1	0.372700
aero	3	77	99	23	0	-1	0.378100
aero	4	76	77	2	1	78	0.372600
aero	4	79	99	21	0	-1	0.382200
cppo	0	66	67	2	1	68	0.352100
cppo	0	70	99	30	0	-1	0.365700
cppo	1	66	67	2	1	68	0.355800
cppo	1	69	99	31	0	-1	0.355000
cppo	2	68	99	32	0	-1	0.353000
cppo	3	68	99	32	0	-1	0.354400
cppo	4	68	99	32	0	-1	0.356800
ngrpo	0	65	99	35	0	-1	0.344800
ngrpo	1	65	65	1	1	66	0.342900
ngrpo	1	67	99	33	0	-1	0.347600
ngrpo	2	66	99	34	0	-1	0.339700
ngrpo	3	66	99	34	0	-1	0.345900
ngrpo	4	66	66	1	1	67	0.340300
ngrpo	4	68	99	32	0	-1	0.344400
mcgrpo	0	98	100	3	1	101	0.390700
mcgrpo	0	102	109	8	0	-1	0.394800
mcgrpo	1	88	99	12	0	-1	0.391000
mcgrpo	2	84	84	1	1	85	0.378700
mcgrpo	2	88	99	12	0	-1	0.390200
mcgrpo	3	86	86	1	1	87	0.385400
mcgrpo	3	89	99	11	0	-1	0.391700
mcgrpo	4	88	99	12	0	-1	0.391000
gift	0	104	104	1	1	105	0.395500
gift	0	106	109	4	0	-1	0.403400
gift	1	91	91	1	1	92	0.393100
gift	1	94	94	1	1	95	0.402600
gift	1	98	99	2	0	-1	0.403000
gift	2	95	95	1	1	96	0.411200
gift	2	97	97	1	1	98	0.407800
gift	2	99	99	1	0	-1	0.408300
gift	3	95	98	4	1	99	0.408000
gift	4	94	95	2	1	96	0.401700
gift	4	99	99	1	0	-1	0.404200
areal	0	100	100	1	1	101	0.398200
areal	0	105	109	5	0	-1	0.405900
areal	1	90	90	1	1	91	0.402000
areal	2	93	93	1	1	94	0.396500
areal	2	96	96	1	1	97	0.403800
areal	2	98	99	2	0	-1	0.409800
areal	3	94	94	1	1	95	0.403700
areal	3	96	99	4	0	-1	0.409200
areal	4	96	97	2	1	98	0.410000
areal	4	99	99	1	0	-1	0.402900
