method	seed	failure_label	failure_bin	mean_zvf	lag1_zvf_rolling_w15	slope	risk_mag	risk_csd	risk_drift	risk_len	rho_dZ_dL	length_channel_source	zvf_risk	zvf_risk_max	zvf_risk_4ch	zvf_risk_max_4ch
tool_use_qwen3-32b	0	collapse	1	1.0	0.95	0.0	0.014774031693273	0.9933071490757152	0.2314752165009823	0.0		none	0.5473808273460361	0.9933071490757152	0.4854030074825374	0.9933071490757152
tool_use_llama-8b-inst	0	collapse	1	1.0	0.95	0.0	0.014774031693273	0.9933071490757152	0.2314752165009823	0.0		none	0.5473808273460361	0.9933071490757152	0.4854030074825374	0.9933071490757152
scaling_law_Qwen3.5-4B	agg	collapse	1	0.95	0.85	0.015	0.0198403057340775	0.9820137900379085	0.964428810727364	0.0		none	0.6898447488846503	0.9820137900379085	0.5915306035596828	0.9820137900379085
scaling_law_Llama-3.1-8B-Instruct	agg	collapse	1	0.95	0.85	0.015	0.0198403057340775	0.9820137900379085	0.964428810727364	0.0		none	0.6898447488846503	0.9820137900379085	0.5915306035596828	0.9820137900379085
scaling_law_Nemotron-120B	agg	collapse	1	0.95	0.85	0.015	0.0198403057340775	0.9820137900379085	0.964428810727364	0.0		none	0.6898447488846503	0.9820137900379085	0.5915306035596828	0.9820137900379085
scaling_law_DeepSeek-V3.1	agg	collapse	1	0.95	0.85	0.015	0.0198403057340775	0.9820137900379085	0.964428810727364	0.0		none	0.6898447488846503	0.9820137900379085	0.5915306035596828	0.9820137900379085
scaling_law_Qwen3-8B	agg	collapse	1	0.95	0.85	0.015	0.0198403057340775	0.9820137900379085	0.964428810727364	0.0		none	0.6898447488846503	0.9820137900379085	0.5915306035596828	0.9820137900379085
grpo	2	plateau	0	0.4803	0.6469	0.009996	0.2531655345333802	0.8775036627642301	0.8580027971017024	0.47022277904202797	0.138075	grpo_real	0.6863020511624696	0.8775036627642301	0.6574018682988082	0.8775036627642301
grpo	0	plateau	0	0.4813	0.5741	0.010284	0.2520327790702332	0.7757380307759248	0.8682072682536348	0.47022277904202797	0.138075	grpo_real	0.6371203027597594	0.8682072682536348	0.6128548157110739	0.8682072682536348
grpo	4	plateau	0	0.4824	0.4213	0.009896	0.2507906355525202	0.4287384748548138	0.8543083758670477	0.47022277904202797	0.138075	grpo_real	0.4604681032665725	0.8543083758670477	0.45430964580915756	0.8543083758670477
grpo	1	plateau	0	0.4793	0.6072	0.009848	0.2543016502000017	0.8280685371933862	0.852506911575282	0.47022277904202797	0.138075	grpo_real	0.66082614597175	0.852506911575282	0.6346157078796207	0.852506911575282
grpo	3	plateau	0	0.4806	0.4094	0.00952	0.2528253548237829	0.3998716328152766	0.8397003196067644	0.47022277904202797	0.138075	grpo_real	0.443723486776126	0.8397003196067644	0.43963703827013906	0.8397003196067644
gift	0	drift	1	0.1053	0.2087	-1.3e-05	0.7628195031708752	0.0821867380589361	0.2307821548673931	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.3160956509542093	0.7628195031708752	0.350675912342158	0.7628195031708752
es	0	drift	1	0.1056	0.0997	0.001385	0.7624936824854363	0.0292269921060095	0.3133508443611881	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.3060317696708733	0.7624936824854363	0.33914787491605053	0.7624936824854363
areal	0	drift	1	0.1118	0.3469	8.4e-05	0.7556912317132565	0.2628902792446353	0.2359884578796106	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.4053502007122167	0.7556912317132565	0.4309913834631505	0.7556912317132565
es	1	plateau	0	0.115	0.1526	0.001068	0.7521291114395701	0.0486143845049008	0.2932606755908224	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.308598060802486	0.7521291114395701	0.3422675334185302	0.7521291114395701
gift	3	plateau	0	0.1151	0.2374	-1.8e-05	0.7520172359719902	0.1065953237131597	0.2305159797781336	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.3250060286038037	0.7520172359719902	0.3589192828234484	0.7520172359719902
es	3	plateau	0	0.1151	0.0643	0.001241	0.7520172359719902	0.0206940071811829	0.3041316125977166	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.2967784969017318	0.7520172359719902	0.3313060353069963	0.7520172359719902
gift	2	plateau	0	0.1157	0.2195	0.000219	0.7513452727249748	0.0907097088873751	0.2433684243876287	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.3194321211387058	0.7513452727249748	0.35353063203151575	0.7513452727249748
es	2	plateau	0	0.1163	0.105	0.000916	0.7506720923354948	0.030768859357148	0.2838995443084057	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.2973659662409036	0.7506720923354948	0.3324686226336601	0.7506720923354948
gift	4	plateau	0	0.1173	0.2172	6e-05	0.7495474231576995	0.0888304093260961	0.2346927814857762	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.3162179879075131	0.7495474231576995	0.3509341384018435	0.7495474231576995
gift	1	plateau	0	0.1176	0.1419	0.000252	0.7492093644474798	0.0438978254415678	0.2451960411203418	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.2957509302790962	0.7492093644474798	0.3322054499214357	0.7492093644474798
es	4	plateau	0	0.1191	0.1921	0.000956	0.747514522318836	0.070502234423103	0.2863454648485481	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.3167745668769118	0.747514522318836	0.34992613699019653	0.747514522318836
areal	2	plateau	0	0.1215	0.153	6.2e-05	0.7447870416562085	0.0487997229987999	0.2348005658880132	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.2947960871738652	0.7447870416562085	0.33174640183952303	0.7447870416562085
areal	1	plateau	0	0.1232	0.2572	-0.000182	0.7428433966574473	0.1269721151650699	0.2219048726326045	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.33072005110629	0.7428433966574473	0.3645037130763429	0.7428433966574473
areal	3	plateau	0	0.1239	0.1817	0.000162	0.7420402649343216	0.0639839711476235	0.2402334602467343	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.3026507571034551	0.7420402649343216	0.33870755347983006	0.7420402649343216
areal	4	plateau	0	0.1241	0.2483	-0.000139	0.7418104984144137	0.1174295537673143	0.2241402147528148	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.3260859693585442	0.7418104984144137	0.36028663720462606	0.7418104984144137
mcgrpo	0	drift	1	0.1332	0.3038	0.000488	0.7312158390991065	0.1881616210043398	0.2585344014423364	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.3651524425203692	0.7312158390991065	0.39462653063588893	0.7312158390991065
mcgrpo	3	plateau	0	0.1441	0.3224	-0.000143	0.7181695430683517	0.2182318812994903	0.2239316021805715	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.369353124006365	0.7181695430683517	0.39970615387175323	0.7181695430683517
mcgrpo	2	plateau	0	0.1499	0.3366	9.3e-05	0.7110727872016187	0.2434236707109193	0.236475609185492	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.3823287933530437	0.7110727872016187	0.41114987119095114	0.7110727872016187
mcgrpo	4	plateau	0	0.1505	0.3463	0.000108	0.7103326117671864	0.2617292605786195	0.2372890694921274	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.3914222277178912	0.7103326117671864	0.41932436181880345	0.7103326117671864
mcgrpo	1	plateau	0	0.1525	0.4481	0.000232	0.7078572714244814	0.4952501428906749	0.244087289876596	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.5087997108480011	0.7078572714244814	0.5248096568312225	0.7078572714244814
aero	4	plateau	0	0.2216	0.5121	0.000577	0.61547842665606	0.650445948782812	0.2636855450674809	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.5626036114017202	0.650445948782812	0.5744927965692116	0.650445948782812
aero	3	plateau	0	0.2178	0.4313	6.3e-05	0.6208599803047108	0.4533857586810569	0.2348544709543308	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.4599217676228079	0.6208599803047108	0.4828364383186119	0.6208599803047108
aero	1	plateau	0	0.2185	0.2427	0.00039	0.6198708296204114	0.1117489082630564	0.2529387144490264	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.2924234459074569	0.6198708296204114	0.3315652044836412	0.6198708296204114
aero	0	plateau	0	0.2215	0.3307	0.000659	0.6156204156535869	0.2327228175737989	0.2684894543137727	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.3547454243457301	0.6156204156535869	0.38727347116148114	0.6156204156535869
aero	2	plateau	0	0.2219	0.4465	0.000375	0.6150523416852246	0.4912508931197597	0.2520893369543627	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.4805590164563197	0.6150523416852246	0.5010090690611614	0.6150523416852246
ngrpo	2	plateau	0	0.2994	0.4295	0.001657	0.5008999990280013	0.448928730692658	0.3311695744003786	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.4409682799348051	0.5008999990280013	0.46528804592156214	0.5891312079520599
ngrpo	4	plateau	0	0.2993	0.4725	0.001919	0.5010499984565027	0.5560138905446199	0.3488041163647	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.4980827680822007	0.5560138905446199	0.5161590490067186	0.5891312079520599
ngrpo	3	plateau	0	0.2975	0.4584	0.00176	0.5037499296890819	0.5209876607065322	0.3380491520934221	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.4792286396786751	0.5209876607065322	0.4994589837470323	0.5891312079520599
cppo	0	plateau	0	0.2951	0.4238	0.001774	0.507349470625257	0.4348721276091598	0.3389896324956522	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.4374388314912874	0.507349470625257	0.4617479511475929	0.5891312079520599
ngrpo	1	plateau	0	0.302	0.3844	0.002173	0.4970000359994816	0.3416387276387858	0.3663053357522265	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.3931804417696827	0.4970000359994816	0.421302917992967	0.5891312079520599
cppo	3	plateau	0	0.2946	0.4008	0.00195	0.5080992914863769	0.379422532072909	0.3509194757554267	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.4123249486334529	0.5080992914863769	0.4387725648605263	0.5891312079520599
cppo	4	plateau	0	0.2919	0.4176	0.001728	0.5121476090802242	0.4197012277108515	0.3359042927795693	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.4306757551354069	0.5121476090802242	0.4556577798496836	0.5891312079520599
cppo	2	plateau	0	0.2964	0.4074	0.001764	0.505399790057795	0.3950818980367921	0.3383177305644408	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.4168244321486227	0.505399790057795	0.44325414240848027	0.5891312079520599
ngrpo	0	plateau	0	0.3036	0.4109	0.002063	0.4946002099422049	0.4034765942573212	0.3586795229751724	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.4218542647063566	0.4946002099422049	0.44738612954043055	0.5891312079520599
cppo	1	plateau	0	0.298	0.4261	0.001535	0.5029999640005184	0.4405327997087284	0.3231134896695224	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.4357890869884242	0.5029999640005184	0.4608264555122947	0.5891312079520599
scafgrpo	1	plateau	0	0.3126	0.2102	0.001909	0.4811089965501826	0.0833253336878469	0.3481230064042842	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.2556199670898351	0.4811089965501826	0.2983617814505284	0.5891312079520599
scafgrpo	4	plateau	0	0.3208	0.106	0.002297	0.4688404321319602	0.0310684841596673	0.3749825682322257	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.2311828853658669	0.4688404321319602	0.27580799233248315	0.5891312079520599
scafgrpo	0	plateau	0	0.3151	-0.1721	0.00243	0.4773654805726128	0.0019833156085794	0.384379584346413	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.2210772188453562	0.4773654805726128	0.26626048101178484	0.5891312079520599
scafgrpo	3	plateau	0	0.3216	0.0102	0.001581	0.4676452735912719	0.0121524210526184	0.3261390411697679	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.2115976008376444	0.4676452735912719	0.2596704452397704	0.5891312079520599
scafgrpo	2	plateau	0	0.3131	-0.07	0.0012	0.4803601101635273	0.0054862988994504	0.3015347839974612	0.5891312079520599	0.18603750000000002	mitigated_proxy	0.2071581392982756	0.4803601101635273	0.25615876083806266	0.5891312079520599
