seed	k	accuracy	zvf	frac_all_good	frac_all_bad	frac_mixed	n_problems
s42	1	0.670000	1.000000	0.670000	0.330000	0.000000	200
s42	2	0.865000	0.635000	0.500000	0.135000	0.365000	200
s42	4	0.950000	0.345000	0.295000	0.050000	0.655000	200
s42	8	0.975000	0.130000	0.105000	0.025000	0.870000	200
s123	1	0.665000	1.000000	0.665000	0.335000	0.000000	200
s123	2	0.885000	0.640000	0.525000	0.115000	0.360000	200
s123	4	0.965000	0.375000	0.340000	0.035000	0.625000	200
s123	8	0.970000	0.190000	0.160000	0.030000	0.810000	200
s456	1	0.725000	1.000000	0.725000	0.275000	0.000000	200
s456	2	0.880000	0.640000	0.520000	0.120000	0.360000	200
s456	4	0.925000	0.350000	0.275000	0.075000	0.650000	200
s456	8	0.960000	0.155000	0.115000	0.040000	0.845000	200
