G	T	acc_emp	acc_pred	G_auto_dualformer	G_meas_iter127	auto_match_measured	delta_G_auto_vs_measured
4	1000000	0.41	0.332	16	8	False	8
8	1000000	0.48	0.394	16	8	False	8
16	1000000	0.47	0.45	16	8	False	8
32	1000000	0.42	0.502	8	8	True	0
64	1000000	0.35	0.548	8	8	True	0
4	4000000	0.55	0.555	8	16	False	-8
8	4000000	0.67	0.597	8	16	False	-8
16	4000000	0.69	0.634	8	16	False	-8
32	4000000	0.66	0.668	8	16	False	-8
64	4000000	0.58	0.699	8	16	False	-8
4	20000000	0.63	0.704	4	None	None	None
8	20000000	0.78	0.731	4	None	None	None
16	20000000	0.82	0.756	4	None	None	None
32	20000000	0.84	0.779	4	None	None	None
64	20000000	0.8	0.799	4	None	None	None
4	60000000	0.64	0.803	4	None	None	None
8	60000000	0.8	0.821	4	None	None	None
16	60000000	0.85	0.838	4	None	None	None
32	60000000	0.88	0.853	2	None	None	None
64	60000000	0.87	0.866	2	None	None	None
