p	Gv_Y80	yv_Y80	Gn_Y80	yn_Y80	delta_G	Yn_minus_Yv
0.0500	32	0.8063	64	0.8125	+32	+0.0062
0.1000	16	0.8147	32	0.8157	+16	+0.0010
0.1500	12	0.8578	24	0.8298	+12	-0.0280
0.2000	8	0.8322	16	0.8219	+8	-0.0104
0.3000	6	0.8816	12	0.8362	+6	-0.0455
0.4000	4	0.8448	8	0.8325	+4	-0.0123
0.5000	4	0.8750	6	0.8187	+2	-0.0563
0.6000	4	0.8448	8	0.8325	+4	-0.0123
0.7000	6	0.8816	12	0.8362	+6	-0.0455
0.8000	8	0.8322	16	0.8219	+8	-0.0104
0.9000	16	0.8147	32	0.8157	+16	+0.0010
0.9500	32	0.8063	64	0.8125	+32	+0.0062
