G	difficulty_bin	n_steps	mean_reward	ci_low	ci_high	zvf_bin_center
2	frontier	12	0.5417	0.4792	0.6094	0.4375
2	mid	24	0.5703	0.4701	0.668	0.651
2	saturation	84	0.9594	0.9494	0.9695	0.9487
4	frontier	25	0.5363	0.4556	0.6156	0.2875
4	mid	17	0.8575	0.8364	0.8768	0.6544
4	saturation	78	0.9681	0.9601	0.9756	0.9399
8	frontier	37	0.6514	0.5735	0.7234	0.2247
8	mid	12	0.9284	0.9089	0.9473	0.6979
8	saturation	71	0.973	0.9651	0.9806	0.9322
16	frontier	41	0.6705	0.5931	0.7379	0.1494
16	mid	16	0.9492	0.9309	0.9644	0.6875
16	saturation	63	0.9856	0.98	0.9904	0.9306
