T_tokens	G_a	G_b	G4_acc	G32_acc	abs_diff	retention	ci_lo	ci_hi	epsilon	tost_equivalent
1000000	4	32	0.41	0.42	-0.010000000000000009	0.9761904761904762	-0.053963750197289245	0.030953545032178117	0.02	no
1000000	4	32	0.41	0.42	-0.010000000000000009	0.9761904761904762	-0.053963750197289245	0.030953545032178117	0.05	no
1000000	4	32	0.41	0.42	-0.010000000000000009	0.9761904761904762	-0.053963750197289245	0.030953545032178117	0.1	yes
1000000	4	32	0.41	0.42	-0.010000000000000009	0.9761904761904762	-0.053963750197289245	0.030953545032178117	0.2	yes
4000000	4	32	0.55	0.66	-0.10999999999999999	0.8333333333333334	-0.15013781502996731	-0.06576947679152285	0.02	no
4000000	4	32	0.55	0.66	-0.10999999999999999	0.8333333333333334	-0.15013781502996731	-0.06576947679152285	0.05	no
4000000	4	32	0.55	0.66	-0.10999999999999999	0.8333333333333334	-0.15013781502996731	-0.06576947679152285	0.1	no
4000000	4	32	0.55	0.66	-0.10999999999999999	0.8333333333333334	-0.15013781502996731	-0.06576947679152285	0.2	yes
16000000	4	32	0.63	0.84	-0.20999999999999996	0.75	-0.25223522795282544	-0.16706457177447334	0.02	no
16000000	4	32	0.63	0.84	-0.20999999999999996	0.75	-0.25223522795282544	-0.16706457177447334	0.05	no
16000000	4	32	0.63	0.84	-0.20999999999999996	0.75	-0.25223522795282544	-0.16706457177447334	0.1	no
16000000	4	32	0.63	0.84	-0.20999999999999996	0.75	-0.25223522795282544	-0.16706457177447334	0.2	no
64000000	4	32	0.64	0.88	-0.24	0.7272727272727273	-0.27781729795393506	-0.19697671271950307	0.02	no
64000000	4	32	0.64	0.88	-0.24	0.7272727272727273	-0.27781729795393506	-0.19697671271950307	0.05	no
64000000	4	32	0.64	0.88	-0.24	0.7272727272727273	-0.27781729795393506	-0.19697671271950307	0.1	no
64000000	4	32	0.64	0.88	-0.24	0.7272727272727273	-0.27781729795393506	-0.19697671271950307	0.2	no
