target_acc	G_compare	G_is_optimal	T_needed_M	waste_ratio_vs_optimal	log10_waste_ratio
0.5	4	no	2.438	2.107	0.3237
0.5	8	yes	1.1571	1.0	0.0
0.5	16	no	1.2081	1.0441	0.0187
0.5	32	no	1.5874	1.3719	0.1373
0.5	64	no	2.4697	2.1344	0.3293
0.55	4	no	4.0	2.4162	0.3831
0.55	8	no	1.6665	1.0067	0.0029
0.55	16	yes	1.6555	1.0	0.0
0.55	32	no	2.1189	1.2799	0.1072
0.55	64	no	3.3383	2.0165	0.3046
0.6	4	no	9.5137	4.1936	0.6226
0.6	8	no	2.4002	1.058	0.0245
0.6	16	yes	2.2686	1.0	0.0
0.6	32	no	2.8284	1.2468	0.0958
0.6	64	no	4.5373	2.0	0.301
0.65	4	no	NA	NA	NA
0.65	8	no	3.4569	1.112	0.0461
0.65	16	yes	3.1088	1.0	0.0
0.65	32	no	3.7755	1.2145	0.0844
0.65	64	no	6.2176	2.0	0.301
0.7	4	no	NA	NA	NA
0.7	8	no	5.8379	1.3119	0.1179
0.7	16	yes	4.4501	1.0	0.0
0.7	32	no	5.4432	1.2232	0.0875
0.7	64	no	8.5203	1.9146	0.2821
0.75	4	no	NA	NA	NA
0.75	8	no	10.9628	1.4454	0.16
0.75	16	yes	7.5846	1.0	0.0
0.75	32	no	8.0	1.0548	0.0232
0.75	64	no	11.6758	1.5394	0.1874
0.8	4	no	NA	NA	NA
0.8	8	no	64.0	5.4431	0.7359
0.8	16	no	12.9269	1.0994	0.0412
0.8	32	yes	11.7579	1.0	-0.0
0.8	64	no	16.0	1.3608	0.1338
0.85	4	no	NA	NA	NA
0.85	8	no	NA	NA	NA
0.85	16	no	64.0	2.8284	0.4515
0.85	32	yes	22.6274	1.0	0.0
0.85	64	no	43.0688	1.9034	0.2795
