T_tokens	G	acc	GU_at_G_prob	GU_at_G64_prob	signal_loss_prob_units	ZVF_implied_retention	observed_retention_vs_G64
1000000	4	0.41	0.8506	1.0	0.1494	0.8506	0.8542
1000000	8	0.48	0.9918	1.0	0.0082	0.9918	1.0
1000000	16	0.47	1.0	1.0	0.0	1.0	0.9792
1000000	32	0.42	1.0	1.0	0.0	1.0	0.875
1000000	64	0.35	1.0	1.0	0.0	1.0	0.7292
4000000	4	0.55	0.8675	1.0	0.1325	0.8675	0.7971
4000000	8	0.67	0.9593	1.0	0.0407	0.9593	0.971
4000000	16	0.69	0.9974	1.0	0.0026	0.9974	1.0
4000000	32	0.66	1.0	1.0	0.0	1.0	0.9565
4000000	64	0.58	1.0	1.0	0.0	1.0	0.8406
16000000	4	0.63	0.8237	1.0	0.1763	0.8237	0.75
16000000	8	0.78	0.863	1.0	0.137	0.863	0.9286
16000000	16	0.82	0.9582	1.0	0.0418	0.9582	0.9762
16000000	32	0.84	0.9962	1.0	0.0038	0.9962	1.0
16000000	64	0.8	1.0	1.0	0.0	1.0	0.9524
64000000	4	0.64	0.8154	0.9999	0.1845	0.8155	0.7273
64000000	8	0.8	0.8322	0.9999	0.1677	0.8323	0.9091
64000000	16	0.85	0.9257	0.9999	0.0742	0.9258	0.9659
64000000	32	0.88	0.9833	0.9999	0.0166	0.9834	1.0
64000000	64	0.87	0.9999	0.9999	0.0	1.0	0.9886
