metric	value
n_budgets_T	4
G_values_fitted	4,8,16,32,64
G_max	64
model	acc_gap(G) ≈ -k(T) * (G_max/G - 1)^c(T)
fit_method	weighted grid+Nelder-Mead refinement, weights=1/sigma^2
ci_method	bootstrap N=5000, resample N(acc, sigma) per row
c_hat_at_T_1M	2.38
c_hat_at_T_4M	2.2881
c_hat_at_T_16M	1.4112
c_hat_at_T_64M	1.1733
T_with_smallest_c_hat	64000000
T_with_largest_c_hat	1000000
n_budgets_rejecting_c_eq_0_DPO_eq	0
n_budgets_rejecting_c_eq_0p5_sqrt_scaling	0
n_budgets_rejecting_c_eq_1_linear	4
c_slope_with_log_T	-0.7469
k_log_slope_with_log_T	1.2737
predicted_acc_G32_at_T_128M_pp	83.56
predicted_acc_G4_at_T_128M_pp	45.99
predicted_delta_G32_minus_G4_at_T_128M_pp	37.57
predicted_acc_G32_at_T_256M_pp	73.04
predicted_acc_G4_at_T_256M_pp	16.48
predicted_delta_G32_minus_G4_at_T_256M_pp	56.56
predicted_acc_G32_at_T_512M_pp	43.78
predicted_acc_G4_at_T_512M_pp	0.0
predicted_delta_G32_minus_G4_at_T_512M_pp	43.78
monotone_trend_c_with_T	decreasing
