T_M	G	G_peak_GU	G_over_Gpeak_GU	band	gu	acc
1.0	4	4	1.0	near_peak	1.7223	0.41
1.0	8	4	2.0	above_peak	1.1172	0.48
1.0	16	4	4.0	above_peak	0.6563	0.47
1.0	32	4	8.0	above_peak	0.3424	0.42
1.0	64	4	16.0	above_peak	0.1712	0.35
4.0	4	4	1.0	near_peak	2.1287	0.55
4.0	8	4	2.0	above_peak	1.4574	0.67
4.0	16	4	4.0	above_peak	0.8661	0.69
4.0	32	4	8.0	above_peak	0.4759	0.66
4.0	64	4	16.0	above_peak	0.2462	0.58
16.0	4	4	1.0	near_peak	2.3311	0.63
16.0	8	4	2.0	above_peak	1.606	0.78
16.0	16	4	4.0	above_peak	0.9587	0.82
16.0	32	4	8.0	above_peak	0.5593	0.84
16.0	64	4	16.0	above_peak	0.2934	0.8
64.0	4	4	1.0	near_peak	2.4177	0.64
64.0	8	4	2.0	above_peak	1.6615	0.8
64.0	16	4	4.0	above_peak	0.9924	0.85
64.0	32	4	8.0	above_peak	0.5819	0.88
64.0	64	4	16.0	above_peak	0.318	0.87
