task	q	side	delta	ci_lo	ci_hi	p	n
arithmetic_easy	0	fwd	0.03342470534225894	-0.44889848180309133	0.26998213772403057	0.667	5
arithmetic_easy	0	bwd	-0.13521287070850807	-0.7475294705913753	0.3493757996897038	0.662	5
arithmetic_easy	0	fwd_signed	-0.02548579757547298	-0.5346058686547644	0.31297351967893855	0.681	5
arithmetic_easy	0	bwd_signed	0.0021597466176747626	-0.9567920995694053	0.2689893644716591	0.648	5
arithmetic_easy	0	k=-3	-0.0777126266960446	-0.7493579094923231	0.5367430832479807	0.111	5
arithmetic_easy	0	k=-2	0.007825986382850161	-0.9734065867683657	0.3343397323431838	0.603	5
arithmetic_easy	0	k=-1	0.3849377433292269	-0.27519758646202663	0.7659723966912835	0.117	5
arithmetic_easy	0	k=+0	0.03394039461034909	-1.0304565618222976	1.1581684649366148	0.681	5
arithmetic_easy	0	k=+1	-0.14677779765911753	-1.0562196328376876	0.21468891884961555	0.111	5
arithmetic_easy	0	k=+2	0.2639304546208835	-0.14842710956092123	0.6096459326075866	0.105	5
arithmetic_easy	0	k=+3	-0.15135405918033634	-0.4566842918735994	0.6700408737438444	0.626	5
arithmetic_easy	1	fwd	0.11639708261725334	-0.5937030315125833	0.4631632714739425	0.648	5
arithmetic_easy	1	bwd	-0.37213204595834193	-0.9065996031728252	0.4026121867500858	0.606	5
arithmetic_easy	1	fwd_signed	-0.23499814005190256	-1.1664905073709222	1.4231087905126791	0.117	5
arithmetic_easy	1	bwd_signed	0.7999423121288207	-1.0176117728429195	1.1826179467265288	0.667	5
arithmetic_easy	1	k=-3	-0.18746766155064037	-0.53515221298831	0.6821200566196981	0.583	5
arithmetic_easy	1	k=-2	-0.06995912176109328	-0.2765108011085139	1.0477629637963863	0.111	5
arithmetic_easy	1	k=-1	0.32232264448078296	-0.6469775195823634	0.8280785343897137	0.117	5
arithmetic_easy	1	k=+0	0.03922949438443197	-0.4033382194564435	1.0068903586516311	0.606	5
arithmetic_easy	1	k=+1	-0.12879907171560373	-0.3440034926532741	0.817843657571866	0.667	5
arithmetic_easy	1	k=+2	-0.04184033570705298	-0.4072953654353023	0.2501201831158419	0.583	5
arithmetic_easy	1	k=+3	-0.172079056521129	-0.6909691599730216	0.6471054686478662	0.667	5
arithmetic_easy	2	fwd	0.8431414422543497	-0.4124789254912692	1.0532080644013948	0.111	5
arithmetic_easy	2	bwd	0.32369103605443766	-0.593688440900533	1.196560673090066	0.603	5
arithmetic_easy	2	fwd_signed	0.46336908511101904	-0.06065669775226851	1.0532080644013948	0.124	5
arithmetic_easy	2	bwd_signed	-0.12046986815115142	-1.1357140882484345	0.6134446675280286	0.112	5
arithmetic_easy	2	k=-3	0.10161058395164313	-0.09474241017410703	0.4594323398600688	0.61	5
arithmetic_easy	2	k=-2	-0.3339786531218759	-0.5597379770907258	0.17470050073788362	0.112	5
arithmetic_easy	2	k=-1	-0.17625541300411907	-0.5759761111577085	0.3698608292522816	0.105	5
arithmetic_easy	2	k=+0	-0.043757489087917385	-0.4890447288094686	0.25716352981928736	0.681	5
arithmetic_easy	2	k=+1	0.4158257295069218	-0.10165220960168736	0.5024063495424291	0.583	5
arithmetic_easy	2	k=+2	0.023461866522190254	-0.29333804693280935	0.2886814313957077	0.662	5
arithmetic_easy	2	k=+3	0.3568738696383758	-0.18314438032638097	0.5472724940912159	0.681	5
arithmetic_easy	3	fwd	0.07689167958779727	-0.9020823797051658	0.37175694039300544	0.637	5
arithmetic_easy	3	bwd	0.44968483691729766	-0.9943149678474587	0.841536593775563	0.637	5
arithmetic_easy	3	fwd_signed	-0.07689167958779727	-0.6695528442622697	0.8605871227656253	0.124	5
arithmetic_easy	3	bwd_signed	0.5862030744823838	-1.058104805105834	0.841536593775563	0.105	5
arithmetic_easy	3	k=-3	0.3612953611864639	0.0	0.5884973928647043	0.105	5
arithmetic_easy	3	k=-2	-0.13422344788656862	-0.8472604448523384	0.4562968563006819	0.603	5
arithmetic_easy	3	k=-1	0.07455693984890388	-0.7538948210115658	0.6960497876255635	0.105	5
arithmetic_easy	3	k=+0	-0.5969768273829649	-1.4372320493283608	0.2997818857698918	0.112	5
arithmetic_easy	3	k=+1	-0.03733909154136565	-0.5550958823916412	0.1786653607537505	0.662	5
