task	algo	seed	n_steps	beta_early	beta_mid	beta_late	late_minus_early	late_minus_mid	mid_minus_early	r_over_l_first	r_over_l_last	r_over_l_drift	antitrap_slope	antitrap_pearson_r
arithmetic_easy	grpo	42	40	-0.242687	0.052873	-0.004563	0.238124	-0.057436	0.29556	0.072028	0.215439	0.143411	-0.251725	-0.9529
arithmetic_easy	grpo	123	40	-0.230678	-0.013309	-0.010878	0.219799	0.002431	0.217368	0.078717	0.219824	0.141107	-0.231371	-0.9327
arithmetic_easy	grpo	456	40	-0.226844	0.045467	0.030137	0.256981	-0.015331	0.272311	0.082639	0.227194	0.144555	-0.238681	-0.9385
arithmetic_easy	grpo	789	40	-0.251228	-0.083387	0.031202	0.28243	0.114589	0.167841	0.075096	0.2208	0.145704	-0.254608	-0.963
arithmetic_easy	grpo	1024	40	-0.274036	-0.049748	0.014252	0.288288	0.064	0.224288	0.074093	0.220879	0.146786	-0.256458	-0.9547
arithmetic_easy	dr_grpo	42	40	-0.228432	0.078492	-0.018429	0.210003	-0.096921	0.306924	0.067426	0.21384	0.146414	-0.253287	-0.9041
arithmetic_easy	dr_grpo	123	40	-0.274241	0.030008	0.090111	0.364351	0.060103	0.304249	0.06752	0.219141	0.151621	-0.280131	-0.9264
arithmetic_easy	dr_grpo	456	40	-0.212643	0.022591	-0.015183	0.197461	-0.037774	0.235234	0.078232	0.223995	0.145763	-0.237036	-0.896
arithmetic_easy	dr_grpo	789	40	-0.25155	-0.126059	0.019619	0.271169	0.145677	0.125492	0.073809	0.219826	0.146017	-0.276716	-0.9219
arithmetic_easy	dr_grpo	1024	40	-0.262081	-0.004479	-0.009184	0.252897	-0.004705	0.257602	0.076789	0.223534	0.146745	-0.271634	-0.9544
gsm8k_cot	grpo	42	30	-0.023403	-0.016274	-0.00357	0.019833	0.012704	0.007129	0.001075	0.001761	0.000686	-0.004474	-0.3947
gsm8k_cot	grpo	123	30	-0.010899	-0.018602	-0.004664	0.006235	0.013937	-0.007702	0.001587	0.001123	-0.000464	-0.003128	-0.1879
gsm8k_cot	grpo	456	30	-0.023183	-0.016156	-0.026638	-0.003454	-0.010482	0.007027	0.000798	0.001778	0.00098	-0.018973	-0.7699
gsm8k_cot	dr_grpo	42	30	-0.017953	-0.00852	-0.011315	0.006638	-0.002795	0.009433	0.001157	0.001765	0.000608	-0.010274	-0.5575
gsm8k_cot	dr_grpo	123	30	-0.008778	-0.0158	-0.02055	-0.011771	-0.00475	-0.007022	0.001515	0.001012	-0.000503	-0.011273	-0.5924
gsm8k_cot	dr_grpo	456	30	-0.012319	-0.020639	-0.02773	-0.015411	-0.007091	-0.00832	0.000852	0.001694	0.000842	-0.019915	-0.7627
