task	algo	seed	regime	zvf_bin	n_steps	slope_dL_dt	intercept	R_mean	L_mean
arithmetic_easy	grpo	42	below	zvf_low	3	-0.484375	6.984375	0.53125	6.015625
arithmetic_easy	grpo	42	below	zvf_mid	3	-0.664062	7.880208	0.645833	5.888021
arithmetic_easy	grpo	42	below	zvf_high	11	0.000794	4.473293	0.939631	4.487216
arithmetic_easy	grpo	42	above	zvf_high	23	0.002224	4.496652	0.996264	4.55197
arithmetic_easy	grpo	123	below	zvf_low	3	-0.855469	7.628906	0.403646	6.773438
arithmetic_easy	grpo	123	below	zvf_mid	3	-0.128906	5.552083	0.8125	5.036458
arithmetic_easy	grpo	123	below	zvf_high	14	0.002359	4.529549	0.932478	4.575893
arithmetic_easy	grpo	123	above	zvf_high	20	0.005666	4.386958	0.993359	4.525781
arithmetic_easy	grpo	456	below	zvf_low	5	-0.578906	7.203125	0.559375	6.045312
arithmetic_easy	grpo	456	below	zvf_mid	2	-0.5625	7.679688	0.910156	4.585938
arithmetic_easy	grpo	456	below	zvf_high	12	-0.000214	4.472167	0.944661	4.46875
arithmetic_easy	grpo	456	above	zvf_high	21	-0.006191	4.659714	0.997768	4.49256
arithmetic_easy	grpo	789	below	zvf_low	4	-0.484375	7.171875	0.46875	6.445312
arithmetic_easy	grpo	789	below	zvf_mid	2	-0.398438	6.648438	0.859375	4.855469
arithmetic_easy	grpo	789	below	zvf_high	14	-0.006826	4.668797	0.954241	4.5625
arithmetic_easy	grpo	789	above	zvf_high	20	-0.002842	4.603108	0.998047	4.525391
arithmetic_easy	grpo	1024	below	zvf_low	4	-0.157812	6.378906	0.591797	5.984375
arithmetic_easy	grpo	1024	below	zvf_mid	3	-0.376638	7.394027	0.651042	6.013021
arithmetic_easy	grpo	1024	below	zvf_high	12	-0.005118	4.658192	0.966146	4.559245
arithmetic_easy	grpo	1024	above	zvf_high	21	-0.003749	4.60561	0.997396	4.511533
arithmetic_easy	dr_grpo	42	below	zvf_low	5	-0.346094	6.624219	0.6125	5.585938
arithmetic_easy	dr_grpo	42	below	zvf_mid	2	-0.523438	7.726562	0.53125	6.15625
arithmetic_easy	dr_grpo	42	below	zvf_high	13	0.008714	4.240091	0.921875	4.423077
arithmetic_easy	dr_grpo	42	above	zvf_high	20	0.000399	4.53639	0.994141	4.546094
arithmetic_easy	dr_grpo	123	below	zvf_low	4	-0.279687	6.735938	0.417969	6.316406
arithmetic_easy	dr_grpo	123	below	zvf_mid	4	-0.094531	5.1625	0.847656	4.642578
arithmetic_easy	dr_grpo	123	below	zvf_high	12	0.004426	4.35551	0.9375	4.435547
arithmetic_easy	dr_grpo	123	above	zvf_high	20	0.008113	4.289234	0.990625	4.50625
arithmetic_easy	dr_grpo	456	below	zvf_low	5	-0.660156	7.314063	0.528125	5.99375
arithmetic_easy	dr_grpo	456	below	zvf_mid	3	-0.148438	5.377604	0.838542	4.486979
arithmetic_easy	dr_grpo	456	below	zvf_high	11	0.008306	4.396507	0.914062	4.512784
arithmetic_easy	dr_grpo	456	above	zvf_high	21	-0.003621	4.631002	0.994048	4.527902
arithmetic_easy	dr_grpo	789	below	zvf_low	5	-0.554688	7.109375	0.4875	5.889062
arithmetic_easy	dr_grpo	789	below	zvf_mid	2	-0.355469	7.054688	0.796875	5.277344
arithmetic_easy	dr_grpo	789	below	zvf_high	11	-0.002579	4.619864	0.9375	4.578125
arithmetic_easy	dr_grpo	789	above	zvf_high	22	-0.000224	4.522256	0.995028	4.516335
arithmetic_easy	dr_grpo	1024	below	zvf_low	4	-0.570312	7.144531	0.458984	6.289062
arithmetic_easy	dr_grpo	1024	below	zvf_mid	3	-0.46875	7.161458	0.846354	4.817708
arithmetic_easy	dr_grpo	1024	below	zvf_high	10	-0.004328	4.6224	0.958594	4.564844
arithmetic_easy	dr_grpo	1024	above	zvf_high	23	-0.003081	4.590643	0.998302	4.506793
gsm8k_cot	grpo	42	below	zvf_mid	9	-0.679671	198.425124	0.197917	189.211806
gsm8k_cot	grpo	42	below	zvf_high	5	-0.627325	199.606949	0.1375	191.828125
gsm8k_cot	grpo	42	above	zvf_low	7	-0.71743	195.895572	0.375	185.236607
gsm8k_cot	grpo	42	above	zvf_mid	7	-1.193996	200.311294	0.375	177.966518
gsm8k_cot	grpo	123	below	zvf_mid	7	-0.37672	196.698663	0.196429	190.832589
gsm8k_cot	grpo	123	below	zvf_high	7	-0.667322	200.489747	0.220982	190.479911
gsm8k_cot	grpo	123	above	zvf_low	4	-0.697237	196.33412	0.394531	187.792969
gsm8k_cot	grpo	123	above	zvf_mid	10	-0.285367	192.827695	0.317188	189.175
gsm8k_cot	grpo	456	below	zvf_mid	6	-0.156386	196.767935	0.171875	194.109375
gsm8k_cot	grpo	456	below	zvf_high	7	0.10966	194.932174	0.158482	196.122768
gsm8k_cot	grpo	456	above	zvf_low	6	-0.1227	192.486794	0.338542	190.809896
gsm8k_cot	grpo	456	above	zvf_mid	8	-0.127414	191.589701	0.347656	189.535156
gsm8k_cot	grpo	456	above	zvf_high	3	-0.1584	189.496509	0.338542	187.067708
gsm8k_cot	dr_grpo	42	below	zvf_mid	8	0.088152	191.75864	0.1875	193.125
gsm8k_cot	dr_grpo	42	below	zvf_high	6	-0.48126	198.906881	0.177083	193.773438
gsm8k_cot	dr_grpo	42	above	zvf_low	5	-0.118624	190.614116	0.403125	189.190625
gsm8k_cot	dr_grpo	42	above	zvf_mid	9	-0.378401	193.985497	0.328125	187.678819
gsm8k_cot	dr_grpo	123	below	zvf_mid	9	-0.275889	196.125492	0.204861	191.772569
gsm8k_cot	dr_grpo	123	below	zvf_high	5	-0.167828	196.397383	0.1625	194.215625
gsm8k_cot	dr_grpo	123	above	zvf_low	3	-0.074709	189.873229	0.307292	189.151042
gsm8k_cot	dr_grpo	123	above	zvf_mid	11	-0.371579	193.928976	0.336648	188.22017
gsm8k_cot	dr_grpo	123	above	zvf_high	2	-0.234375	188.59375	0.273438	185.078125
gsm8k_cot	dr_grpo	456	below	zvf_mid	4	0.008012	195.56572	0.195312	195.671875
gsm8k_cot	dr_grpo	456	below	zvf_high	10	0.116466	193.589504	0.145313	195.173438
gsm8k_cot	dr_grpo	456	above	zvf_low	2	-0.890625	202.265625	0.328125	196.921875
gsm8k_cot	dr_grpo	456	above	zvf_mid	11	-0.054715	190.663107	0.329545	189.752841
gsm8k_cot	dr_grpo	456	above	zvf_high	3	0.194475	186.949126	0.3125	190.255208
