task	algo	seed	rho_0	rho_last	delta_rho	slope_drho_dt	intercept	n_steps
arithmetic_easy	grpo	42	0.01768173	0.21333333	0.1956516	0.00222805	0.15667108	40
arithmetic_easy	grpo	123	0.0297619	0.22222222	0.19246032	0.00215901	0.15611079	40
arithmetic_easy	grpo	456	0.03723404	0.22857143	0.19133739	0.00242776	0.15517433	40
arithmetic_easy	grpo	789	0.03773585	0.21340388	0.17566803	0.00245687	0.15210177	40
arithmetic_easy	grpo	1024	0.02436441	0.21354167	0.18917726	0.00272706	0.14550144	40
arithmetic_easy	dr_grpo	42	0.02527806	0.21333333	0.18805527	0.00244886	0.14900288	40
arithmetic_easy	dr_grpo	123	0.02640643	0.22222222	0.19581579	0.00242612	0.15124454	40
arithmetic_easy	dr_grpo	456	0.03723404	0.2251773	0.18794326	0.00255874	0.1472894	40
arithmetic_easy	dr_grpo	789	0.03322615	0.20950704	0.17628089	0.00268944	0.14400318	40
arithmetic_easy	dr_grpo	1024	0.028125	0.22048611	0.19236111	0.00255932	0.15109313	40
gsm8k_cot	grpo	42	0.00079764	0.00168587	0.00088823	2.002e-05	0.00120812	30
gsm8k_cot	grpo	123	0.00164609	0.00132884	-0.00031725	-4e-07	0.00145098	30
gsm8k_cot	grpo	456	0.00079669	0.00179109	0.00099441	5.6e-06	0.00131357	30
gsm8k_cot	dr_grpo	42	0.00119799	0.002163	0.00096502	9.69e-06	0.00129242	30
gsm8k_cot	dr_grpo	123	0.00165153	0.00147046	-0.00018107	1.65e-06	0.00135519	30
gsm8k_cot	dr_grpo	456	0.00079669	0.00146675	0.00067007	2.43e-06	0.00126289	30
