task	algo	seed	mean_eps	median_eps	pos_frac	neg_frac	n_steps	L_first	L_last	R_first	R_last
arithmetic_easy	grpo	42	0.08440228	0.0	0.475	0.45	40	7.9531	4.6875	0.1406	1.0
arithmetic_easy	grpo	123	0.12184985	-0.0	0.435897	0.487179	40	7.875	4.5	0.2344	1.0
arithmetic_easy	grpo	456	0.04425458	0.0	0.4	0.45	40	7.3438	4.375	0.2734	1.0
arithmetic_easy	grpo	789	-0.24477064	-0.02256944	0.225	0.525	40	7.4531	4.4297	0.2812	0.9453
arithmetic_easy	grpo	1024	-0.15209941	0.0	0.333333	0.487179	40	7.375	4.5	0.1797	0.9609
arithmetic_easy	dr_grpo	42	0.06668034	0.046875	0.526316	0.394737	40	7.7266	4.6875	0.1953	1.0
arithmetic_easy	dr_grpo	123	-0.16313402	-0.10056926	0.35	0.575	40	6.8047	4.5	0.1797	1.0
arithmetic_easy	dr_grpo	456	-0.17439576	-0.05	0.205128	0.666667	40	7.3438	4.4062	0.2734	0.9922
arithmetic_easy	dr_grpo	789	-0.07901564	-0.15384615	0.25641	0.666667	40	7.2891	4.4375	0.2422	0.9297
arithmetic_easy	dr_grpo	1024	-0.13428993	-0.05263158	0.307692	0.512821	40	7.5	4.5	0.2109	0.9922
gsm8k_cot	grpo	42	0.00795175	-0.01482957	0.3	0.7	30	195.8906	166.8281	0.1562	0.2812
gsm8k_cot	grpo	123	0.0252157	0.01525259	0.633333	0.366667	30	189.8438	176.375	0.3125	0.2344
gsm8k_cot	grpo	456	-0.00350198	-0.01788498	0.3	0.7	30	196.125	191.9219	0.1562	0.3438
gsm8k_cot	dr_grpo	42	-0.01560794	-0.0130031	0.133333	0.833333	30	195.6406	180.5938	0.2344	0.3906
gsm8k_cot	dr_grpo	123	0.01879009	-0.01120919	0.4	0.533333	30	189.2188	180.6406	0.3125	0.2656
gsm8k_cot	dr_grpo	456	0.01338059	-0.02085545	0.233333	0.766667	30	196.125	191.75	0.1562	0.2812
