experiment	cell	n_pairs	mean_grpo	mean_drgrpo	mean_diff	ci_lo	ci_hi	p_le0
drgrpo_gsm8k_cot	all_all	3	-0.450431	-0.240571	0.20986	0.016972	0.405172	0.0
drgrpo_gsm8k_cot	all_high	3	1.001736	0.894097	-0.107639	-0.65625	0.791667	0.7475
drgrpo_gsm8k_cot	all_mid	3	-0.270741	-0.204381	0.06636	-0.490865	0.367504	0.2525
drgrpo_gsm8k_cot	all_low	3	-0.825209	-0.43741	0.3878	-0.188342	1.245883	0.147
drgrpo_gsm8k_cot	pos_all	3	-1.713408	-1.515892	0.197516	-0.033253	0.360606	0.0335
drgrpo_gsm8k_cot	pos_high	3	-0.263889	0.0	0.263889	0.0	0.791667	0.297
drgrpo_gsm8k_cot	pos_mid	3	-1.561198	-1.919897	-0.358699	-1.541853	0.284505	0.703
drgrpo_gsm8k_cot	pos_low	3	-1.840567	-1.043078	0.79749	0.119661	1.92327	0.0
drgrpo_gsm8k_cot	neg_all	3	0.543233	0.866026	0.322794	-0.169108	0.636979	0.035
drgrpo_gsm8k_cot	neg_high	3	1.265625	0.894097	-0.371528	-0.65625	0.0	1.0
drgrpo_gsm8k_cot	neg_mid	3	0.401143	0.968193	0.56705	-0.0654	0.895399	0.035
drgrpo_gsm8k_cot	neg_low	3	0.50005	0.309854	-0.190195	-0.895833	0.311012	0.706
drgrpo_vs_grpo	all_all	5	-0.062961	-0.060196	0.002764	-0.001563	0.008654	0.1795
drgrpo_vs_grpo	all_high	5	-0.005949	0.002965	0.008914	0.00444	0.013945	0.0
drgrpo_vs_grpo	all_mid	5	-0.22888	-0.133378	0.095502	0.075379	0.114375	0.0
drgrpo_vs_grpo	all_low	5	-0.450499	-0.417791	0.032708	-0.10362	0.168715	0.3115
drgrpo_vs_grpo	pos_all	5	-0.114963	-0.104965	0.009998	-0.004066	0.024444	0.0985
drgrpo_vs_grpo	pos_high	5	-0.005625	0.00805	0.013675	-0.013955	0.034558	0.1485
drgrpo_vs_grpo	pos_mid	5	-0.239896	-0.157483	0.082413	0.012786	0.136406	0.012
drgrpo_vs_grpo	pos_low	5	-0.450499	-0.417791	0.032708	-0.10362	0.168715	0.3115
drgrpo_vs_grpo	neg_all	5	-0.006368	0.001667	0.008036	0.000295	0.016119	0.019
drgrpo_vs_grpo	neg_high	5	-0.005118	0.004847	0.009965	0.003443	0.019036	0.0
drgrpo_vs_grpo	neg_mid	5	-0.011979	-0.022396	-0.010417	-0.045312	0.025	0.6435
drgrpo_vs_grpo	neg_low	5	0.0	0.0	0.0	0.0	0.0	1.0
