experiment	seed	algo	lag	r_corr
drgrpo_gsm8k_cot	42	grpo	0	-0.570133
drgrpo_gsm8k_cot	42	grpo	1	0.420916
drgrpo_gsm8k_cot	42	grpo	2	-0.162300
drgrpo_gsm8k_cot	42	drgrpo	0	-0.487234
drgrpo_gsm8k_cot	42	drgrpo	1	0.152623
drgrpo_gsm8k_cot	42	drgrpo	2	-0.025260
drgrpo_gsm8k_cot	123	grpo	0	-0.543354
drgrpo_gsm8k_cot	123	grpo	1	0.510945
drgrpo_gsm8k_cot	123	grpo	2	-0.241519
drgrpo_gsm8k_cot	123	drgrpo	0	-0.794559
drgrpo_gsm8k_cot	123	drgrpo	1	0.640835
drgrpo_gsm8k_cot	123	drgrpo	2	-0.165821
drgrpo_gsm8k_cot	456	grpo	0	-0.908450
drgrpo_gsm8k_cot	456	grpo	1	0.686757
drgrpo_gsm8k_cot	456	grpo	2	-0.246108
drgrpo_gsm8k_cot	456	drgrpo	0	-0.858366
drgrpo_gsm8k_cot	456	drgrpo	1	0.574134
drgrpo_gsm8k_cot	456	drgrpo	2	-0.187171
drgrpo_vs_grpo	42	grpo	0	0.149567
drgrpo_vs_grpo	42	grpo	1	0.192091
drgrpo_vs_grpo	42	grpo	2	-0.284739
drgrpo_vs_grpo	42	drgrpo	0	0.231290
drgrpo_vs_grpo	42	drgrpo	1	0.055582
drgrpo_vs_grpo	42	drgrpo	2	-0.038313
drgrpo_vs_grpo	123	grpo	0	-0.179254
drgrpo_vs_grpo	123	grpo	1	-0.092610
drgrpo_vs_grpo	123	grpo	2	0.321196
drgrpo_vs_grpo	123	drgrpo	0	0.232503
drgrpo_vs_grpo	123	drgrpo	1	-0.009017
drgrpo_vs_grpo	123	drgrpo	2	-0.246958
drgrpo_vs_grpo	456	grpo	0	0.395531
drgrpo_vs_grpo	456	grpo	1	-0.551444
drgrpo_vs_grpo	456	grpo	2	0.637721
drgrpo_vs_grpo	456	drgrpo	0	0.062902
drgrpo_vs_grpo	456	drgrpo	1	-0.139698
drgrpo_vs_grpo	456	drgrpo	2	0.340825
drgrpo_vs_grpo	789	grpo	0	-0.030577
drgrpo_vs_grpo	789	grpo	1	-0.158587
drgrpo_vs_grpo	789	grpo	2	0.376047
drgrpo_vs_grpo	789	drgrpo	0	-0.171672
drgrpo_vs_grpo	789	drgrpo	1	-0.100615
drgrpo_vs_grpo	789	drgrpo	2	0.287023
drgrpo_vs_grpo	1024	grpo	0	-0.170159
drgrpo_vs_grpo	1024	grpo	1	0.124000
drgrpo_vs_grpo	1024	grpo	2	-0.033844
drgrpo_vs_grpo	1024	drgrpo	0	-0.220010
drgrpo_vs_grpo	1024	drgrpo	1	0.087199
drgrpo_vs_grpo	1024	drgrpo	2	0.010854
