task	algo	seed	n	phi	mu	theta	half_life	sigma	df_stat	L0	Lend	r_slope
arithmetic	grpo	42	38	0.5047	4.54	0.6837	1.01	0.181	-5.239	5.88	4.69	0.0043
arithmetic	grpo	123	38	0.4134	4.55	0.8833	0.78	0.184	-6.568	6.16	4.50	0.0046
arithmetic	grpo	456	38	0.2852	4.50	1.2545	0.55	0.175	-9.041	6.44	4.38	0.0052
arithmetic	grpo	789	38	0.5739	4.53	0.5554	1.25	0.158	-5.878	6.17	4.43	0.0048
arithmetic	grpo	1024	38	0.7595	4.52	0.2751	2.52	0.186	-3.442	6.03	4.50	0.0053
arithmetic	dr_grpo	42	38	0.5626	4.52	0.5751	1.21	0.178	-4.628	5.74	4.69	0.0059
arithmetic	dr_grpo	123	38	0.4928	4.49	0.7077	0.98	0.199	-6.101	6.30	4.50	0.0061
arithmetic	dr_grpo	456	38	0.1728	4.53	1.7553	0.39	0.170	-10.623	6.50	4.41	0.0068
arithmetic	dr_grpo	789	38	0.4472	4.56	0.8048	0.86	0.213	-5.279	5.96	4.44	0.0062
arithmetic	dr_grpo	1024	38	0.6132	4.54	0.4890	1.42	0.199	-3.707	5.55	4.50	0.0053
gsm8k_cot	grpo	42	28	0.6104	183.51	0.4937	1.40	7.990	-2.293	197.98	166.83	0.0028
gsm8k_cot	grpo	123	28	0.4927	188.50	0.7078	0.98	4.626	-2.530	195.56	176.38	-0.0008
gsm8k_cot	grpo	456	28	-0.2817	191.60	nan	nan	4.423	-6.765	195.28	191.92	-0.0007
gsm8k_cot	dr_grpo	42	28	0.4540	189.72	0.7897	0.88	5.036	-2.927	196.92	180.59	0.0017
gsm8k_cot	dr_grpo	123	28	0.0411	189.84	3.1920	0.22	4.559	-4.425	192.98	180.64	-0.0000
gsm8k_cot	dr_grpo	456	28	-0.3412	192.62	nan	nan	4.098	-7.192	195.45	191.75	-0.0009
