task	key	n_pairs	mean_diff	ci_lo	ci_hi	p
arithmetic_easy	te_lr	5	0.083688	-0.021274	0.185461	0.221852
arithmetic_easy	te_rl	5	0.070884	-0.140808	0.298593	0.615328
arithmetic_easy	delta	5	0.012805	-0.244377	0.289941	0.938852
arithmetic_easy	ratio	5	0.045066	-0.495260	0.682388	0.901269
arithmetic_easy	a_lr	5	0.168036	-0.040027	0.380491	0.244626
arithmetic_easy	a_rl	5	-0.012776	-0.243805	0.219022	0.926094
gsm8k_cot	te_lr	3	0.059814	-0.288651	0.354653	0.780103
gsm8k_cot	te_rl	3	0.067745	-0.128710	0.178313	0.562602
gsm8k_cot	delta	3	-0.007931	-0.159941	0.201023	0.948156
gsm8k_cot	ratio	3	-0.092319	-0.386185	0.480610	0.777839
gsm8k_cot	a_lr	3	0.152470	-0.421335	0.447899	0.648280
gsm8k_cot	a_rl	3	0.089419	-0.058557	0.313342	0.514567
