task	key	n_pairs	mean_diff	median_diff	ci_lo	ci_hi	p
arithmetic_easy	phi_L	5	0.005621425781393974	-0.011160035820507952	-0.10235280438276673	0.1506507664573038	0.662
arithmetic_easy	phi_R	5	0.03228453154916662	0.03533469777149356	0.008945690599031275	0.061726094375770146	0.0
arithmetic_easy	fwd	5	0.1398583666409257	0.1371943666764785	0.005410399143178257	0.341357881661198	0.0
arithmetic_easy	bwd	5	-0.055298311293422366	0.17249604555238773	-0.5076828140688228	0.2346133544004284	0.637
arithmetic_easy	fwd_signed	5	-0.16717618337918463	-0.10191245549024959	-0.5869505466472047	0.03257500632376831	0.117
arithmetic_easy	bwd_signed	5	0.0373510664567654	0.13328458990414163	-0.393375788483194	0.3536796296340979	0.583
arithmetic_easy	ai	5	-0.1960209129239789	-0.2615444960616574	-0.5165084178951098	0.22874434675987115	0.112
arithmetic_easy	fb_ratio	5	0.1828220614786459	0.1385226632702514	-0.7149225352295974	1.7322932333047059	0.662
arithmetic_easy	F_lr	5	-0.007966312534371703	-0.043399643389718315	-0.11040383394582651	0.13663887305802183	0.583
arithmetic_easy	p_lr	5	0.0019684010550794937	0.017511089462129426	-0.09409579783955857	0.06229978726935359	0.583
arithmetic_easy	r2_lr	5	-0.008517441395314873	-0.043540248994924036	-0.09802888289277845	0.0994261539241893	0.583
arithmetic_easy	ccf_k=+1	5	-0.11728018556540047	-0.14189712440030675	-0.601805458726093	0.46659682622624127	0.111
arithmetic_easy	ccf_k=+2	5	0.016611756435277104	0.02140201392149984	-0.11743187500344113	0.11818549952962301	0.681
arithmetic_easy	ccf_k=+3	5	-0.06650775424906127	0.04535822566572212	-0.4154899182140701	0.06493559082009377	0.61
arithmetic_easy	ccf_k=-1	5	0.20321926416082028	0.19407502134057547	0.09879925300765346	0.3612822544731791	0.0
arithmetic_easy	ccf_k=-2	5	-0.11424437513769096	-0.09531587893785581	-0.36795724290099363	0.09364631845083118	0.105
arithmetic_easy	ccf_k=-3	5	-0.05162382256636392	-0.021088637827719317	-0.35555666094128935	0.36035461806191244	0.637
arithmetic_easy	ccf_k=+0	5	0.06644391207885965	-0.08382645666815064	-0.15626197013450355	0.3788530050470254	0.583
gsm8k_cot	phi_L	3	-0.25036533398719973	-0.1915937679850238	-0.4649244285048234	-0.09457780547175201	0.0
gsm8k_cot	phi_R	3	0.06122196839647918	0.0376714252008109	0.027986156116283065	0.11800832387234358	0.0
gsm8k_cot	fwd	3	0.13699152480406795	0.06416993116780811	-0.23782922541776974	0.5846338686621655	0.555
gsm8k_cot	bwd	3	-0.11901183638646994	-0.10277466928476375	-0.2363106442871888	-0.01795019558745725	0.0
gsm8k_cot	fwd_signed	3	-0.08966918333534102	-0.16336830104544403	-0.2639807718252377	0.15834152286465872	0.48
gsm8k_cot	bwd_signed	3	0.05919459188656471	0.30035717869714074	-0.4294117689668607	0.30663836592941407	0.48
gsm8k_cot	ai	3	-0.09272408270578085	-0.19490757002031278	-0.5211411641129741	0.4378764860159443	0.48
gsm8k_cot	fb_ratio	3	0.41834577229191966	0.33483171431468417	-0.2999220433806804	1.2201276459417552	0.555
gsm8k_cot	F_lr	3	0.2625612762419926	0.3925332018289064	-0.008811472329289222	0.4039620992263608	0.48
gsm8k_cot	p_lr	3	-0.16732623369158542	-0.24922976757813486	-0.2583910028759505	0.0056420693793290955	0.48
gsm8k_cot	r2_lr	3	0.2020496096729848	0.30435718740388573	-0.007415910857823782	0.30920755247289244	0.48
gsm8k_cot	ccf_k=+1	3	-0.06333409151336022	-0.09982164680455843	-0.17027253921153251	0.08009191147601025	0.48
gsm8k_cot	ccf_k=+2	3	-0.08635568894043107	-0.02618112905810771	-0.27417943804924627	0.041293500286060734	0.555
gsm8k_cot	ccf_k=+3	3	0.06002059711845032	0.10443074044675618	-0.1350017328997659	0.2106327838083607	0.555
gsm8k_cot	ccf_k=-1	3	-0.10334748460391374	-0.10620906713078301	-0.21449331667567897	0.010659929994720763	0.555
gsm8k_cot	ccf_k=-2	3	0.14016398048758663	0.21776980498169876	-0.07174907449353322	0.2744712109745943	0.48
gsm8k_cot	ccf_k=-3	3	0.02237809600289184	0.07820863095299455	-0.1431693777976485	0.13209503485332946	0.48
gsm8k_cot	ccf_k=+0	3	-0.13176935425352213	-0.0760447360660576	-0.32964021166840485	0.010376884973896106	0.48
