section	task	algo	bin	len_min	len_max	len_mid	mean_reward	n_steps	seed	model
per_run_rho	arithmetic_easy_qwen2.5-0.5b	grpo					-0.238649	40	42	Qwen/Qwen2.5-0.5B
per_run_rho	arithmetic_easy_qwen2.5-0.5b	grpo					-0.350657	40	123	Qwen/Qwen2.5-0.5B
per_run_rho	arithmetic_easy_qwen2.5-0.5b	grpo					-0.312383	40	456	Qwen/Qwen2.5-0.5B
per_run_rho	arithmetic_easy_qwen2.5-0.5b	grpo					-0.481051	40	789	Qwen/Qwen2.5-0.5B
per_run_rho	arithmetic_easy_qwen2.5-0.5b	grpo					-0.599250	40	1024	Qwen/Qwen2.5-0.5B
per_run_rho	arithmetic_easy_qwen2.5-0.5b	dr_grpo					-0.109944	40	42	Qwen/Qwen2.5-0.5B
per_run_rho	arithmetic_easy_qwen2.5-0.5b	dr_grpo					-0.103002	40	123	Qwen/Qwen2.5-0.5B
per_run_rho	arithmetic_easy_qwen2.5-0.5b	dr_grpo					-0.316886	40	456	Qwen/Qwen2.5-0.5B
per_run_rho	arithmetic_easy_qwen2.5-0.5b	dr_grpo					-0.450469	40	789	Qwen/Qwen2.5-0.5B
per_run_rho	arithmetic_easy_qwen2.5-0.5b	dr_grpo					-0.489306	40	1024	Qwen/Qwen2.5-0.5B
per_run_rho	gsm8k_cot_hard_qwen2.5-1.5b	grpo					-0.518576	30	42	Qwen/Qwen2.5-1.5B-Instruct
per_run_rho	gsm8k_cot_hard_qwen2.5-1.5b	grpo					-0.273860	30	123	Qwen/Qwen2.5-1.5B-Instruct
per_run_rho	gsm8k_cot_hard_qwen2.5-1.5b	grpo					-0.750389	30	456	Qwen/Qwen2.5-1.5B-Instruct
per_run_rho	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo					-0.600000	30	42	Qwen/Qwen2.5-1.5B-Instruct
per_run_rho	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo					-0.490990	30	123	Qwen/Qwen2.5-1.5B-Instruct
per_run_rho	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo					-0.762848	30	456	Qwen/Qwen2.5-1.5B-Instruct
paired_delta_rho_drgrpo_minus_grpo	arithmetic_easy_qwen2.5-0.5b	dr_grpo					0.102477			
paired_delta_rho_drgrpo_minus_grpo	gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo					-0.103671			
