item_no	item_name	key	source	n_records	ok	missing	na_or_empty	unrecognized	pct_ok	pct_missing
1	loss_form	loss_form	manifest	98	98	0	0	0	100.0	0.0
2	ref_policy_kl	ref_policy_kl	manifest	98	0	0	98	0	0.0	0.0
3	sampler_backend_precision	sampler_backend_precision	manifest	98	98	0	0	0	100.0	0.0
4	per_step_zvf_path	per_step_zvf_path	manifest	98	98	0	0	0	100.0	0.0
5	group_size_schedule	group_size_schedule	manifest	98	98	0	0	0	100.0	0.0
6	heldout_split	heldout_split	manifest	98	98	0	0	0	100.0	0.0
7	decontamination_notes	decontamination_notes	manifest	98	98	0	0	0	100.0	0.0
8	model_family	model	cells.tsv	98	98	0	0	0	100.0	0.0
9	task_slice	task_slice	cells.tsv	98	98	0	0	0	100.0	0.0
10	group_size	G	cells.tsv	98	98	0	0	0	100.0	0.0
11	temperature	temperature	cells.tsv	98	98	0	0	0	100.0	0.0
12	seed	seed	cells.tsv	98	98	0	0	0	100.0	0.0
13	mean_reward	mean_reward	cells.tsv	98	98	0	0	0	100.0	0.0
14	zvf	zvf	cells.tsv	98	98	0	0	0	100.0	0.0
15	pcd	pcd	cells.tsv	98	98	0	0	0	100.0	0.0
16	mean_completion_len	mean_completion_len	cells.tsv	98	98	0	0	0	100.0	0.0
17	std_completion_len	std_completion_len	cells.tsv	98	98	0	0	0	100.0	0.0
18	sampled_tokens	sampled_tokens	cells.tsv	98	98	0	0	0	100.0	0.0
19	model	model	n10	6	6	0	0	0	100.0	0.0
20	lr	lr	n10	6	5	1	0	0	83.3	16.7
21	max_tokens	max_tokens	n10	6	5	1	0	0	83.3	16.7
22	group	group	n10	6	5	1	0	0	83.3	16.7
23	batch	batch	n10	6	5	1	0	0	83.3	16.7
24	rank	rank	n10	6	5	1	0	0	83.3	16.7
25	n_eval	n_eval	n10	6	5	1	0	0	83.3	16.7
26	heldout_acc	heldout_acc	n10	6	5	1	0	0	83.3	16.7
27	step_log	step_log	n10	6	5	1	0	0	83.3	16.7
28	mean_zvf	mean_zvf	n10	6	5	1	0	0	83.3	16.7
29	wandb_run_path	wandb_run_path	n10	6	5	1	0	0	83.3	16.7
