channel	step	eta2_point	ci_lo	ci_hi	mean_boot
reward_mean	0	0.006406	0.003810	0.029211	nan
reward_mean	1	0.004613	0.001159	0.046279	0.015032
reward_mean	2	0.004566	0.000484	0.094911	0.014091
reward_mean	3	0.003277	0.000406	0.034665	0.007508
reward_mean	4	0.006242	0.000570	0.043689	0.014278
reward_mean	5	0.003103	0.000373	0.019041	0.005235
reward_mean	6	0.006576	0.000744	0.041410	0.011783
reward_mean	7	0.001630	0.000203	0.026236	0.005870
reward_mean	8	0.002210	0.000657	0.022424	0.006854
reward_mean	9	0.002558	0.000817	0.033707	0.011395
reward_mean	10	0.002757	0.000404	0.050746	0.008512
reward_mean	11	0.002316	0.000845	0.021895	0.006252
reward_mean	12	0.030593	0.008513	0.107164	0.041613
reward_mean	13	0.001456	0.000370	0.048575	0.009501
reward_mean	14	0.014881	0.005512	0.079274	0.023667
reward_mean	15	0.004116	0.001729	0.062850	0.014284
reward_mean	16	0.001076	0.000090	0.026968	0.004460
reward_mean	17	0.007970	0.004077	0.055760	0.018512
reward_mean	18	0.004139	0.001385	0.034232	0.009324
reward_mean	19	0.010515	0.001273	0.064375	0.017607
reward_mean	20	0.000624	0.000407	0.029689	0.008341
reward_mean	21	0.007267	0.002575	0.063502	0.018108
reward_mean	22	0.001289	0.000731	0.091006	nan
reward_mean	23	0.000947	0.000459	0.062500	nan
reward_mean	24	0.000252	0.000183	0.083333	nan
reward_mean	25	0.006248	0.001231	0.057471	0.016806
reward_mean	26	0.010012	0.002183	0.013540	nan
reward_mean	27	0.004618	nan	nan	nan
reward_mean	28	0.002394	0.000585	0.063920	nan
reward_mean	29	0.003254	0.001060	0.001425	nan
reward_mean	30	0.002746	0.000755	0.108911	nan
reward_mean	31	0.007127	0.001655	0.194346	0.045672
reward_mean	32	0.007582	0.000455	0.053942	0.014681
reward_mean	33	0.011169	0.001474	0.147964	0.035916
reward_mean	34	0.010604	0.001314	0.264646	0.042922
reward_mean	35	0.002335	0.000226	0.063408	0.010064
reward_mean	36	0.000187	0.000186	0.091525	0.014344
reward_mean	37	0.010143	0.000809	0.079152	0.019041
reward_mean	38	0.003197	0.000115	0.055114	0.009465
reward_mean	39	0.012474	0.010817	0.052376	nan
mean_len	0	0.001405	0.000350	0.007919	0.002536
mean_len	1	0.002331	0.000340	0.015360	0.004470
mean_len	2	0.000584	0.000115	0.010335	0.002457
mean_len	3	0.004683	0.001746	0.024191	0.008005
mean_len	4	0.002007	0.000561	0.011116	0.003727
mean_len	5	0.003249	0.000485	0.017961	0.005154
mean_len	6	0.001075	0.000168	0.011707	0.003102
mean_len	7	0.000610	0.000170	0.004845	0.001399
mean_len	8	0.001177	0.000207	0.006025	0.001866
mean_len	9	0.000210	0.000081	0.004147	0.001175
mean_len	10	0.000832	0.000204	0.011482	0.003145
mean_len	11	0.002649	0.000581	0.015650	0.004624
mean_len	12	0.005376	0.001364	0.031037	0.008996
mean_len	13	0.001005	0.000283	0.008685	0.002981
mean_len	14	0.002231	0.000376	0.011498	0.003734
mean_len	15	0.005609	0.001763	0.020792	0.008317
mean_len	16	0.002369	0.000393	0.016892	0.004480
mean_len	17	0.002956	0.000495	0.015426	0.004785
mean_len	18	0.002717	0.000976	0.013438	0.004531
mean_len	19	0.004043	0.001899	0.011925	0.005629
mean_len	20	0.003711	0.001927	0.020738	0.007490
mean_len	21	0.015067	0.003458	0.063819	0.021485
mean_len	22	0.007716	0.002606	0.030995	0.011031
mean_len	23	0.022719	0.007251	0.082478	0.030064
mean_len	24	0.008976	0.002710	0.033250	0.012469
mean_len	25	0.011486	0.001813	0.066950	0.019801
mean_len	26	0.034795	0.015850	0.095478	0.043383
mean_len	27	0.036230	0.017883	0.111230	0.047556
mean_len	28	0.019348	0.006253	0.063936	0.025621
mean_len	29	0.014769	0.004447	0.058218	0.020625
mean_len	30	0.014659	0.004679	0.066620	0.023330
mean_len	31	0.032121	0.013388	0.086543	0.039937
mean_len	32	0.007799	0.002353	0.034113	0.011905
mean_len	33	0.020735	0.007877	0.057445	0.025128
mean_len	34	0.051814	0.028737	0.108594	0.060213
mean_len	35	0.046731	0.012971	0.163966	0.062113
mean_len	36	0.048831	0.020985	0.134724	0.059935
mean_len	37	0.041046	0.012364	0.127744	0.051267
mean_len	38	0.047773	0.021044	0.147720	0.060590
mean_len	39	0.023727	0.012188	0.069142	0.030474
cv_len	0	0.001346	0.000993	0.079978	0.019221
cv_len	1	0.058083	0.014941	0.201304	0.077064
cv_len	2	0.050366	0.011872	0.186883	0.072435
cv_len	3	0.031775	0.006803	0.147947	0.049432
cv_len	4	0.007931	0.002021	0.058083	0.020829
cv_len	5	0.007859	0.002137	0.091033	0.026386
cv_len	6	0.013704	0.002228	0.094085	0.030383
cv_len	7	0.014155	0.002471	0.110677	0.035156
cv_len	8	0.017445	0.004672	0.081698	0.029665
cv_len	9	0.008577	0.002598	0.104033	0.032657
cv_len	10	0.005739	0.002041	0.075750	0.023807
cv_len	11	0.028895	0.006034	0.138187	0.050309
cv_len	12	0.022810	0.006191	0.122972	0.043747
cv_len	13	0.029918	0.006191	0.167441	0.053367
cv_len	14	0.033723	0.008184	0.175776	0.059217
cv_len	15	0.005559	0.002630	0.115870	0.034443
cv_len	16	0.000643	0.000557	0.059738	0.012674
cv_len	17	0.056946	0.024175	0.168847	0.075841
cv_len	18	0.004552	0.001782	0.062095	0.018609
cv_len	19	0.037471	0.010420	0.147690	0.063728
cv_len	20	0.021873	0.002327	0.126796	0.037506
cv_len	21	0.123932	0.039467	0.328362	0.151065
cv_len	22	0.115540	0.050354	0.295344	0.146000
