mutation	audit	version	n_baseline_pass	baseline_rate	mutated_rate	n_detected	detection_rate	ci_lo	ci_hi	verdict
M1_remove_field	v24_identifier_stamp	v2.4	20	1.000	0.000	20	1.000	0.839	1.000	DETECTED
M1_remove_field	schema_ground_truth	v2.4	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M1_remove_field	field_coverage_rate	v2.4	20	1.000	0.857	0	0.000	0.000	0.161	MISSED
M1_remove_field	v25_required_keys	v2.5	20	1.000	0.000	20	1.000	0.839	1.000	DETECTED
M1_remove_field	v25_type_strict	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M1_remove_field	v25_vocab_strict	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M1_remove_field	v25_regex_strict	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M1_remove_field	v25_na_sentinel_strict	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M2_type_violation	v24_identifier_stamp	v2.4	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M2_type_violation	schema_ground_truth	v2.4	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M2_type_violation	field_coverage_rate	v2.4	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M2_type_violation	v25_required_keys	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M2_type_violation	v25_type_strict	v2.5	20	1.000	0.000	20	1.000	0.839	1.000	DETECTED
M2_type_violation	v25_vocab_strict	v2.5	20	1.000	0.000	20	1.000	0.839	1.000	DETECTED
M2_type_violation	v25_regex_strict	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M2_type_violation	v25_na_sentinel_strict	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M3_vocab_violation	v24_identifier_stamp	v2.4	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M3_vocab_violation	schema_ground_truth	v2.4	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M3_vocab_violation	field_coverage_rate	v2.4	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M3_vocab_violation	v25_required_keys	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M3_vocab_violation	v25_type_strict	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M3_vocab_violation	v25_vocab_strict	v2.5	20	1.000	0.000	20	1.000	0.839	1.000	DETECTED
M3_vocab_violation	v25_regex_strict	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M3_vocab_violation	v25_na_sentinel_strict	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M4_regex_violation	v24_identifier_stamp	v2.4	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M4_regex_violation	schema_ground_truth	v2.4	20	1.000	0.000	20	1.000	0.839	1.000	DETECTED
M4_regex_violation	field_coverage_rate	v2.4	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M4_regex_violation	v25_required_keys	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M4_regex_violation	v25_type_strict	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M4_regex_violation	v25_vocab_strict	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M4_regex_violation	v25_regex_strict	v2.5	20	1.000	0.000	20	1.000	0.839	1.000	DETECTED
M4_regex_violation	v25_na_sentinel_strict	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M5_na_sentinel	v24_identifier_stamp	v2.4	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M5_na_sentinel	schema_ground_truth	v2.4	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M5_na_sentinel	field_coverage_rate	v2.4	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M5_na_sentinel	v25_required_keys	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M5_na_sentinel	v25_type_strict	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M5_na_sentinel	v25_vocab_strict	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M5_na_sentinel	v25_regex_strict	v2.5	20	1.000	1.000	0	0.000	0.000	0.161	MISSED
M5_na_sentinel	v25_na_sentinel_strict	v2.5	20	1.000	0.000	20	1.000	0.839	1.000	DETECTED
