channel	stack_axis	point_ratio	algo_eta2	stack_eta2	boot_lo	boot_hi	boot_median	boot_n	ci_excludes_1	ci_excludes_3
zvf	model_family	0.11654	0.04542	0.00529	0.00049	2.42122	0.13796	2000	False	False
zvf	task_slice	10.31950	0.04542	0.46869	3.33001	52.60909	8.48611	2000	True	True
zvf	G	9.76831	0.04542	0.44366	2.90803	43.52023	7.87668	2000	True	False
zvf	temperature	0.20153	0.04542	0.00915	0.00041	2.79132	0.18883	2000	False	False
zvf	seed	0.00053	0.04542	0.00002	0.00014	1.67713	0.08532	2000	False	False
reward	model_family	60.62701	0.00747	0.45267	5.61603	247.88270	21.51337	2000	True	True
reward	task_slice	36.54503	0.00747	0.27286	3.52392	184.14173	13.24010	2000	True	True
reward	G	4.07612	0.00747	0.03043	0.37145	40.94894	2.77363	2000	False	False
reward	temperature	0.00089	0.00747	0.00001	0.00037	5.89215	0.21905	2000	False	False
reward	seed	0.00105	0.00747	0.00001	0.00036	7.29980	0.22952	2000	False	False
len	model_family	4.76148	0.06314	0.30063	1.50672	16.71584	3.95623	2000	True	False
len	task_slice	3.32087	0.06314	0.20967	0.79207	12.26860	2.88376	2000	False	False
len	G	0.26970	0.06314	0.01703	0.08144	3.92638	0.68486	2000	False	False
len	temperature	3.27290	0.06314	0.20664	0.81464	11.77615	2.71685	2000	False	False
len	seed	0.00079	0.06314	0.00005	0.00008	0.94953	0.05979	2000	False	False
