method	seed	step	n_prompts	k_mean	item_13_step	item_14_step	item_15_step	item_16_step	item_17_step	p_hat	zvf_obs
aero	0	0	16	6.5625	0.6855190775040306	4.989233954451346	6	0.6875	0.1103515625	0.8203125	0.75
aero	0	1	16	6.625	0.3579935580634593	2.6153230417381357	5	0.5	0.06432291666666666	0.828125	0.5
aero	0	2	16	6.9375	0.7243380974422858	5.2903373962197495	5	0.75	0.09055989583333333	0.8671875	0.8125
aero	0	3	16	6.0	0.5832739851459965	4.511111111111112	5	0.5	0.12916666666666668	0.75	0.625
aero	0	4	16	7.125	0.4827221662273695	3.2559732664995824	4	0.6875	0.05182291666666667	0.890625	0.6875
aero	0	5	16	5.1875	0.6128072258111792	5.449692101740294	6	0.5	0.1837890625	0.6484375	0.625
aero	0	6	16	6.3125	0.7057852706068428	5.080039115022613	5	0.6875	0.12649739583333333	0.7890625	0.75
aero	0	7	16	6.0625	0.7896146907055419	5.944152532978605	5	0.625	0.15930989583333333	0.7578125	0.8125
aero	0	8	16	6.0	0.6527283209549971	4.333333333333333	4	0.625	0.125	0.75	0.6875
aero	0	9	16	6.8125	0.5680576333418333	4.302945436986962	5	0.6875	0.0837890625	0.8515625	0.6875
aero	0	10	16	6.875	0.37723939424232694	3.2580471380471376	5	0.5625	0.06432291666666666	0.859375	0.5625
aero	0	11	16	5.75	0.5962260261076754	5.224798711755233	6	0.5	0.15729166666666666	0.71875	0.625
aero	0	12	16	6.8125	0.6544461066734666	3.7755351681957188	4	0.75	0.07545572916666667	0.8515625	0.75
aero	0	13	16	5.4375	0.4105878339698126	3.6673768806653584	8	0.375	0.12701822916666666	0.6796875	0.4375
aero	0	14	16	7.125	0.5861777329818956	3.2559732664995824	5	0.75	0.05182291666666667	0.890625	0.75
aero	0	15	16	7.0625	0.6038453749224129	3.5863520157325466	5	0.75	0.059309895833333334	0.8828125	0.75
aero	0	16	16	5.75	0.5962260261076754	4.895008051529791	7	0.5	0.14895833333333333	0.71875	0.625
aero	0	17	16	6.3125	0.48512422356197493	2.9772154993277105	5	0.5625	0.08274739583333333	0.7890625	0.5625
aero	0	18	16	5.3125	0.5452287600507113	4.208718650250797	6	0.375	0.14524739583333332	0.6640625	0.5625
aero	0	19	16	6.125	0.5747932001614285	4.0967800453514736	7	0.5625	0.11432291666666666	0.765625	0.625
aero	0	20	16	7.0	0.5239118325918368	3.419047619047619	5	0.6875	0.06041666666666667	0.875	0.6875
aero	0	21	16	7.0	0.8095647330367347	6.466666666666667	4	0.8125	0.10208333333333333	0.875	0.875
aero	0	22	16	7.375	0.4773739443956107	2.4422598870056498	4	0.75	0.030989583333333334	0.921875	0.75
aero	0	23	16	7.3125	0.5123739617159355	4.032478632478632	4	0.75	0.0494140625	0.9140625	0.75
aero	0	24	16	7.375	0.608030458296708	4.524971751412429	4	0.8125	0.04973958333333333	0.921875	0.8125
aero	0	25	16	6.3125	0.6322315882585535	4.579366825571446	6	0.625	0.11608072916666666	0.7890625	0.6875
aero	0	26	16	6.75	0.6635857751818424	5.131358024691358	5	0.6875	0.10104166666666667	0.84375	0.75
aero	0	27	16	7.8125	0.6383507607373603	2.072	2	0.9375	0.0087890625	0.9765625	0.9375
aero	0	28	16	7.0625	0.6038453749224129	3.9085545722713864	5	0.75	0.0634765625	0.8828125	0.75
aero	0	29	16	7.5	0.6900420626299412	5.542222222222223	3	0.875	0.04791666666666667	0.9375	0.875
aero	0	30	16	7.5	0.5350630939449118	3.8355555555555556	3	0.8125	0.035416666666666666	0.9375	0.8125
aero	0	31	16	7.375	0.7386869721978053	5.913446327683616	3	0.8125	0.062239583333333334	0.921875	0.875
aero	0	32	16	7.0	0.6191294660734694	4.6380952380952385	5	0.75	0.07708333333333334	0.875	0.75
aero	0	33	16	7.0625	0.5048067186530161	2.9419469026548675	5	0.6875	0.0509765625	0.8828125	0.6875
aero	0	34	16	7.1875	0.7827882398044983	5.432820512820514	4	0.8125	0.07337239583333334	0.8984375	0.875
aero	0	35	16	6.6875	0.7537926576472138	5.771220887108737	4	0.6875	0.11608072916666666	0.8359375	0.8125
aero	0	36	16	7.1875	0.7827882398044983	5.067513935340021	4	0.8125	0.06920572916666666	0.8984375	0.875
aero	0	37	16	5.5625	0.7355321771558908	5.763238259867474	5	0.625	0.1791015625	0.6953125	0.75
aero	0	38	16	6.5625	0.6855190775040306	4.989233954451346	6	0.6875	0.1103515625	0.8203125	0.75
aero	0	39	16	6.375	0.7014557136015456	5.6799396681749625	5	0.6875	0.13515625	0.796875	0.75
gift	0	0	16	6.6875	0.6717235435296185	4.555970924195223	5	0.6875	0.09524739583333333	0.8359375	0.75
