method	check	status	detail
aero	stack.zvf_risk_mean_vs_tsv	PASS	stored=0.430051 tsv=0.430051
aero	stack.delta_vs_grpo_vs_recompute	PASS	stored=-0.147637 recomputed=-0.147637
aero	stack.sig_robust_bootstrap_vs_welch	SIG_DIVERGE	bootstrap_sig=True welch_sig=False
aero	delta.z130_vs_recompute	PASS	stored=-0.147637 recomputed=-0.147637
aero	crossref.delta_eq_stack	PASS	delta_entry=-0.147637 stack_entry=-0.147637
areal	stack.zvf_risk_mean_vs_tsv	PASS	stored=0.331921 tsv=0.331921
areal	stack.delta_vs_grpo_vs_recompute	PASS	stored=-0.245767 recomputed=-0.245767
areal	stack.sig_robust_bootstrap_vs_welch	PASS	bootstrap_sig=True welch_sig=True
areal	delta.z130_vs_recompute	PASS	stored=-0.245767 recomputed=-0.245767
areal	crossref.delta_eq_stack	PASS	delta_entry=-0.245767 stack_entry=-0.245767
cppo	stack.zvf_risk_mean_vs_tsv	PASS	stored=0.426611 tsv=0.426611
cppo	stack.delta_vs_grpo_vs_recompute	PASS	stored=-0.151077 recomputed=-0.151077
cppo	stack.sig_robust_bootstrap_vs_welch	PASS	bootstrap_sig=True welch_sig=True
cppo	delta.z130_vs_recompute	PASS	stored=-0.151077 recomputed=-0.151077
cppo	crossref.delta_eq_stack	PASS	delta_entry=-0.151077 stack_entry=-0.151077
es	stack.zvf_risk_mean_vs_tsv	PASS	stored=0.30511 tsv=0.30511
es	stack.delta_vs_grpo_vs_recompute	PASS	stored=-0.272578 recomputed=-0.272578
es	stack.sig_robust_bootstrap_vs_welch	PASS	bootstrap_sig=True welch_sig=True
es	delta.z130_vs_recompute	PASS	stored=-0.272578 recomputed=-0.272578
es	crossref.delta_eq_stack	PASS	delta_entry=-0.272578 stack_entry=-0.272578
gift	stack.zvf_risk_mean_vs_tsv	PASS	stored=0.314501 tsv=0.314501
gift	stack.delta_vs_grpo_vs_recompute	PASS	stored=-0.263187 recomputed=-0.263187
gift	stack.sig_robust_bootstrap_vs_welch	PASS	bootstrap_sig=True welch_sig=True
gift	delta.z130_vs_recompute	PASS	stored=-0.263187 recomputed=-0.263187
gift	crossref.delta_eq_stack	PASS	delta_entry=-0.263187 stack_entry=-0.263187
grpo	stack.zvf_risk_mean_vs_tsv	PASS	stored=0.577688 tsv=0.577688
grpo	stack.delta_vs_grpo_vs_recompute	PASS	stored=0.0 recomputed=0.0
mcgrpo	stack.zvf_risk_mean_vs_tsv	PASS	stored=0.403411 tsv=0.403411
mcgrpo	stack.delta_vs_grpo_vs_recompute	PASS	stored=-0.174277 recomputed=-0.174277
mcgrpo	stack.sig_robust_bootstrap_vs_welch	PASS	bootstrap_sig=True welch_sig=True
mcgrpo	delta.z130_vs_recompute	PASS	stored=-0.174277 recomputed=-0.174277
mcgrpo	crossref.delta_eq_stack	PASS	delta_entry=-0.174277 stack_entry=-0.174277
ngrpo	stack.zvf_risk_mean_vs_tsv	PASS	stored=0.446663 tsv=0.446663
ngrpo	stack.delta_vs_grpo_vs_recompute	PASS	stored=-0.131025 recomputed=-0.131025
ngrpo	stack.sig_robust_bootstrap_vs_welch	SIG_DIVERGE	bootstrap_sig=True welch_sig=False
ngrpo	delta.z130_vs_recompute	PASS	stored=-0.131025 recomputed=-0.131025
ngrpo	crossref.delta_eq_stack	PASS	delta_entry=-0.131025 stack_entry=-0.131025
scafgrpo	stack.zvf_risk_mean_vs_tsv	PASS	stored=0.225327 tsv=0.225327
scafgrpo	stack.delta_vs_grpo_vs_recompute	PASS	stored=-0.352361 recomputed=-0.352361
scafgrpo	stack.sig_robust_bootstrap_vs_welch	PASS	bootstrap_sig=True welch_sig=True
scafgrpo	delta.z130_vs_recompute	PASS	stored=-0.352361 recomputed=-0.352361
scafgrpo	crossref.delta_eq_stack	PASS	delta_entry=-0.352361 stack_entry=-0.352361
