delta_id	component	stack_id	framework	openness	label_claimed	status
delta_aero	advantage_guided_evolution	colab-open_dapo_e3	colab-open-trainer	open	dapo	not_applicable
delta_aero	advantage_guided_evolution	colab-open_drgrpo_e3	colab-open-trainer	open	drgrpo	not_applicable
delta_aero	advantage_guided_evolution	colab-open_grpo-adaptiveg_e3	colab-open-trainer	open	grpo	not_applicable
delta_aero	advantage_guided_evolution	colab-open_grpo_e3	colab-open-trainer	open	grpo	not_applicable
delta_aero	advantage_guided_evolution	openrlhf_grpo_qwen3-8b_gsm8k	openrlhf	open	grpo	not_applicable
delta_aero	advantage_guided_evolution	tinker_aero_qwen3.5-4b_gsm8k	tinker	managed	aero	implemented
delta_aero	advantage_guided_evolution	tinker_areal_qwen3.5-4b_gsm8k	tinker	managed	areal	not_applicable
delta_aero	advantage_guided_evolution	tinker_dapo_qwen3.5-4b_gsm8k	tinker	managed	dapo	not_applicable
delta_aero	advantage_guided_evolution	tinker_drgrpo_qwen3.5-4b_gsm8k	tinker	managed	drgrpo	not_applicable
delta_aero	advantage_guided_evolution	tinker_gift_qwen3.5-4b_gsm8k	tinker	managed	gift	not_applicable
delta_aero	advantage_guided_evolution	tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	not_applicable
delta_aero	advantage_guided_evolution	tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	not_applicable
delta_aero	advantage_guided_evolution	tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	not_applicable
delta_aero	advantage_guided_evolution	trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	not_applicable
delta_aero	advantage_guided_evolution	verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	not_applicable
delta_aero	advantage_guided_evolution	zvf130_cppo	worktree-zvf130-batch	open	cppo	not_applicable
delta_aero	advantage_guided_evolution	zvf130_es	worktree-zvf130-batch	open	es	not_applicable
delta_aero	advantage_guided_evolution	zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	not_applicable
delta_aero	advantage_guided_evolution	zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	not_applicable
delta_aero	advantage_guided_evolution	zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	not_applicable
delta_areal	autoscaling_Rollout	colab-open_dapo_e3	colab-open-trainer	open	dapo	not_applicable
delta_areal	autoscaling_Rollout	colab-open_drgrpo_e3	colab-open-trainer	open	drgrpo	not_applicable
delta_areal	autoscaling_Rollout	colab-open_grpo-adaptiveg_e3	colab-open-trainer	open	grpo	not_applicable
delta_areal	autoscaling_Rollout	colab-open_grpo_e3	colab-open-trainer	open	grpo	not_applicable
delta_areal	autoscaling_Rollout	openrlhf_grpo_qwen3-8b_gsm8k	openrlhf	open	grpo	not_applicable
delta_areal	autoscaling_Rollout	tinker_aero_qwen3.5-4b_gsm8k	tinker	managed	aero	not_applicable
delta_areal	autoscaling_Rollout	tinker_areal_qwen3.5-4b_gsm8k	tinker	managed	areal	implemented
delta_areal	autoscaling_Rollout	tinker_dapo_qwen3.5-4b_gsm8k	tinker	managed	dapo	not_applicable
delta_areal	autoscaling_Rollout	tinker_drgrpo_qwen3.5-4b_gsm8k	tinker	managed	drgrpo	not_applicable
delta_areal	autoscaling_Rollout	tinker_gift_qwen3.5-4b_gsm8k	tinker	managed	gift	not_applicable
delta_areal	autoscaling_Rollout	tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	not_applicable
delta_areal	autoscaling_Rollout	tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	not_applicable
delta_areal	autoscaling_Rollout	tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	not_applicable
delta_areal	autoscaling_Rollout	trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	not_applicable
delta_areal	autoscaling_Rollout	verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	not_applicable
delta_areal	autoscaling_Rollout	zvf130_cppo	worktree-zvf130-batch	open	cppo	not_applicable
delta_areal	autoscaling_Rollout	zvf130_es	worktree-zvf130-batch	open	es	not_applicable
delta_areal	autoscaling_Rollout	zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	not_applicable
delta_areal	autoscaling_Rollout	zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	not_applicable
delta_areal	autoscaling_Rollout	zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	not_applicable
delta_cppo	continuity_penalty	colab-open_dapo_e3	colab-open-trainer	open	dapo	not_applicable
delta_cppo	continuity_penalty	colab-open_drgrpo_e3	colab-open-trainer	open	drgrpo	not_applicable
delta_cppo	continuity_penalty	colab-open_grpo-adaptiveg_e3	colab-open-trainer	open	grpo	not_applicable
delta_cppo	continuity_penalty	colab-open_grpo_e3	colab-open-trainer	open	grpo	not_applicable
delta_cppo	continuity_penalty	openrlhf_grpo_qwen3-8b_gsm8k	openrlhf	open	grpo	not_applicable
delta_cppo	continuity_penalty	tinker_aero_qwen3.5-4b_gsm8k	tinker	managed	aero	not_applicable
delta_cppo	continuity_penalty	tinker_areal_qwen3.5-4b_gsm8k	tinker	managed	areal	not_applicable
delta_cppo	continuity_penalty	tinker_dapo_qwen3.5-4b_gsm8k	tinker	managed	dapo	not_applicable
delta_cppo	continuity_penalty	tinker_drgrpo_qwen3.5-4b_gsm8k	tinker	managed	drgrpo	not_applicable
delta_cppo	continuity_penalty	tinker_gift_qwen3.5-4b_gsm8k	tinker	managed	gift	not_applicable
delta_cppo	continuity_penalty	tinker_grpo_qwen3-8b_gsm8k	tinker	managed	grpo	not_applicable
delta_cppo	continuity_penalty	tinker_grpo_qwen3.5-4b_gsm8k	tinker	managed	grpo	not_applicable
delta_cppo	continuity_penalty	tinker_gspo_qwen3.5-4b_gsm8k	tinker	managed	gspo	not_applicable
delta_cppo	continuity_penalty	trl_grpo_qwen3-8b_gsm8k	trl	open	grpo	not_applicable
delta_cppo	continuity_penalty	verl_grpo_qwen3-8b_gsm8k	verl	open	grpo	not_applicable
delta_cppo	continuity_penalty	zvf130_cppo	worktree-zvf130-batch	open	cppo	unknown
delta_cppo	continuity_penalty	zvf130_es	worktree-zvf130-batch	open	es	not_applicable
delta_cppo	continuity_penalty	zvf130_mcgrpo	worktree-zvf130-batch	open	mcgrpo	not_applicable
delta_cppo	continuity_penalty	zvf130_ngrpo	worktree-zvf130-batch	open	ngrpo	not_applicable
delta_cppo	continuity_penalty	zvf130_scafgrpo	worktree-zvf130-batch	open	scafgrpo	not_applicable
delta_dapo	clip_higher	colab-open_dapo_e3	colab-open-trainer	open	dapo	implemented
delta_dapo	clip_higher	colab-open_drgrpo_e3	colab-open-trainer	open	drgrpo	not_applicable
delta_dapo	clip_higher	colab-open_grpo-adaptiveg_e3	colab-open-trainer	open	grpo	not_applicable
delta_dapo	clip_higher	colab-open_grpo_e3	colab-open-trainer	open	grpo	not_applicable
