variant	metric	point	ci_lo	ci_hi	n	sig
aero	zvf	0.000000	-0.023438	0.023438	40	0
aero	reward_mean	-0.006641	-0.016406	0.003125	40	0
aero	frac_all_zero	0.000000	-0.015625	0.014063	40	0
aero	frac_all_one	0.000000	-0.021875	0.020313	40	0
aero	mean_len	14.163086	9.890234	18.526953	40	1
aero	cv_len	-0.013367	-0.020218	-0.006865	40	1
aero	pcd	0.002002	-0.002563	0.006592	40	0
aero	larq	-0.002637	-0.011670	0.007129	40	0
aero	loss	-46.206040	-118.635909	28.444006	40	0
gift	zvf	0.050000	0.020313	0.079687	40	1
gift	reward_mean	0.010547	0.000391	0.021094	40	1
gift	frac_all_zero	0.006250	-0.009375	0.020313	40	0
gift	frac_all_one	0.043750	0.017188	0.070312	40	1
gift	mean_len	-0.741992	-3.287891	1.772852	40	0
gift	cv_len	-0.000756	-0.005829	0.004401	40	0
gift	pcd	-0.007812	-0.012378	-0.002905	40	1
gift	larq	-0.005078	-0.016113	0.006152	40	0
gift	loss	-17875.013740	-18412.709266	-17334.912206	40	1
areal	zvf	-0.014063	-0.042188	0.012500	40	0
areal	reward_mean	-0.005469	-0.014063	0.002539	40	0
areal	frac_all_zero	0.006250	-0.009375	0.021875	40	0
areal	frac_all_one	-0.020313	-0.046875	0.003125	40	0
areal	mean_len	14.604883	10.492969	18.783203	40	1
areal	cv_len	-0.018232	-0.023815	-0.012953	40	1
areal	pcd	0.002344	-0.001782	0.006421	40	0
areal	larq	-0.000781	-0.010742	0.009375	40	0
areal	loss	-6.300549	-62.965102	52.210851	40	0
