entry_id	layer	field	value	ok	note
delta_adaptiveg	citation	citation.bibkey	tinker2026adaptiveg	PASS	
delta_adaptiveg	source_path	measured[0].source	experiments/results/quick_20260704/qp7_adaptive.tsv	PASS	
delta_adaptiveg	source_path	measured[1].source	experiments/results/quick_20260704/qp7_adaptive.tsv	PASS	
delta_aero	citation	citation.bibkey	le2025rlzvp	PASS	
delta_aero	source_path	measured[0].source	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	PASS	
delta_aero	source_path	measured[1].source	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	PASS	
delta_aero	source_path	measured[2].source	experiments/results/zvf_iter130_method_risk.tsv	PASS	
delta_aero	source_path	measured[3].source	experiments/results/zvf_iter130_risk_index.tsv	PASS	
delta_aero	source_path	measured[4].source	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	PASS	
delta_aero	source_path	measured[5].source	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	PASS	
delta_areal	citation	citation.bibkey	areal2025	PASS	
delta_areal	source_path	measured[0].source	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	PASS	
delta_areal	source_path	measured[1].source	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	PASS	
delta_areal	source_path	measured[2].source	experiments/results/zvf_iter130_method_risk.tsv	PASS	
delta_areal	source_path	measured[3].source	experiments/results/zvf_iter130_risk_index.tsv	PASS	
delta_areal	source_path	measured[4].source	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	PASS	
delta_areal	source_path	measured[5].source	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	PASS	
delta_cppo	citation	citation.bibkey	lin2025cppo	PASS	
delta_cppo	source_path	measured[0].source	experiments/results/zvf_iter130_method_risk.tsv	PASS	
delta_cppo	source_path	measured[1].source	experiments/results/zvf_iter130_risk_index.tsv	PASS	
delta_cppo	source_path	measured[2].source	experiments/results/zvf_iter130_method_risk.tsv	PASS	
delta_dapo	citation	citation.bibkey	yu2025dapo	PASS	
delta_drgrpo	citation	citation.bibkey	tong2025drgrpo	PASS	
delta_drgrpo	source_path	measured[0].source	experiments/results/length_bias_iter60_grpo_vs_drgrpo.tsv	PASS	
delta_drgrpo	source_path	measured[1].source	experiments/results/length_bias_iter60_grpo_vs_drgrpo.tsv	PASS	
delta_drgrpo	source_path	measured[2].source	experiments/results/length_bias_iter60_grpo_vs_drgrpo.tsv	PASS	
delta_es	citation	citation.bibkey	es2025	PASS	
delta_es	source_path	measured[0].source	experiments/results/zvf_iter130_method_risk.tsv	PASS	
delta_es	source_path	measured[1].source	experiments/results/zvf_iter130_risk_index.tsv	PASS	
delta_es	source_path	measured[2].source	experiments/results/zvf_iter130_method_risk.tsv	PASS	
delta_gift	citation	citation.bibkey	gift2025	PASS	
delta_gift	source_path	measured[0].source	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	PASS	
delta_gift	source_path	measured[1].source	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	PASS	
delta_gift	source_path	measured[2].source	experiments/results/zvf_iter130_method_risk.tsv	PASS	
delta_gift	source_path	measured[3].source	experiments/results/zvf_iter130_risk_index.tsv	PASS	
delta_gift	source_path	measured[4].source	experiments/results/n2_reward_tensor_resume/n2_metrics.tsv	PASS	
