entry	metric	panel	stored_delta	fresh_delta	abs_diff_point	point_match_within_1e-6	stored_ci_low	stored_ci_high	fresh_ci_low	fresh_ci_high	stored_ci_width	fresh_ci_width	width_abs_diff	width_rel_diff	ci_width_match_within_5pct	stored_direction	fresh_direction	direction_match	n_steps	boot_B	boot_seed
aero	zvf	n2_same_stack_last10	-0.025	-0.025	0.0	True	-0.0625	0.0125	-0.0625	0.0125	0.075	0.075	0.0	0.0	True	covers_zero	covers_zero	True	10	2000	20260704
aero	reward_mean	n2_same_stack_last10	-0.014063	-0.0140625	5.000000000005e-07	True	-0.023438	-0.005469	-0.0234375	-0.00546875	0.017969	0.01796875	2.5000000000025e-07	1.4e-05	True	negative	negative	True	10	2000	20260704
aero	pcd	n2_same_stack_last10	0.00293	0.0029296875	3.1249999999987885e-07	True	-0.002441	0.008984	-0.0025390625	0.00888671875	0.011425000000000001	0.01142578125	7.812499999981792e-07	6.8e-05	True	covers_zero	covers_zero	True	10	2000	20260704
aero	mean_len	n2_same_stack_last10	31.077344	31.07734375	2.499999993688107e-07	True	27.384375	35.092969	27.4828125	34.984375	7.708593999999998	7.501562499999999	0.20703149999999937	0.027598	True	positive	positive	True	10	2000	20260704
gift	zvf	n2_same_stack_last10	0.125	0.125	0.0	True	0.08125	0.175	0.08125	0.175	0.09374999999999999	0.09374999999999999	0.0	0.0	True	positive	positive	True	10	2000	20260704
gift	reward_mean	n2_same_stack_last10	0.016406	0.01640625	2.5000000000025e-07	True	-0.007031	0.039844	-0.00703125	0.03984375	0.046875	0.046875	0.0	0.0	True	covers_zero	covers_zero	True	10	2000	20260704
gift	pcd	n2_same_stack_last10	-0.018457	-0.01845703125	3.124999999742917e-08	True	-0.026172	-0.010352	-0.0267578125	-0.01064453125	0.01582	0.01611328125	0.00029328124999999927	0.018201	True	negative	negative	True	10	2000	20260704
gift	mean_len	n2_same_stack_last10	-3.889063	-3.8890625	5.00000000069889e-07	True	-10.63125	3.10625	-10.509375	2.52265625	13.7375	13.03203125	0.7054687500000014	0.054133	False	covers_zero	covers_zero	True	10	2000	20260704
areal	zvf	n2_same_stack_last10	-0.05625	-0.05625	0.0	True	-0.1125	0.00625	-0.1125	0.00625	0.11875000000000001	0.11875000000000001	0.0	0.0	True	covers_zero	covers_zero	True	10	2000	20260704
areal	reward_mean	n2_same_stack_last10	-0.019531	-0.01953125	2.5000000000025e-07	True	-0.032031	-0.007812	-0.03203125	-0.0078125	0.024218999999999997	0.024218749999999997	2.5000000000025e-07	1e-05	True	negative	negative	True	10	2000	20260704
areal	pcd	n2_same_stack_last10	0.007324	0.00732421875	2.1875000000021877e-07	True	-0.000781	0.014551	-0.00146484375	0.0146484375	0.015332	0.01611328125	0.0007812812499999999	0.048487	True	covers_zero	covers_zero	True	10	2000	20260704
areal	mean_len	n2_same_stack_last10	30.125781	30.12578125	2.499999993688107e-07	True	25.170313	34.602344	25.5171875	34.7984375	9.432031000000002	9.28125	0.15078100000000205	0.016246	True	positive	positive	True	10	2000	20260704
