entry_id	leaf_pct	items_full	items_partial	items_zero	items_absent	item_loss_form	item_reference_kl	item_sampler_backend	item_telemetry	item_group_size_schedule	item_heldout_split	item_decontamination
colab-open_dapo_e3	96	6	1	0	0	100	100	75	100	100	100	100
colab-open_drgrpo_e3	96	6	1	0	0	100	100	75	100	100	100	100
colab-open_grpo-adaptiveg_e3	96	6	1	0	0	100	100	75	100	100	100	100
colab-open_grpo_e3	96	6	1	0	0	100	100	75	100	100	100	100
openrlhf_grpo_qwen3-8b_gsm8k	57	4	1	2	0	17	100	100	0	100	100	0
tinker_aero_qwen3.5-4b_gsm8k	65	4	2	1	0	33	33	100	100	100	100	0
tinker_areal_qwen3.5-4b_gsm8k	65	4	2	1	0	33	33	100	100	100	100	0
tinker_dapo_qwen3.5-4b_gsm8k	65	3	3	1	0	56	33	100	100	67	100	0
tinker_drgrpo_qwen3.5-4b_gsm8k	61	3	3	1	0	33	33	100	100	67	100	0
tinker_gift_qwen3.5-4b_gsm8k	67	4	2	1	0	43	33	100	100	100	100	0
tinker_grpo_qwen3-8b_gsm8k	57	4	1	2	0	0	33	100	100	100	100	0
tinker_grpo_qwen3.5-4b_gsm8k	52	3	2	2	0	0	33	100	100	67	100	0
tinker_gspo_qwen3.5-4b_gsm8k	58	3	3	1	0	29	33	100	100	67	100	0
trl_grpo_qwen3-8b_gsm8k	70	5	1	1	0	17	100	100	100	100	100	0
verl_grpo_qwen3-8b_gsm8k	57	4	1	2	0	17	100	100	0	100	100	0
wandb_ppo_reinforce_llama318b-inst_gsm8k	52	1	5	1	0	50	33	50	100	67	50	0
wandb_ppo_reinforce_qwen38b_gsm8k	52	1	5	1	0	50	33	50	100	67	50	0
zvf130_aero	39	3	0	4	0	0	0	100	100	0	100	0
zvf130_areal	39	3	0	4	0	0	0	100	100	0	100	0
zvf130_cppo	39	3	0	4	0	0	0	100	100	0	100	0
zvf130_es	39	3	0	4	0	0	0	100	100	0	100	0
zvf130_gift	39	3	0	4	0	0	0	100	100	0	100	0
zvf130_grpo	39	3	0	4	0	0	0	100	100	0	100	0
zvf130_mcgrpo	39	3	0	4	0	0	0	100	100	0	100	0
zvf130_ngrpo	39	3	0	4	0	0	0	100	100	0	100	0
zvf130_scafgrpo	39	3	0	4	0	0	0	100	100	0	100	0
zvf130_tool_use_llama-8b-inst	39	3	0	4	0	0	0	100	100	0	100	0
zvf130_tool_use_qwen3-32b	39	3	0	4	0	0	0	100	100	0	100	0
