entry_id	valid	n_errors	errors
colab-open_dapo_e3	yes	0	
colab-open_drgrpo_e3	yes	0	
colab-open_grpo-adaptiveg_e3	yes	0	
colab-open_grpo_e3	yes	0	
delta_adaptiveg	yes	0	
delta_aero	yes	0	
delta_areal	yes	0	
delta_cppo	yes	0	
delta_dapo	yes	0	
delta_drgrpo	yes	0	
delta_es	yes	0	
delta_gift	yes	0	
delta_gspo	yes	0	
delta_liteppo	yes	0	
delta_mcgrpo	yes	0	
delta_ngrpo	yes	0	
delta_ppo	yes	0	
delta_ppo_reinforce	yes	0	
delta_reinforce	yes	0	
delta_scafgrpo	yes	0	
delta_tool_use_llama-8b-inst	yes	0	
delta_tool_use_qwen3-32b	yes	0	
openrlhf_grpo_qwen3-8b_gsm8k	yes	0	
tinker_aero_qwen3.5-4b_gsm8k	yes	0	
tinker_areal_qwen3.5-4b_gsm8k	yes	0	
tinker_dapo_qwen3.5-4b_gsm8k	yes	0	
tinker_drgrpo_qwen3.5-4b_gsm8k	yes	0	
tinker_gift_qwen3.5-4b_gsm8k	yes	0	
tinker_grpo_qwen3-8b_gsm8k	yes	0	
tinker_grpo_qwen3.5-4b_gsm8k	yes	0	
tinker_gspo_qwen3.5-4b_gsm8k	yes	0	
trl_grpo_qwen3-8b_gsm8k	yes	0	
verl_grpo_qwen3-8b_gsm8k	yes	0	
wandb_ppo_reinforce_llama318b-inst_gsm8k	yes	0	
wandb_ppo_reinforce_qwen38b_gsm8k	yes	0	
zvf130_aero	yes	0	
zvf130_areal	yes	0	
zvf130_cppo	yes	0	
zvf130_es	yes	0	
zvf130_gift	yes	0	
zvf130_grpo	yes	0	
zvf130_mcgrpo	yes	0	
zvf130_ngrpo	yes	0	
zvf130_scafgrpo	yes	0	
zvf130_tool_use_llama-8b-inst	yes	0	
zvf130_tool_use_qwen3-32b	yes	0	
