entry_id	label_claimed	framework	badge	cluster_mean_disagree
colab-open_dapo_e3	dapo	colab-open-trainer	1.0	0.3077
tinker_dapo_qwen3.5-4b_gsm8k	dapo	tinker	0.8571	0.3077
colab-open_drgrpo_e3	drgrpo	colab-open-trainer	1.0	0.3077
tinker_drgrpo_qwen3.5-4b_gsm8k	drgrpo	tinker	0.8571	0.3077
colab-open_grpo-adaptiveg_e3	grpo	colab-open-trainer	1.0	0.3667
colab-open_grpo_e3	grpo	colab-open-trainer	1.0	0.3667
openrlhf_grpo_qwen3-8b_gsm8k	grpo	openrlhf	0.7143	0.3667
tinker_grpo_qwen3-8b_gsm8k	grpo	tinker	0.7143	0.3667
tinker_grpo_qwen3.5-4b_gsm8k	grpo	tinker	0.7143	0.3667
trl_grpo_qwen3-8b_gsm8k	grpo	trl	0.8571	0.3667
verl_grpo_qwen3-8b_gsm8k	grpo	verl	0.7143	0.3667
zvf130_grpo	grpo	worktree-zvf130-batch	0.4286	0.3667
tinker_aero_qwen3.5-4b_gsm8k	aero	tinker	0.8571	0.3333
zvf130_aero	aero	worktree-zvf130-batch	0.4286	0.3333
tinker_areal_qwen3.5-4b_gsm8k	areal	tinker	0.8571	0.3333
zvf130_areal	areal	worktree-zvf130-batch	0.4286	0.3333
tinker_gift_qwen3.5-4b_gsm8k	gift	tinker	0.8571	0.3333
zvf130_gift	gift	worktree-zvf130-batch	0.4286	0.3333
