item	sub_field	p5_n	p5_pop	p5_pop_rate	p6_n	p6_pop	p6_pop_rate	delta_null_p6_minus_p5
loss_form	importance_ratio_level	98	0	0.0	20	11	0.55	-0.55
loss_form	clip_eps_low	98	0	0.0	20	5	0.25	-0.25
loss_form	clip_eps_high	98	0	0.0	20	5	0.25	-0.25
loss_form	length_normalization	98	0	0.0	20	3	0.15	-0.15
loss_form	advantage_normalization	98	0	0.0	20	8	0.4	-0.4
loss_form	token_mask	98	0	0.0	20	4	0.2	-0.2
reference_kl	reference_policy	98	0	0.0	20	11	0.55	-0.55
reference_kl	kl_beta	98	0	0.0	20	7	0.35	-0.35
reference_kl	kl_estimator	98	0	0.0	20	7	0.35	-0.35
sampler_backend	backend	98	0	0.0	20	20	1.0	-1.0
sampler_backend	precision	98	0	0.0	20	16	0.8	-0.8
sampler_backend	temperature	98	0	0.0	20	20	1.0	-1.0
sampler_backend	top_p	98	0	0.0	20	20	1.0	-1.0
telemetry	per_step_zvf	98	0	0.0	20	18	0.9	-0.9
telemetry	per_step_gu	98	0	0.0	20	18	0.9	-0.9
telemetry	source	98	0	0.0	20	18	0.9	-0.9
group_size_schedule	initial_g	98	0	0.0	20	11	0.55	-0.55
group_size_schedule	schedule	98	0	0.0	20	15	0.75	-0.75
group_size_schedule	adaptation_rule	98	0	0.0	20	15	0.75	-0.75
heldout_split	disjoint_from_reward_env	98	0	0.0	20	20	1.0	-1.0
heldout_split	description	98	0	0.0	20	20	1.0	-1.0
decontamination	performed	98	0	0.0	20	0	0.0	0.0
decontamination	parser_robustness_probe	98	0	0.0	20	0	0.0	0.0
