method	step	group_size	reward_mean	zvf_obs	zvf_iid	delta_div	y_obs	y_iid	p_mean
grpo	0	8	0.8125	0.6875	0.77966	0.09216	0.3125	0.22034	0.8125
grpo	1	8	0.820312	0.5	0.578408	0.078408	0.5	0.421592	0.820312
grpo	2	8	0.828125	0.6875	0.743455	0.055955	0.3125	0.256545	0.828125
grpo	3	8	0.796875	0.75	0.805467	0.055467	0.25	0.194533	0.796875
grpo	4	8	0.804688	0.6875	0.728238	0.040738	0.3125	0.271762	0.804688
grpo	5	8	0.6875	0.6875	0.737686	0.050186	0.3125	0.262314	0.6875
grpo	6	8	0.796875	0.8125	0.841713	0.029213	0.1875	0.158287	0.796875
grpo	7	8	0.710938	0.6875	0.758673	0.071173	0.3125	0.241327	0.710938
grpo	8	8	0.726562	0.5625	0.642402	0.079902	0.4375	0.357598	0.726562
grpo	9	8	0.882812	0.6875	0.744447	0.056947	0.3125	0.255553	0.882812
grpo	10	8	0.882812	0.6875	0.744447	0.056947	0.3125	0.255553	0.882812
grpo	11	8	0.71875	0.6875	0.737686	0.050186	0.3125	0.262314	0.71875
grpo	12	8	0.945312	0.8125	0.826496	0.013996	0.1875	0.173504	0.945312
grpo	13	8	0.742188	0.5625	0.656628	0.094128	0.4375	0.343372	0.742188
grpo	14	8	0.875	0.75	0.799697	0.049697	0.25	0.200303	0.875
grpo	15	8	0.851562	0.75	0.774923	0.024923	0.25	0.225077	0.851562
grpo	16	8	0.734375	0.625	0.66343	0.03843	0.375	0.33657	0.734375
grpo	17	8	0.84375	0.5	0.585169	0.085169	0.5	0.414831	0.84375
grpo	18	8	0.648438	0.5625	0.586201	0.023701	0.4375	0.413799	0.648438
grpo	19	8	0.78125	0.625	0.713862	0.088862	0.375	0.286138	0.78125
grpo	20	8	0.828125	0.625	0.667218	0.042218	0.375	0.332782	0.828125
grpo	21	8	0.859375	0.75	0.79591	0.04591	0.25	0.20409	0.859375
grpo	22	8	0.882812	0.75	0.780693	0.030693	0.25	0.219307	0.882812
grpo	23	8	0.882812	0.875	0.902734	0.027734	0.125	0.097266	0.882812
grpo	24	8	0.929688	0.8125	0.876927	0.064427	0.1875	0.123073	0.929688
