controller	threshold	fires_mean	saved_mean	saved_lo	saved_hi	wasted_mean	rollouts_mean	cost_ratio_mean
zvf_triage	0.5	40	466.75	454.25	485	0	10240	2.0
zvf_triage	0.6	34.75	421	398.75	451.75	0	9568	1.869
zvf_triage	0.7	20.5	269.5	230.25	325.75	0	7744	1.512
zvf_triage	0.8	13.5	185.5	155.5	223.5	0	6848	1.337
zvf_triage	0.9	3	45.25	15	94.5	0	5504	1.075
dualformer_auto	point	640	36	34	38	430.75	3361.5	0.657
bayesian	0.1	466.75	466.75	454.25	485	0	8854	1.729
bayesian	0.2	466.75	466.75	454.25	485	0	8854	1.729
bayesian	0.3	466.75	466.75	454.25	485	0	8854	1.729
bayesian	0.4	466.75	466.75	454.25	485	0	8854	1.729
bayesian	0.5	466.75	466.75	454.25	485	0	8854	1.729
bayesian	0.55	466.75	466.75	454.25	485	0	8854	1.729
bayesian	0.6	466.75	466.75	454.25	485	0	8854	1.729
bayesian	0.65	0	0	0	0	466.75	5120	1.0
bayesian	0.7	0	0	0	0	466.75	5120	1.0
bayesian	0.85	0	0	0	0	466.75	5120	1.0
bayesian	0.95	0	0	0	0	466.75	5120	1.0
oracle	midrange	173.25	0	0	0	466.75	6506	1.271
