method	step	prompt_idx	k_actual	zvf_actual	is_boundary	is_contrast	g_actual	g_per_prompt	g_oracle	restore_at_g_esc	restore_at_g_des
aero	0	0	8	1.0	1	0	8	4	8	0.0	0.0
aero	0	1	5	0.0	0	1	8	16	2	1.0	0.82
aero	0	2	8	1.0	1	0	8	4	8	0.0	0.0
aero	0	3	8	1.0	1	0	8	4	8	0.0	0.0
aero	0	4	8	1.0	1	0	8	4	8	0.0	0.0
aero	0	5	8	1.0	1	0	8	4	8	0.0	0.0
aero	0	6	8	1.0	1	0	8	4	8	0.0	0.0
aero	0	7	7	0.0	0	1	8	16	2	0.891	0.414
aero	0	8	8	1.0	1	0	8	4	8	0.0	0.0
aero	0	9	1	0.0	0	1	8	16	2	0.922	0.406
aero	0	10	7	0.0	0	1	8	16	2	0.898	0.43
aero	0	11	1	0.0	0	1	8	16	2	0.914	0.43
aero	0	12	8	1.0	1	0	8	4	8	0.0	0.0
aero	0	13	8	1.0	1	0	8	4	8	0.0	0.0
aero	0	14	0	1.0	1	0	8	4	8	0.0	0.0
aero	0	15	8	1.0	1	0	8	4	8	0.0	0.0
aero	1	0	5	0.0	0	1	8	16	2	1.0	0.828
aero	1	1	5	0.0	0	1	8	16	2	1.0	0.836
aero	1	2	4	0.0	0	1	8	16	2	1.0	0.875
aero	1	3	8	1.0	1	0	8	4	8	0.0	0.0
aero	1	4	8	1.0	1	0	8	4	8	0.0	0.0
aero	1	5	8	1.0	1	0	8	4	8	0.0	0.0
aero	1	6	8	1.0	1	0	8	4	8	0.0	0.0
aero	1	7	8	1.0	1	0	8	4	8	0.0	0.0
aero	1	8	8	1.0	1	0	8	4	8	0.0	0.0
aero	1	9	5	0.0	0	1	8	16	2	0.992	0.797
aero	1	10	8	1.0	1	0	8	4	8	0.0	0.0
aero	1	11	8	1.0	1	0	8	4	8	0.0	0.0
aero	1	12	8	1.0	1	0	8	4	8	0.0	0.0
aero	1	13	6	0.0	0	1	8	16	2	0.992	0.664
aero	1	14	8	1.0	1	0	8	4	8	0.0	0.0
aero	1	15	0	1.0	1	0	8	4	8	0.0	0.0
aero	2	0	8	1.0	1	0	8	4	8	0.0	0.0
aero	2	1	8	1.0	1	0	8	4	8	0.0	0.0
aero	2	2	8	1.0	1	0	8	4	8	0.0	0.0
aero	2	3	8	1.0	1	0	8	4	8	0.0	0.0
aero	2	4	7	0.0	0	1	8	16	2	0.891	0.383
aero	2	5	7	0.0	0	1	8	16	2	0.859	0.414
aero	2	6	0	1.0	1	0	8	4	8	0.0	0.0
aero	2	7	8	1.0	1	0	8	4	8	0.0	0.0
aero	2	8	8	1.0	1	0	8	4	8	0.0	0.0
aero	2	9	1	0.0	0	1	8	16	2	0.852	0.375
aero	2	10	8	1.0	1	0	8	4	8	0.0	0.0
aero	2	11	8	1.0	1	0	8	4	8	0.0	0.0
aero	2	12	8	1.0	1	0	8	4	8	0.0	0.0
aero	2	13	8	1.0	1	0	8	4	8	0.0	0.0
aero	2	14	8	1.0	1	0	8	4	8	0.0	0.0
aero	2	15	8	1.0	1	0	8	4	8	0.0	0.0
aero	3	0	5	0.0	0	1	8	16	2	1.0	0.805
aero	3	1	8	1.0	1	0	8	4	8	0.0	0.0
aero	3	2	8	1.0	1	0	8	4	8	0.0	0.0
aero	3	3	8	1.0	1	0	8	4	8	0.0	0.0
aero	3	4	0	1.0	1	0	8	4	8	0.0	0.0
aero	3	5	8	1.0	1	0	8	4	8	0.0	0.0
aero	3	6	6	0.0	0	1	8	16	2	0.977	0.633
aero	3	7	8	1.0	1	0	8	4	8	0.0	0.0
aero	3	8	0	1.0	1	0	8	4	8	0.0	0.0
aero	3	9	7	0.0	0	1	8	16	2	0.828	0.438
aero	3	10	8	1.0	1	0	8	4	8	0.0	0.0
aero	3	11	8	1.0	1	0	8	4	8	0.0	0.0
aero	3	12	8	1.0	1	0	8	4	8	0.0	0.0
aero	3	13	5	0.0	0	1	8	16	2	1.0	0.789
aero	3	14	2	0.0	0	1	8	16	2	0.992	0.68
aero	3	15	8	1.0	1	0	8	4	8	0.0	0.0
aero	4	0	8	1.0	1	0	8	4	8	0.0	0.0
aero	4	1	6	0.0	0	1	8	16	2	0.992	0.688
aero	4	2	0	1.0	1	0	8	4	8	0.0	0.0
aero	4	3	4	0.0	0	1	8	16	2	1.0	0.852
aero	4	4	8	1.0	1	0	8	4	8	0.0	0.0
aero	4	5	8	1.0	1	0	8	4	8	0.0	0.0
aero	4	6	8	1.0	1	0	8	4	8	0.0	0.0
aero	4	7	8	1.0	1	0	8	4	8	0.0	0.0
aero	4	8	8	1.0	1	0	8	4	8	0.0	0.0
aero	4	9	8	1.0	1	0	8	4	8	0.0	0.0
aero	4	10	8	1.0	1	0	8	4	8	0.0	0.0
aero	4	11	8	1.0	1	0	8	4	8	0.0	0.0
aero	4	12	8	1.0	1	0	8	4	8	0.0	0.0
aero	4	13	4	0.0	0	1	8	16	2	1.0	0.844
aero	4	14	8	1.0	1	0	8	4	8	0.0	0.0
aero	4	15	4	0.0	0	1	8	16	2	1.0	0.883
aero	5	0	8	1.0	1	0	8	4	8	0.0	0.0
aero	5	1	0	1.0	1	0	8	4	8	0.0	0.0
aero	5	2	6	0.0	0	1	8	16	2	0.992	0.758
aero	5	3	6	0.0	0	1	8	16	2	0.984	0.711
aero	5	4	8	1.0	1	0	8	4	8	0.0	0.0
aero	5	5	8	1.0	1	0	8	4	8	0.0	0.0
aero	5	6	1	0.0	0	1	8	16	2	0.914	0.406
aero	5	7	2	0.0	0	1	8	16	2	0.992	0.625
aero	5	8	7	0.0	0	1	8	16	2	0.875	0.508
aero	5	9	8	1.0	1	0	8	4	8	0.0	0.0
aero	5	10	3	0.0	0	1	8	16	2	1.0	0.906
aero	5	11	0	1.0	1	0	8	4	8	0.0	0.0
aero	5	12	8	1.0	1	0	8	4	8	0.0	0.0
aero	5	13	8	1.0	1	0	8	4	8	0.0	0.0
aero	5	14	8	1.0	1	0	8	4	8	0.0	0.0
aero	5	15	1	0.0	0	1	8	16	2	0.844	0.398
aero	6	0	8	1.0	1	0	8	4	8	0.0	0.0
aero	6	1	5	0.0	0	1	8	16	2	1.0	0.883
aero	6	2	8	1.0	1	0	8	4	8	0.0	0.0
aero	6	3	0	1.0	1	0	8	4	8	0.0	0.0
aero	6	4	2	0.0	0	1	8	16	2	0.984	0.672
aero	6	5	8	1.0	1	0	8	4	8	0.0	0.0
aero	6	6	8	1.0	1	0	8	4	8	0.0	0.0
aero	6	7	8	1.0	1	0	8	4	8	0.0	0.0
aero	6	8	8	1.0	1	0	8	4	8	0.0	0.0
aero	6	9	8	1.0	1	0	8	4	8	0.0	0.0
aero	6	10	6	0.0	0	1	8	16	2	0.992	0.766
aero	6	11	8	1.0	1	0	8	4	8	0.0	0.0
aero	6	12	8	1.0	1	0	8	4	8	0.0	0.0
aero	6	13	0	1.0	1	0	8	4	8	0.0	0.0
aero	6	14	2	0.0	0	1	8	16	2	0.984	0.742
aero	6	15	8	1.0	1	0	8	4	8	0.0	0.0
aero	7	0	8	1.0	1	0	8	4	8	0.0	0.0
aero	7	1	7	0.0	0	1	8	16	2	0.867	0.453
aero	7	2	0	1.0	1	0	8	4	8	0.0	0.0
aero	7	3	8	1.0	1	0	8	4	8	0.0	0.0
aero	7	4	0	1.0	1	0	8	4	8	0.0	0.0
aero	7	5	7	0.0	0	1	8	16	2	0.891	0.43
aero	7	6	8	1.0	1	0	8	4	8	0.0	0.0
aero	7	7	8	1.0	1	0	8	4	8	0.0	0.0
aero	7	8	3	0.0	0	1	8	16	2	1.0	0.789
aero	7	9	8	1.0	1	0	8	4	8	0.0	0.0
aero	7	10	8	1.0	1	0	8	4	8	0.0	0.0
aero	7	11	8	1.0	1	0	8	4	8	0.0	0.0
aero	7	12	4	0.0	0	1	8	16	2	1.0	0.852
aero	7	13	5	0.0	0	1	8	16	2	0.992	0.867
aero	7	14	8	1.0	1	0	8	4	8	0.0	0.0
aero	7	15	1	0.0	0	1	8	16	2	0.883	0.383
aero	8	0	8	1.0	1	0	8	4	8	0.0	0.0
aero	8	1	8	1.0	1	0	8	4	8	0.0	0.0
aero	8	2	8	1.0	1	0	8	4	8	0.0	0.0
aero	8	3	4	0.0	0	1	8	16	2	1.0	0.844
aero	8	4	8	1.0	1	0	8	4	8	0.0	0.0
aero	8	5	8	1.0	1	0	8	4	8	0.0	0.0
aero	8	6	8	1.0	1	0	8	4	8	0.0	0.0
aero	8	7	3	0.0	0	1	8	16	2	1.0	0.82
aero	8	8	8	1.0	1	0	8	4	8	0.0	0.0
aero	8	9	3	0.0	0	1	8	16	2	1.0	0.797
aero	8	10	8	1.0	1	0	8	4	8	0.0	0.0
aero	8	11	8	1.0	1	0	8	4	8	0.0	0.0
aero	8	12	0	1.0	1	0	8	4	8	0.0	0.0
aero	8	13	2	0.0	0	1	8	16	2	1.0	0.609
aero	8	14	4	0.0	0	1	8	16	2	1.0	0.805
aero	8	15	8	1.0	1	0	8	4	8	0.0	0.0
aero	9	0	8	1.0	1	0	8	4	8	0.0	0.0
aero	9	1	8	1.0	1	0	8	4	8	0.0	0.0
aero	9	2	8	1.0	1	0	8	4	8	0.0	0.0
aero	9	3	5	0.0	0	1	8	16	2	1.0	0.805
aero	9	4	8	1.0	1	0	8	4	8	0.0	0.0
aero	9	5	8	1.0	1	0	8	4	8	0.0	0.0
aero	9	6	7	0.0	0	1	8	16	2	0.906	0.32
aero	9	7	8	1.0	1	0	8	4	8	0.0	0.0
aero	9	8	3	0.0	0	1	8	16	2	1.0	0.836
aero	9	9	8	1.0	1	0	8	4	8	0.0	0.0
aero	9	10	8	1.0	1	0	8	4	8	0.0	0.0
aero	9	11	2	0.0	0	1	8	16	2	0.969	0.656
aero	9	12	7	0.0	0	1	8	16	2	0.867	0.461
aero	9	13	8	1.0	1	0	8	4	8	0.0	0.0
aero	9	14	6	0.0	0	1	8	16	2	0.977	0.703
aero	9	15	8	1.0	1	0	8	4	8	0.0	0.0
aero	10	0	8	1.0	1	0	8	4	8	0.0	0.0
aero	10	1	8	1.0	1	0	8	4	8	0.0	0.0
aero	10	2	7	0.0	0	1	8	16	2	0.922	0.414
aero	10	3	8	1.0	1	0	8	4	8	0.0	0.0
aero	10	4	8	1.0	1	0	8	4	8	0.0	0.0
aero	10	5	8	1.0	1	0	8	4	8	0.0	0.0
aero	10	6	6	0.0	0	1	8	16	2	1.0	0.727
aero	10	7	2	0.0	0	1	8	16	2	0.984	0.633
aero	10	8	8	1.0	1	0	8	4	8	0.0	0.0
aero	10	9	0	1.0	1	0	8	4	8	0.0	0.0
aero	10	10	8	1.0	1	0	8	4	8	0.0	0.0
aero	10	11	8	1.0	1	0	8	4	8	0.0	0.0
aero	10	12	8	1.0	1	0	8	4	8	0.0	0.0
aero	10	13	8	1.0	1	0	8	4	8	0.0	0.0
aero	10	14	6	0.0	0	1	8	16	2	0.992	0.656
aero	10	15	8	1.0	1	0	8	4	8	0.0	0.0
aero	11	0	8	1.0	1	0	8	4	8	0.0	0.0
aero	11	1	2	0.0	0	1	8	16	2	0.977	0.695
aero	11	2	8	1.0	1	0	8	4	8	0.0	0.0
aero	11	3	8	1.0	1	0	8	4	8	0.0	0.0
aero	11	4	8	1.0	1	0	8	4	8	0.0	0.0
aero	11	5	6	0.0	0	1	8	16	2	0.992	0.719
aero	11	6	8	1.0	1	0	8	4	8	0.0	0.0
aero	11	7	4	0.0	0	1	8	16	2	1.0	0.906
aero	11	8	8	1.0	1	0	8	4	8	0.0	0.0
aero	11	9	4	0.0	0	1	8	16	2	1.0	0.922
aero	11	10	8	1.0	1	0	8	4	8	0.0	0.0
aero	11	11	8	1.0	1	0	8	4	8	0.0	0.0
aero	11	12	2	0.0	0	1	8	16	2	0.984	0.742
aero	11	13	1	0.0	0	1	8	16	2	0.891	0.414
aero	11	14	6	0.0	0	1	8	16	2	1.0	0.648
aero	11	15	8	1.0	1	0	8	4	8	0.0	0.0
aero	12	0	8	1.0	1	0	8	4	8	0.0	0.0
aero	12	1	6	0.0	0	1	8	16	2	0.992	0.664
aero	12	2	3	0.0	0	1	8	16	2	1.0	0.828
aero	12	3	8	1.0	1	0	8	4	8	0.0	0.0
aero	12	4	8	1.0	1	0	8	4	8	0.0	0.0
aero	12	5	8	1.0	1	0	8	4	8	0.0	0.0
aero	12	6	8	1.0	1	0	8	4	8	0.0	0.0
