method	step	zvf_step	pcd_step	n_boundary_prompts	n_contrast_prompts	g_actual_total	g_per_step	g_per_step_total	g_per_prompt_total	g_oracle_total	savings_per_step	savings_per_prompt	regret_per_prompt	contrast_actual	contrast_per_prompt	contrast_oracle	mean_restore_rate_boundary_esc	restore_rate_at_esc	mean_preserve_rate_contrast_des
aero	0	0.6875	0.0419921875	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.4734375
aero	1	0.6875	0.0712890625	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.825
aero	2	0.8125	0.0205078125	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.4036458333333333
aero	3	0.6875	0.0595703125	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.665625
aero	4	0.75	0.05859375	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.828125
aero	5	0.5625	0.0703125	9	7	128	8	128	148	86	0.0	-0.15625	0.484375	7	7	7	0.0	0.0	0.5792410714285714
aero	6	0.75	0.0498046875	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.71484375
aero	7	0.625	0.0654296875	10	6	128	8	128	136	92	0.0	-0.0625	0.34375	6	6	6	0.0	0.0	0.64453125
aero	8	0.6875	0.072265625	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.79375
aero	9	0.625	0.06640625	10	6	128	8	128	136	92	0.0	-0.0625	0.34375	6	6	6	0.0	0.0	0.6380208333333334
aero	10	0.75	0.0419921875	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.58203125
aero	11	0.5625	0.0849609375	9	7	128	8	128	148	86	0.0	-0.15625	0.484375	7	7	7	0.0	0.0	0.6930803571428571
aero	12	0.6875	0.0595703125	11	5	128	8	128	124	98	0.0	0.03125	0.203125	5	5	5	0.0	0.0	0.696875
aero	13	0.5625	0.1005859375	9	7	128	8	128	148	86	0.0	-0.15625	0.484375	7	7	7	0.0	0.0	0.8125
aero	14	0.75	0.044921875	12	4	128	16	256	112	104	-1.0	0.125	0.0625	4	4	4	0.0	0.0	0.654296875
aero	15	0.8125	0.0361328125	13	3	128	16	256	100	110	-1.0	0.21875	-0.078125	3	3	3	0.0	0.0	0.7213541666666666
aero	16	0.5625	0.083984375	9	7	128	8	128	148	86	0.0	-0.15625	0.484375	7	7	7	0.0	0.0	0.7053571428571429
aero	17	0.5625	0.0859375	9	7	128	8	128	148	86	0.0	-0.15625	0.484375	7	7	7	0.0	0.0	0.6930803571428571
