method	tau	n_prompts	rollouts_exact	rollouts_binom	rollouts_g8	cost_ratio_exact	cost_ratio_binom	extra_saves_exact_vs_binom	extra_saves_ci_lo	extra_saves_ci_hi	preserved_contrast_exact	preserved_contrast_binom	phantom_starved_prompts
grpo	0.3	640	4121	4121	5120	0.8049	0.8049	0	0	0	79.125	79.125	0
grpo	0.5	640	4247	4429	5120	0.8295	0.865	182	156	210	99.429	126.75	0
grpo	0.7	640	4501	4702	5120	0.8791	0.9184	201	175	229	140.036	164.25	75
aero	0.3	640	4114	4114	5120	0.8035	0.8035	0	0	0	81.179	81.179	0
aero	0.5	640	4228	4397	5120	0.8258	0.8588	169	138	202	99.536	125.375	0
aero	0.7	640	4475	4657	5120	0.874	0.9096	182	154	211	141.089	163.018	68
gift	0.3	640	4298	4298	5120	0.8395	0.8395	0	0	0	65.821	65.821	0
gift	0.5	640	4396	4543	5120	0.8586	0.8873	147	115	181	81.464	103.696	0
gift	0.7	640	4603	4761	5120	0.899	0.9299	158	123	193	115.411	134.482	60
areal	0.3	640	4076	4076	5120	0.7961	0.7961	0	0	0	83.679	83.679	0
areal	0.5	640	4200	4411	5120	0.8203	0.8615	211	176	248	102.75	135.268	0
areal	0.7	640	4472	4680	5120	0.8734	0.9141	208	173	246	146.982	172.268	84
