seed	step	zvf_step	c1_g	c2_g	c3_g
42	1	0.25	8	8	8
42	2	0.625	8	8	8
42	3	0.625	8	8	8
42	4	0.375	8	8	8
42	5	0.5	8	8	8
42	6	0.5	8	8	8
42	7	0.625	8	8	8
42	8	0.5	8	8	8
42	9	0.75	16	4	16
42	10	0.25	8	8	8
42	11	0.75	16	4	16
42	12	0.25	8	8	8
42	13	0.625	8	8	8
42	14	0.25	8	8	8
42	15	0.5	8	8	8
179	1	0.75	16	4	16
179	2	0.5	8	8	8
179	3	0.75	16	4	16
179	4	0.5	8	8	8
179	5	0.625	8	8	8
179	6	0.625	8	8	8
179	7	0.5	8	8	8
179	8	0.75	16	4	16
179	9	0.5	8	8	8
179	10	0.75	16	4	16
179	11	0.625	8	8	8
179	12	0.625	8	8	8
179	13	0.625	8	8	8
179	14	0.625	8	8	8
179	15	0.375	8	8	8
316	1	0.5	8	8	8
316	2	0.625	8	8	8
316	3	0.5	8	8	8
316	4	0.375	8	8	8
316	5	0.625	8	8	8
316	6	0.75	16	4	16
316	7	0.75	16	4	16
316	8	0.75	16	4	16
316	9	0.5	8	8	8
316	10	0.75	16	4	16
316	11	0.5	8	8	8
316	12	0.625	8	8	8
316	13	0.625	8	8	8
316	14	0.375	8	8	8
316	15	0.625	8	8	8
453	1	0.75	16	4	16
453	2	0.75	16	4	16
453	3	0.625	8	8	8
453	4	0.75	16	4	16
453	5	0.75	16	4	16
453	6	0.5	8	8	8
453	7	0.625	8	8	8
453	8	0.375	8	8	8
453	9	0.625	8	8	8
453	10	0.75	16	4	16
453	11	0.5	8	8	8
453	12	0.875	16	4	16
453	13	0.5	8	8	8
453	14	0.5	8	8	8
453	15	0.625	8	8	8
590	1	0.875	16	4	16
590	2	0.5	8	8	8
590	3	0.625	8	8	8
590	4	0.5	8	8	8
590	5	0.75	16	4	16
590	6	0.625	8	8	8
590	7	0.875	16	4	16
590	8	0.625	8	8	8
590	9	0.25	8	8	8
590	10	0.625	8	8	8
590	11	0.75	16	4	16
590	12	0.375	8	8	8
590	13	0.625	8	8	8
590	14	0.75	16	4	16
590	15	0.375	8	8	8
