method	class	count	total	share
grpo	A_HIT	2	40	0.05
grpo	B_FN_BDRY	0	40	0.0
grpo	C_FN_DRIFT	38	40	0.95
grpo	D_FP_BDRY	0	40	0.0
grpo	E_TN	0	40	0.0
aero	A_HIT	1	40	0.025
aero	B_FN_BDRY	0	40	0.0
aero	C_FN_DRIFT	39	40	0.975
aero	D_FP_BDRY	0	40	0.0
aero	E_TN	0	40	0.0
gift	A_HIT	7	40	0.175
gift	B_FN_BDRY	0	40	0.0
gift	C_FN_DRIFT	32	40	0.8
gift	D_FP_BDRY	1	40	0.025
gift	E_TN	0	40	0.0
areal	A_HIT	1	40	0.025
areal	B_FN_BDRY	0	40	0.0
areal	C_FN_DRIFT	39	40	0.975
areal	D_FP_BDRY	0	40	0.0
areal	E_TN	0	40	0.0
